Rank,Master Customer Name,Master Customer Name Canonical,IsMerge,MergeGroupSize,Search Query,Suggested Industrial Group,Suggested Industry Detail,Suggested Support Category,Suggested NAICS,Suggested Method,Suggested Confidence,Suggested Company Website,Example Original Names,Source 1 Title,Source 1 URL,Source 2 Title,Source 2 URL,Source 3 Title,Source 3 URL,Notes
117,Williamstown Independent School,WILLIAMSTOWN INDEPENDENT SCHOOL,FALSE,1,Williamstown Independent School Williamstown Independent School,Public Schools (K–12),K–12 public education,,,AI-Assisted Search,Medium,http://www.williamstown.kyschools.us,Williamstown Independent School,Wikidata: Williamstown Independent School,https://www.wikidata.org/wiki/Q18159302,Official website,http://www.williamstown.kyschools.us,,,
118,Williamson Memorial,WILLIAMSON MEMORIAL,FALSE,1,Williamson Memorial Williamson Memorial Inc,Municipal / Local Government,Government entity,,,AI-Assisted Search,Medium,,Williamson Memorial Inc,Wikidata: Williamson Memorial,https://www.wikidata.org/wiki/Q55047650,,,,,
119,Williamsburg Schools,WILLIAMSBURG SCHOOLS,FALSE,1,Williamsburg Schools Williamsburg Schools,Unknown / Needs Review,,,,Unclassified,Low,,Williamsburg Schools,,,,,,,
120,Wiedemann,WIEDEMANN,FALSE,1,Wiedemann Wiedemann,Unknown / Needs Review,,,,Unclassified,Low,,Wiedemann,Wikidata: Wiedemann,https://www.wikidata.org/wiki/Q21493657,,,,,
121,White Oak Athletic Club,WHITE OAK ATHLETIC CLUB,FALSE,1,White Oak Athletic Club White Oak Athletic Club,Unknown / Needs Review,,,,Unclassified,Low,,White Oak Athletic Club,,,,,,,
122,Westrock Cincinnati,WESTROCK CINCINNATI,FALSE,1,Westrock Cincinnati Westrock Cincinnati,Commercial Services,Hospitality,Hospitality,,Unclassified,Low,,Westrock Cincinnati,,,,,,,
123,Westrock,WESTROCK,FALSE,1,Westrock Westrock,Manufacturing,Manufacturing,,,AI-Assisted Search,Medium,http://www.westrock.com/en-us/index.html,Westrock,Wikidata: Westrock,https://www.wikidata.org/wiki/Q21016487,Official website,http://www.westrock.com/en-us/index.html,,,
124,Westminster Neighborhood Services,WESTMINSTER NEIGHBORHOOD SERVICES,FALSE,1,Westminster Neighborhood Services Westminster Neighborhood Services,Unknown / Needs Review,,,,Unclassified,Low,,Westminster Neighborhood Services,,,,,,,
125,Western Southern,WESTERN SOUTHERN,FALSE,1,Western Southern Western Southern,Unknown / Needs Review,,,,Unclassified,Low,,Western Southern,Wikidata: Western Southern,https://www.wikidata.org/wiki/Q19066110,,,,,
126,Western Plaza Thompson Thrift,WESTERN PLAZA THOMPSON THRIFT,FALSE,1,Western Plaza Thompson Thrift Western Plaza Llc (Thompson Thrift),Unknown / Needs Review,,,,Unclassified,Low,,Western Plaza Llc (Thompson Thrift),,,,,,,
127,West High St Investments,WEST HIGH ST INVESTMENTS,FALSE,1,West High St Investments West High St Investments Llc,Unknown / Needs Review,,,,Unclassified,Low,,West High St Investments Llc,,,,,,,
128,Weichuan USA,WEICHUAN USA,FALSE,1,Weichuan USA Wei-Chuan Usa Inc,Unknown / Needs Review,,,,Unclassified,Low,,Wei-Chuan Usa Inc,,,,,,,
129,Weber Huff,WEBER HUFF,FALSE,1,"Weber Huff Weber Huff, Inc.",Unknown / Needs Review,,,,Unclassified,Low,,"Weber Huff, Inc.",,,,,,,
130,Webb School of Knoxville,WEBB SCHOOL OF KNOXVILLE,FALSE,1,Webb School of Knoxville Webb School Of Knoxville,University / College,Higher education,,,AI-Assisted Search,Medium,,Webb School Of Knoxville,Wikidata: Webb School of Knoxville,https://www.wikidata.org/wiki/Q7978675,,,,,
131,Wayfair West Chester,WAYFAIR WEST CHESTER,FALSE,1,Wayfair West Chester Wayfair West Chester,Unknown / Needs Review,,,,Unclassified,Low,,Wayfair West Chester,,,,,,,
132,Wayfair Louisville,WAYFAIR LOUISVILLE,FALSE,1,Wayfair Louisville Wayfair Louisville,Unknown / Needs Review,,,,Unclassified,Low,,Wayfair Louisville,,,,,,,
133,Wayfair Hebron,WAYFAIR HEBRON,FALSE,1,Wayfair Hebron Wayfair Hebron,Unknown / Needs Review,,,,Unclassified,Low,,Wayfair Hebron,,,,,,,
134,Wayfair Groveport,WAYFAIR GROVEPORT,FALSE,1,Wayfair Groveport Wayfair Groveport,Unknown / Needs Review,,,,Unclassified,Low,,Wayfair Groveport,,,,,,,
135,Wayfair Florence,WAYFAIR FLORENCE,FALSE,1,Wayfair Florence Wayfair Florence,Unknown / Needs Review,,,,Unclassified,Low,,Wayfair Florence,,,,,,,
136,Wayfair Erlanger,WAYFAIR ERLANGER,FALSE,1,Wayfair Erlanger Wayfair Erlanger,Unknown / Needs Review,,,,Unclassified,Low,,Wayfair Erlanger,,,,,,,
137,Waupaca Foundry,WAUPACA FOUNDRY,FALSE,1,Waupaca Foundry Waupaca Foundry  Inc,Unknown / Needs Review,,,,Unclassified,Low,,Waupaca Foundry  Inc,,,,,,,
138,Watkins Road Owner,WATKINS ROAD OWNER,FALSE,1,Watkins Road Owner Watkins Road Owner Llc,Unknown / Needs Review,,,,Unclassified,Low,,Watkins Road Owner Llc,,,,,,,
139,Waters Edge Chocolates,WATERS EDGE CHOCOLATES,FALSE,1,Waters Edge Chocolates Waters Edge Chocolates,Utilities,Utility services,,,Unclassified,Low,,Waters Edge Chocolates,,,,,,,
140,Warehouse Optimizers,WAREHOUSE OPTIMIZERS,FALSE,1,Warehouse Optimizers Warehouse Optimizers Inc,Unknown / Needs Review,,,,Unclassified,Low,,Warehouse Optimizers Inc,,,,,,,
141,Walker Scm Aelspan,WALKER SCM AELSPAN,FALSE,1,Walker Scm Aelspan Walker Scm Ael-Span Llc,Unknown / Needs Review,,,,Unclassified,Low,,Walker Scm Ael-Span Llc,,,,,,,
142,Walker,WALKER,FALSE,1,Walker The Walker Company,Unknown / Needs Review,,,,Unclassified,Low,,The Walker Company,Wikidata: Walker,https://www.wikidata.org/wiki/Q7962191,,,,,
143,Walkenhorsts,WALKENHORSTS,FALSE,1,Walkenhorsts Walkenhorst'S,Unknown / Needs Review,,,,Unclassified,Low,,Walkenhorst'S,,,,,,,
144,Wabtec,WABTEC,FALSE,1,Wabtec Wabtec Corporation,Manufacturing,Manufacturing,,,AI-Assisted Search,Medium,https://www.wabteccorp.com/,Wabtec Corporation,Wikidata: Wabtec,https://www.wikidata.org/wiki/Q741707,Official website,https://www.wabteccorp.com/,,,
145,WV Outdoor,WV OUTDOOR,FALSE,1,WV Outdoor Wv Outdoor,Unknown / Needs Review,,,,Unclassified,Low,,Wv Outdoor,,,,,,,
146,WV Great Barrel,WV GREAT BARREL,FALSE,1,WV Great Barrel Wv Great Barrel Company Llc,Unknown / Needs Review,,,,Unclassified,Low,,Wv Great Barrel Company Llc,,,,,,,
147,Vytron,VYTRON,FALSE,1,Vytron Vytron Corporation,Unknown / Needs Review,,,,Unclassified,Low,http://www.vytronus.com/,Vytron Corporation,Wikidata: Vytron,https://www.wikidata.org/wiki/Q106411857,Official website,http://www.vytronus.com/,,,
148,Vrc,VRC,FALSE,1,Vrc company,Unknown / Needs Review,,,,Unclassified,Low,http://www.muvrchlabi.cz/,Vrc,Wikidata: Vrc,https://www.wikidata.org/wiki/Q1008595,Official website,http://www.muvrchlabi.cz/,,,
149,Volunteer Mechanical,VOLUNTEER MECHANICAL,FALSE,1,Volunteer Mechanical Volunteer Mechanical,Unknown / Needs Review,,,,Unclassified,Low,,Volunteer Mechanical,,,,,,,
150,Vision Best Eye Care,VISION BEST EYE CARE,FALSE,1,Vision Best Eye Care Vision Best Eye Care,Unknown / Needs Review,,,,Unclassified,Low,,Vision Best Eye Care,,,,,,,
151,Virginia Tile,VIRGINIA TILE,FALSE,1,Virginia Tile Virginia Tile,Unknown / Needs Review,,,,Unclassified,Low,,Virginia Tile,,,,,,,
152,Viox Services,VIOX SERVICES,FALSE,1,Viox Services Viox Services,Unknown / Needs Review,,,,Unclassified,Low,,Viox Services,,,,,,,
153,Vinylmax,VINYLMAX,FALSE,1,Vinylmax Vinylmax,Unknown / Needs Review,,,,Unclassified,Low,,Vinylmax,,,,,,,
154,Viking Plastics,VIKING PLASTICS,FALSE,1,Viking Plastics Viking Plastics,Unknown / Needs Review,,,,Unclassified,Low,,Viking Plastics,,,,,,,
155,Victorian Square,VICTORIAN SQUARE,FALSE,1,Victorian Square Victorian Square Llc,Unknown / Needs Review,,,,Unclassified,Low,,Victorian Square Llc,,,,,,,
156,Victoria Theatre Association,VICTORIA THEATRE ASSOCIATION,FALSE,1,Victoria Theatre Association Victoria Theatre Association,Non-Profit / Religious,Non-profit/religious,,,AI-Assisted Search,Medium,http://www.victoriatheatre.com/,Victoria Theatre Association,Wikidata: Victoria Theatre Association,https://www.wikidata.org/wiki/Q54852705,Official website,http://www.victoriatheatre.com/,,,
157,Vgs Bakery,VGS BAKERY,FALSE,1,Vgs Bakery Vg'S Bakery,Unknown / Needs Review,,,,Unclassified,Low,,Vg'S Bakery,,,,,,,
158,Vfp Fire Systems,VFP FIRE SYSTEMS,FALSE,1,Vfp Fire Systems Vfp Fire Systems,Unknown / Needs Review,,,,Unclassified,Low,,Vfp Fire Systems,,,,,,,
159,Veregy Indiana,VEREGY INDIANA,FALSE,1,Veregy Indiana Veregy Indiana Llc,Unknown / Needs Review,,,,Unclassified,Low,,Veregy Indiana Llc,,,,,,,
160,Ventra Plastics Russellville a Division of Flexngate,VENTRA PLASTICS RUSSELLVILLE A DIVISION OF FLEXNGATE,FALSE,1,Ventra Plastics Russellville a Division of Flexngate Ventra Plastics Russellville A Division Of Flex-N-Gate Corp,Unknown / Needs Review,,,,Unclassified,Low,,Ventra Plastics Russellville A Division Of Flex-N-Gate Corp,,,,,,,
161,Venco Venturo,VENCO VENTURO,FALSE,1,Venco Venturo Venco Venturo,Unknown / Needs Review,,,,Unclassified,Low,,Venco Venturo,,,,,,,
162,Vanderbilt Maury Radiation Oncology,VANDERBILT MAURY RADIATION ONCOLOGY,FALSE,1,Vanderbilt Maury Radiation Oncology Vanderbilt Maury Radiation Oncology,Unknown / Needs Review,,,,Unclassified,Low,,Vanderbilt Maury Radiation Oncology,,,,,,,
163,Vanderbilt Chemicals,VANDERBILT CHEMICALS,FALSE,1,Vanderbilt Chemicals Vanderbilt Chemicals Llc,Unknown / Needs Review,,,,Unclassified,Low,,Vanderbilt Chemicals Llc,,,,,,,
164,Vandalia Rental,VANDALIA RENTAL,FALSE,1,Vandalia Rental Vandalia Rental,Unknown / Needs Review,,,,Unclassified,Low,,Vandalia Rental,,,,,,,HTTP Error 403: Forbidden
165,Van Con,VAN CON,FALSE,1,Van Con Van Con,Unknown / Needs Review,,,,Unclassified,Low,,Van Con,Wikidata: Van Con,https://www.wikidata.org/wiki/Q7913250,,,,,HTTP Error 403: Forbidden
166,Valtronics,VALTRONICS,FALSE,1,"Valtronics Valtronics, Inc.",Unknown / Needs Review,,,,Unclassified,Low,,"Valtronics, Inc.",,,,,,,HTTP Error 403: Forbidden
167,Vals Botique,VALS BOTIQUE,FALSE,1,Vals Botique Val'S Botique,Unknown / Needs Review,,,,Unclassified,Low,,Val'S Botique,,,,,,,HTTP Error 403: Forbidden
168,Valor Oil,VALOR OIL,FALSE,1,Valor Oil Valor Oil,Unknown / Needs Review,,,,Unclassified,Low,,Valor Oil,,,,,,,HTTP Error 403: Forbidden
169,Validated Custom Solutions,VALIDATED CUSTOM SOLUTIONS,FALSE,1,Validated Custom Solutions Validated Custom Solutions,Unknown / Needs Review,,,,Unclassified,Low,,Validated Custom Solutions,,,,,,,HTTP Error 403: Forbidden
170,Valeo Climate Control,VALEO CLIMATE CONTROL,FALSE,1,Valeo Climate Control Valeo Climate Control,Unknown / Needs Review,,,,Unclassified,Low,,Valeo Climate Control,,,,,,,HTTP Error 403: Forbidden
171,Valeo,VALEO,FALSE,1,Valeo company,Unknown / Needs Review,,,,Unclassified,Low,,Valeo,Wikidata: Valeo,https://www.wikidata.org/wiki/Q124832451,,,,,
172,Valcom Enterprises,VALCOM ENTERPRISES,FALSE,1,"Valcom Enterprises Valcom Enterprises, Inc.",Unknown / Needs Review,,,,Unclassified,Low,,"Valcom Enterprises, Inc.",,,,,,,
173,Valassis Direct Mail,VALASSIS DIRECT MAIL,FALSE,1,"Valassis Direct Mail Valassis Direct Mail, Inc",Unknown / Needs Review,,,,Unclassified,Low,,"Valassis Direct Mail, Inc",,,,,,,
174,Utc Aerospace Systems,UTC AEROSPACE SYSTEMS,FALSE,1,Utc Aerospace Systems Utc Aerospace Systems,Unknown / Needs Review,,,,Unclassified,Low,,Utc Aerospace Systems,Wikidata: Utc Aerospace Systems,https://www.wikidata.org/wiki/Q106609008,,,,,
175,Utbattelle,UTBATTELLE,FALSE,1,"Utbattelle Ut-Battelle, Llc",Unknown / Needs Review,,,,Unclassified,Low,,"Ut-Battelle, Llc",,,,,,,
176,Ust Dba Landmark Ceramics,UST DBA LANDMARK CERAMICS,FALSE,1,Ust Dba Landmark Ceramics Ust Inc Dba Landmark Ceramics,Unknown / Needs Review,,,,Unclassified,Low,,Ust Inc Dba Landmark Ceramics,,,,,,,
177,Uscc Services,USCC SERVICES,FALSE,1,Uscc Services Uscc Services,Unknown / Needs Review,,,,Unclassified,Low,,Uscc Services,,,,,,,
178,Urban Stead Cheese,URBAN STEAD CHEESE,FALSE,1,Urban Stead Cheese Urban Stead Cheese Company,Unknown / Needs Review,,,,Unclassified,Low,,Urban Stead Cheese Company,,,,,,,
179,Urban Sites,URBAN SITES,FALSE,1,Urban Sites Urban Sites,Unknown / Needs Review,,,,Unclassified,Low,,Urban Sites,,,,,,,
180,Upm Pharmaceuticals,UPM PHARMACEUTICALS,FALSE,1,Upm Pharmaceuticals Upm Pharmaceuticals,Unknown / Needs Review,,,,Unclassified,Low,,Upm Pharmaceuticals,,,,,,,
181,Unlimited Systems,UNLIMITED SYSTEMS,FALSE,1,"Unlimited Systems Unlimited Systems, Llc",Unknown / Needs Review,,,,Unclassified,Low,,"Unlimited Systems, Llc",,,,,,,
182,Universal Transportation Systems,UNIVERSAL TRANSPORTATION SYSTEMS,FALSE,1,Universal Transportation Systems Universal Transportation Systems,Unknown / Needs Review,,,,Unclassified,Low,,Universal Transportation Systems,,,,,,,
183,Univeristy Tower,UNIVERISTY TOWER,FALSE,1,Univeristy Tower Univeristy Tower,Unknown / Needs Review,,,,Unclassified,Low,,Univeristy Tower,,,,,,,
184,United States Cold Storage,UNITED STATES COLD STORAGE,FALSE,1,United States Cold Storage United States Cold Storage,Unknown / Needs Review,,,,Unclassified,Low,,United States Cold Storage,,,,,,,
185,United Services,UNITED SERVICES,FALSE,1,United Services United Services Corporation,Financial Services,Financial services,,,AI-Assisted Search,Medium,https://www.usaa.com/,United Services Corporation,Wikidata: United Services,https://www.wikidata.org/wiki/Q7865722,Official website,https://www.usaa.com/,,,
186,United Group Services,UNITED GROUP SERVICES,FALSE,1,"United Group Services United Group Services, Inc.",Unknown / Needs Review,,,,Unclassified,Low,,"United Group Services, Inc.",,,,,,,
187,Unit Building Services,UNIT BUILDING SERVICES,FALSE,1,Unit Building Services Unit Building Services,Unknown / Needs Review,,,,Unclassified,Low,,Unit Building Services,,,,,,,
188,Union Station,UNION STATION,FALSE,1,Union Station Union Station C/O Kennmar,Unknown / Needs Review,,,,Unclassified,Low,,Union Station C/O Kennmar,Wikidata: Union Station,https://www.wikidata.org/wiki/Q7886778,,,,,
189,Union Odc Brep I,UNION ODC BREP I,FALSE,1,"Union Odc Brep I Union Odc Brep I, Llc",Unknown / Needs Review,,,,Unclassified,Low,,"Union Odc Brep I, Llc",,,,,,,
190,Uk Center for Applied Energy Research,UK CENTER FOR APPLIED ENERGY RESEARCH,FALSE,1,Uk Center for Applied Energy Research Uk Center For Applied Energy Research,Unknown / Needs Review,,,,Unclassified,Low,,Uk Center For Applied Energy Research,,,,,,,
191,Uhaul,UHAUL,FALSE,1,Uhaul company,Unknown / Needs Review,,,,Unclassified,Low,https://www.uhaul.com/,Uhaul Co Of Kentucky,Wikidata: Uhaul,https://www.wikidata.org/wiki/Q7862902,Official website,https://www.uhaul.com/,,,
192,Ube Automotive North America,UBE AUTOMOTIVE NORTH AMERICA,FALSE,1,Ube Automotive North America Ube Automotive North America,Unknown / Needs Review,,,,Unclassified,Low,,Ube Automotive North America,,,,,,,
193,US Zinc,US ZINC,FALSE,1,US Zinc Us Zinc,Unknown / Needs Review,,,,Unclassified,Low,,Us Zinc,,,,,,,
194,US Hazmat Rentals,US HAZMAT RENTALS,FALSE,1,US Hazmat Rentals Us Hazmat Rentals Llc,Unknown / Needs Review,,,,Unclassified,Low,,Us Hazmat Rentals Llc,,,,,,,
195,US Food Serviceknoxville,US FOOD SERVICEKNOXVILLE,FALSE,1,US Food Serviceknoxville Us Food Service/Knoxville,Unknown / Needs Review,,,,Unclassified,Low,,Us Food Service/Knoxville,,,,,,,
196,US Cellular,US CELLULAR,FALSE,1,US Cellular Us Cellular,Unknown / Needs Review,,,,Unclassified,Low,,Us Cellular,Wikidata: US Cellular,https://www.wikidata.org/wiki/Q7875863,,,,,
197,U Line,U LINE,FALSE,1,U Line U Line,Unknown / Needs Review,,,,Unclassified,Low,,U Line,Wikidata: U Line,https://www.wikidata.org/wiki/Q491655,,,,,
198,Twiktenn the Simpson Organization,TWIKTENN THE SIMPSON ORGANIZATION,FALSE,1,Twiktenn the Simpson Organization Twiktenn The Simpson Organization,Unknown / Needs Review,,,,Unclassified,Low,,Twiktenn The Simpson Organization,,,,,,,
199,Tuff Torq Residence,TUFF TORQ RESIDENCE,FALSE,1,Tuff Torq Residence Tuff Torq - Residence,Unknown / Needs Review,,,,Unclassified,Low,,Tuff Torq - Residence,,,,,,,
200,Tuff Torq,TUFF TORQ,FALSE,1,Tuff Torq Tuff Torq Corporation,Unknown / Needs Review,,,,Unclassified,Low,,Tuff Torq Corporation,,,,,,,
