Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Ephraim Mcdowell Heath,EPHRAIM MCDOWELL HEATH,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ephraim Mcdowell Heath Inc'),,,FALSE,1
Epson America,EPSON AMERICA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Epson America'),,,FALSE,1
Eqm Gathering Opco,EQM GATHERING OPCO,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eqm Gathering Opco Llc'),,,FALSE,1
Eqt,EQT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eqt'),,,FALSE,1
Equipment Depot Ohio,EQUIPMENT DEPOT OHIO,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Equipment Depot Ohio, Inc.')",,,FALSE,1
Equitrans Midstream,EQUITRANS MIDSTREAM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Equitrans Midstream'),,,TRUE,2
Equity,EQUITY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Equity Llc'),,,FALSE,1
Equity Group Five,EQUITY GROUP FIVE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Equity Group Five'),,,FALSE,1
Equity Group Four,EQUITY GROUP FOUR,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Equity Group Four, Llc')",,,TRUE,2
Equivis Nora,EQUIVIS NORA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Equivis Nora Llc'),,,FALSE,1
Eric Panner,ERIC PANNER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eric Panner'),,,FALSE,1
Escape Game,ESCAPE GAME,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Escape Game'),,,FALSE,1
Esi Constructors,ESI CONSTRUCTORS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Esi Constructors'),,,FALSE,1
Eskola,ESKOLA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eskola Llc'),,,FALSE,1
Essity Operations Wausau US31HA,ESSITY OPERATIONS WAUSAU US31HA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Essity Operations Wausau Llc - Us31Ha'),,,FALSE,1
Ethos Laboratories,ETHOS LABORATORIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ethos Laboratories'),,,FALSE,1
Eubel Brady and Suttman,EUBEL BRADY AND SUTTMAN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eubel Brady & Suttman'),,,FALSE,1
European Wax Centers,EUROPEAN WAX CENTERS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'European Wax Centers'),,,FALSE,1
Eurostampa,EUROSTAMPA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eurostampa'),,,FALSE,1
Evans Energy,EVANS ENERGY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Evans Energy'),,,TRUE,2
Evenflo,EVENFLO,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Evenflo Co Inc'),,,FALSE,1
Ew Scripps,EW SCRIPPS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Ew Scripps Co'),,,FALSE,1
Excel Clips,EXCEL CLIPS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Excel Clips Inc'),,,FALSE,1
Ez Iron Serivce,EZ IRON SERIVCE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'E-Z Iron Serivce'),,,FALSE,1
Facility Gateway,FACILITY GATEWAY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Facility Gateway Corporation'),,,FALSE,1
Family Nurturing,FAMILY NURTURING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Family Nurturing'),,,FALSE,1
Fast of Northwest Ohio,FAST OF NORTHWEST OHIO,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'F.A.S.T. Of Northwest Ohio'),,,FALSE,1
Fazio Cdba Voodoo Brewing,FAZIO CDBA VOODOO BREWING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fazio Llc Cd/Ba Voodoo Brewing Company'),,,FALSE,1
Fecon,FECON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fecon'),,,FALSE,1
Federated Logistics,FEDERATED LOGISTICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Federated Logistics'),,,FALSE,1
Feintool Cincinnati,FEINTOOL CINCINNATI,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Feintool Cincinnati Inc.'),,,TRUE,2
Ferguson Bath and Kitchen Gallery,FERGUSON BATH AND KITCHEN GALLERY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ferguson Bath & Kitchen Gallery'),,,FALSE,1
Festo,FESTO,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Festo Corp'),,,FALSE,1
Fiera Capital,FIERA CAPITAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fiera Capital'),,,FALSE,1
Fillauer Land Tennessee and Cornerstone Commercial Real Est,FILLAUER LAND TENNESSEE AND CORNERSTONE COMMERCIAL REAL EST,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Fillauer Land Tennessee, Llc And Cornerstone Commercial Real Est')",,,FALSE,1
Finnegan and James,FINNEGAN AND JAMES,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Finnegan & James, Llc')",,,FALSE,1
Firestone Diversified Products,FIRESTONE DIVERSIFIED PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Firestone Diversified Products, Llc')",,,FALSE,1
Firestone Industrial Products,FIRESTONE INDUSTRIAL PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Firestone Industrial Products'),,,FALSE,1
First Highland Group,FIRST HIGHLAND GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'First Highland Group'),,,FALSE,1
First Student,FIRST STUDENT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'First Student Inc.'),,,FALSE,1
Fisher Auto Parts,FISHER AUTO PARTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fisher Auto Parts'),,,FALSE,1
Fisher Scientific,FISHER SCIENTIFIC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fisher Scientific'),,,FALSE,1
Five Below,FIVE BELOW,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Five Below'),,,FALSE,1
Fives,FIVES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fives'),,,FALSE,1
Fives Intralogistics,FIVES INTRALOGISTICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fives Intralogistics Corp'),,,FALSE,1
Flexpac,FLEXPAC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Flexpac'),,,FALSE,1
Flint Group,FLINT GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Flint Group'),,,TRUE,2
Florim USA,FLORIM USA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Florim Usa'),,,FALSE,1
Flowers Bakery,FLOWERS BAKERY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Flowers Bakery'),,,FALSE,1
Flowers Baking Crossville,FLOWERS BAKING CROSSVILLE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Flowers Baking Company Crossville'),,,FALSE,1
Fluid Handling Technology,FLUID HANDLING TECHNOLOGY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fluid Handling Technology'),,,FALSE,1
Flutes Hanna Ave,FLUTES HANNA AVE,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Flutes Hanna Ave, Llc')",,,FALSE,1
Focalpoint Communications,FOCALPOINT COMMUNICATIONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Focalpoint Communications'),,,FALSE,1
Four Star Mechanical,FOUR STAR MECHANICAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Four Star Mechanical'),,,FALSE,1
Fox 56 News Wdky,FOX 56 NEWS WDKY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fox 56 News (Wdky)'),,,FALSE,1
Franklin Brazing,FRANKLIN BRAZING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Franklin Brazing'),,,FALSE,1
Franklin Brazing and Metal Treatment,FRANKLIN BRAZING AND METAL TREATMENT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Franklin Brazing & Metal Treatment'),,,FALSE,1
Freeman Expositions,FREEMAN EXPOSITIONS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Freeman Expositions, Llc')",,,FALSE,1
Freeman Schwabe,FREEMAN SCHWABE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Freeman Schwabe'),,,TRUE,2
Frontier Communications,FRONTIER COMMUNICATIONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Frontier Communications'),,,FALSE,1
Frontier Communications Corporate Services,FRONTIER COMMUNICATIONS CORPORATE SERVICES,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Frontier Communications Corporate Services, Inc.')",,,FALSE,1
Frontier a Citizens Communications,FRONTIER A CITIZENS COMMUNICATIONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Frontier A Citizens Communications Company'),,,TRUE,2
Frye Mechanical,FRYE MECHANICAL,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Frye Mechanical, Inc.')",,,FALSE,1
Ft Scott Hoa,FT SCOTT HOA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ft Scott Hoa'),,,FALSE,1
Full Beauty Brands,FULL BEAUTY BRANDS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Full Beauty Brands'),,,FALSE,1
Fuzzy Zoellers Golf Courses,FUZZY ZOELLERS GOLF COURSES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Fuzzy Zoeller'S Golf Courses'),,,FALSE,1
G and D Chillers,G AND D CHILLERS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'G & D Chillers'),,,FALSE,1
G and J Pepsi,G AND J PEPSI,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'G & J Pepsi'),,,FALSE,1
Gaiam,GAIAM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gaiam'),,,FALSE,1
Galatians Too,GALATIANS TOO,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Galatians Too Llc C/O Equity'),,,FALSE,1
Galatians Too III IV,GALATIANS TOO III IV,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Galatians Too Iii Iv Llc'),,,FALSE,1
Gallant Building Solutions,GALLANT BUILDING SOLUTIONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gallant Building Solutions'),,,FALSE,1
Games and Things,GAMES AND THINGS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Games & Things, Inc.')",,,FALSE,1
Gandy Seafood Market,GANDY SEAFOOD MARKET,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gandy Seafood Market'),,,FALSE,1
Gardner Business Media,GARDNER BUSINESS MEDIA,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Gardner Business Media, Inc.')",,,FALSE,1
Gary Bowers Residence,GARY BOWERS RESIDENCE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gary Bowers - Residence'),,,FALSE,1
Gary Fultheim,GARY FULTHEIM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gary Fultheim'),,,FALSE,1
Gbbn Architects,GBBN ARCHITECTS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Gbbn Architects, Inc.')",,,FALSE,1
Gc Contracting,GC CONTRACTING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gc Contracting Inc'),,,FALSE,1
Gcp Applied Technologies,GCP APPLIED TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gcp Applied Technologies Inc'),,,FALSE,1
Gdoba Kingston Pike,GDOBA KINGSTON PIKE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gdoba - Kingston Pike'),,,FALSE,1
Ge on Wing Support,GE ON WING SUPPORT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ge On Wing Support'),,,FALSE,1
Gencanna Acquisition,GENCANNA ACQUISITION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gencanna Acquisition Corp'),,,FALSE,1
Genera Energy,GENERA ENERGY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Genera Energy Inc'),,,FALSE,1
General Cable,GENERAL CABLE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'General Cable'),,,FALSE,1
General Polymers,GENERAL POLYMERS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'General Polymers'),,,TRUE,2
Genesco Journeys,GENESCO JOURNEYS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Genesco Journey'S'),,,FALSE,1
Gf Frank and Sons,GF FRANK AND SONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gf Frank & Sons'),,,TRUE,2
Ghent Manuafacturing,GHENT MANUAFACTURING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ghent Manuafacturing'),,,FALSE,1
Gilkey Windows,GILKEY WINDOWS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gilkey Windows'),,,FALSE,1
Glenn H Johnson Const,GLENN H JOHNSON CONST,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Glenn H. Johnson Const.Co'),,,FALSE,1
Glr,GLR,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'G.L.R. Inc'),,,FALSE,1
Gnc,GNC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gnc'),,,FALSE,1
Good Fortune,GOOD FORTUNE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Good Fortune Inc'),,,FALSE,1
Good Huber Mob,GOOD HUBER MOB,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Good Huber Mob Llc C/O Equity'),,,FALSE,1
Gorilla Glue,GORILLA GLUE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gorilla Glue'),,,FALSE,1
Gosiger Machine Tools,GOSIGER MACHINE TOOLS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gosiger Machine Tools'),,,FALSE,1
Gould and Smith Crane Rental,GOULD AND SMITH CRANE RENTAL,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Gould & Smith Crane Rental, Inc.')",,,FALSE,1
Grand Park Sports and Entertainment,GRAND PARK SPORTS AND ENTERTAINMENT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Grand Park Sports & Entertainment'),,,FALSE,1
Graphic Village,GRAPHIC VILLAGE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Graphic Village'),,,FALSE,1
Graphic Village Blue Ash,GRAPHIC VILLAGE BLUE ASH,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Graphic Village Blue Ash'),,,FALSE,1
Graybar,GRAYBAR,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Graybar'),,,FALSE,1
Great Clips Ohio,GREAT CLIPS OHIO,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Great Clips Ohio'),,,FALSE,1
Great Lakes Ace Hardware,GREAT LAKES ACE HARDWARE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Great Lakes Ace Hardware'),,,FALSE,1
Great Lakes Cheese,GREAT LAKES CHEESE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Great Lakes Cheese'),,,FALSE,1
Great Lakes Coca Cola Distribution,GREAT LAKES COCA COLA DISTRIBUTION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Great Lakes Coca Cola Distribution'),,,FALSE,1
Great Smoky Mountains Heritage Center,GREAT SMOKY MOUNTAINS HERITAGE CENTER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Great Smoky Mountains Heritage Center'),,,FALSE,1
Greater Hamilton Civic Theater,GREATER HAMILTON CIVIC THEATER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Greater Hamilton Civic Theater'),,,FALSE,1
Green Hills Grille,GREEN HILLS GRILLE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Green Hills Grille'),,,FALSE,1
Greenfield Global USA,GREENFIELD GLOBAL USA,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Greenfield Global Usa, Inc.')",,,FALSE,1
Greif,GREIF,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Greif'),,,FALSE,1
Greyhound Tavern,GREYHOUND TAVERN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Greyhound Tavern'),,,FALSE,1
Griffin Elite Sports and Wellness,GRIFFIN ELITE SPORTS AND WELLNESS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Griffin Elite Sports & Wellness'),,,FALSE,1
Griffith Group,GRIFFITH GROUP,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Griffith Group, Llc')",,,FALSE,1
Gw Richmond Excel,GW RICHMOND EXCEL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gw Richmond Excel Llc'),,,FALSE,1
Gxo Logistics Supply Chain,GXO LOGISTICS SUPPLY CHAIN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Gxo Logistics Supply Chain Inc'),,,FALSE,1
H and R Block,H AND R BLOCK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'H&R Block'),,,FALSE,1
Habegger Cac,HABEGGER CAC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Habegger Corp - Cac'),,,FALSE,1
Habilitation Services,HABILITATION SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Habilitation Services'),,,FALSE,1
Hamilton Safe,HAMILTON SAFE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hamilton Safe'),,,TRUE,2
Hammacher Schlemmer,HAMMACHER SCHLEMMER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hammacher Schlemmer'),,,FALSE,1
Hampton Lumber Sales,HAMPTON LUMBER SALES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hampton Lumber Sales'),,,FALSE,1
Hanger,HANGER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hanger'),,,FALSE,1
Harmony at Tucker Station,HARMONY AT TUCKER STATION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Harmony At Tucker Station'),,,FALSE,1
Harper Auto,HARPER AUTO,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Harper Auto'),,,TRUE,6
Harrington Plastics,HARRINGTON PLASTICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Harrington Plastics'),,,FALSE,1
Harvia US,HARVIA US,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Harvia Us Inc'),,,FALSE,1
Hayden,HAYDEN,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Hayden Company, Inc.')",,,FALSE,1
Hayneedle,HAYNEEDLE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hayneedle'),,,FALSE,1
Hazama,HAZAMA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hazama Corp'),,,FALSE,1
Hbcii,HBCII,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Hbc-Ii, Llc')",,,FALSE,1
Hdr,HDR,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hdr'),,,FALSE,1
Heartland Facilities,HEARTLAND FACILITIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Heartland Facilities'),,,FALSE,1
Henkle Schueler,HENKLE SCHUELER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Henkle Schueler'),,,FALSE,1
Henry Schein,HENRY SCHEIN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Henry Schein Inc'),,,TRUE,2
Hero Facility Services,HERO FACILITY SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hero Facility Services'),,,FALSE,1
Heron Technologies USA Dba Akh Heron Technologies,HERON TECHNOLOGIES USA DBA AKH HERON TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Heron Technologies Usa Inc Dba Akh Heron Technologies'),,,FALSE,1
Hexa Americas,HEXA AMERICAS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hexa Americas'),,,FALSE,1
Hillman Group,HILLMAN GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hillman Group'),,,FALSE,1
His Constructors,HIS CONSTRUCTORS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'His Constructors'),,,FALSE,1
Hite Assoicates,HITE ASSOICATES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hite Assoicates Inc'),,,FALSE,1
Hobsons,HOBSONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hobsons'),,,FALSE,1
Holistic Connection,HOLISTIC CONNECTION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Holistic Connection'),,,FALSE,1
Holland Colours America,HOLLAND COLOURS AMERICA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Holland Colours America Inc'),,,FALSE,1
Home Depot,HOME DEPOT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Home Depot'),,,FALSE,1
Home Shopping Network,HOME SHOPPING NETWORK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Home Shopping Network'),,,FALSE,1
Honeywell Intelligrated,HONEYWELL INTELLIGRATED,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Honeywell Intelligrated'),,,FALSE,1
Hot Topic and Torrid Warehouse,HOT TOPIC AND TORRID WAREHOUSE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hot Topic & Torrid Warehouse'),,,FALSE,1
Houston Johnson,HOUSTON JOHNSON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Houston Johnson Inc'),,,FALSE,1
Howmet Aerospace,HOWMET AEROSPACE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Howmet Aerospace'),,,FALSE,1
Ht Hackney,HT HACKNEY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'H.T. Hackney Co.'),,,FALSE,1
Ht Hackney WV,HT HACKNEY WV,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Ht Hackney Co. Wv'),,,FALSE,1
Hti Logistics,HTI LOGISTICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hti Logistics Corporation'),,,FALSE,1
Hubbard Cincinnati,HUBBARD CINCINNATI,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hubbard Cincinnati Llc'),,,FALSE,1
Huber Engineered Woods,HUBER ENGINEERED WOODS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Huber Engineered Woods'),,,FALSE,1
Huber General Contracting,HUBER GENERAL CONTRACTING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Huber General Contracting'),,,FALSE,1
Hudawn,HUDAWN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hudawn'),,,FALSE,1
Hueber Brothers,HUEBER BROTHERS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hueber Brothers Inc'),,,FALSE,1
Hvac Technologies,HVAC TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hvac Technologies Inc'),,,FALSE,1
Hydronic and Steam Equipment,HYDRONIC AND STEAM EQUIPMENT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hydronic & Steam Equipment Co Inc'),,,FALSE,1
Hylant Group,HYLANT GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Hylant Group'),,,FALSE,1
I Herb,I HERB,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'I Herb Inc'),,,FALSE,1
Idealease,IDEALEASE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Idealease'),,,FALSE,1
Idi Composites,IDI COMPOSITES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Idi Composites'),,,FALSE,1
Ienjoy Home,IENJOY HOME,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ienjoy Home'),,,FALSE,1
Ikron,IKRON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ikron Corporation'),,,FALSE,1
Impact Service Group,IMPACT SERVICE GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Impact Service Group'),,,FALSE,1
In Motion Orthopadeics,IN MOTION ORTHOPADEICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'In Motion Orthopadeics'),,,FALSE,1
Index,INDEX,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Index Corporation'),,,FALSE,1
India Bazaar,INDIA BAZAAR,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'India Bazaar'),,,FALSE,1
Indiana Podiatry Group,INDIANA PODIATRY GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Indiana Podiatry Group'),,,FALSE,1
Indiana Spine Group Muncie,INDIANA SPINE GROUP MUNCIE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Indiana Spine Group Muncie'),,,FALSE,1
Indoor Tennis Club,INDOOR TENNIS CLUB,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Indoor Tennis Club'),,,FALSE,1
Industrial Sorting Services,INDUSTRIAL SORTING SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Industrial Sorting Services'),,,FALSE,1
Industry Products,INDUSTRY PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Industry Products Co'),,,FALSE,1
