Customer Key,Customer Name,Address1,City,State,Zip,Project Revenue,Service Contract Revenue,T&M Revenue,Total Revenue
IN990362SERV_GP,CPS INC,17406 TILLER CT,WESTFIELD,IN,46074,,$1377,,$1377
DY991151SERV_GP,CREATIVE IMAGES INSTITUTE OF COSMETOLOGY,7535 POE AVE,Dayton,OH,45414,,,$4121,$4121
LX990397SERV_GP,CREATIVE LIQUID COATINGS INC,801 JOHN C WATTS DR,NICHOLASVILLE,KY,40356,,$74515,$74964,$149479
TN991454SERV_GP,CREATIVE STRUCTURES INC,3208 TAZEWELL PIKE SUITE 103,KNOXVILLE,TN,37902,$3257704,,$13079,$3270783
CRESCENTMECH_GP,"Crescent Building Group, Inc.",1925 Crown Plaza Blvd,Plainfield,IN,46168,$484163,,,$484163
LX990055SERV_GP,CRESTWOOD CHRISTIAN CHURCH,1182 BELLEFONTE DR.,LEXINGTON,KY,40503,,,$774,$774
IN990414SERV_GP,CREW HQ C/O ALO PROPERTY MANAGEMENT,9075 N MERIDIAN ST,Indianapolis,IN,46260,$4459,$15745,$21805,$42009
CROCSMECH_GP,CROCS,PO BOX 696434,San Antonio,TX,78269,$26884,,,$26884
DY991125SERV_GP,CROCS INC,10391 DOG LEG RD,VANDALIA,OH,45377,,$1560,$25901,$27461
CN992293SERV_GP,CROSS KEYS CONDO ASSOCIATION,2400 MADISON RD,Cincinnati,OH,45208,,$1219,$2767,$3986
NV00011SERV_GP,CROSSPOINT CHURCH,520 CHELSEA LANE,LANANON,TN,37087,$1112399,$357166,$138811,$1608376
CROSSROADSMECH_GP,CROSSROADS,8575 BRIDGETOWN RD,MIAMI TWP,OH,45002,$452,,,$452
CRO001SERV_GP,Crossroads Medical Group,PO Box 1669,WHITE HOUSE,TN,37188,,$6139,$27132,$33272
IN990252SERV_GP,CROSSROADS ORTHOPEDICS ARTHREX,7202 E 87TH ST,Indianapolis,IN,46256,,$420,,$420
CROSSVIEWMECH_GP,CROSSVIEW CHRISTIAN CHURCH,4237 SOCIAL ROW ROAD,WAYNESVILLE,OH,45068,$400,,,$400
DY991142SERV_GP,CROWN LIFT TRUCKS,3450 HORIZON COURT,NEW ALBANY,OH,43031,,,$5444,$5444
CN992277SERV_GP,CROWN MEDREALTY PARTNERS,11460 TOMAHAWK CREEK PARKWAY,LEAWOOD,KS,66211,,$5384,$1411,$6795
CN992250SERV_GP,CROWN PACKAGING CORP,4583 BRATE DR,WEST CHESTER,OH,45011-3577,,$4668,$994,$5662
IN990444SERV_GP,CROWNE PLAZA UNION STATION,123 W LOUISIANA ST,Indianapolis,IN,46225,,$5176,$647,$5823
CN990936SERV_GP,CS LEASING LLC,120 CENTER STREET,WILDER,KY,41071,,$12285,$11078,$23363
LX990357SERV_GP,CTA ACOUSTICS,100 CTA BLVD,CORBIN,KY,40701,$73589,$132821,$105557,$311967
NV00150SERV_GP,CTDI,7800 EASTGATE BLVD #3139,Mt Juliet,TN,37122,$6315,$73296,$35386,$114997
LX990243SERV_GP,"CURTIS-MARUYASU AMERICA, INC",665 METTS DR,LEBANON,KY,40033,$11229,,$14990,$26219
DY990960SERV_GP,CUSHMAN & WAKEFIELD,325 JOHN H. MCCONNELL BLVD,Columbus,OH,43215,$27024,$4349,$5339,$36712
WV990253SERV_GP,CUSHMAN & WAKEFIELD,8925 STERLING ST STE 260,Irving,TX,75063,,,$622,$622
IN990202SERV_GP,CUSHMAN & WAKEFIELD,ONE AMERICAN SQUARE,Indianapolis,IN,46282,,,$305,$305
CN992074SERV_GP,CUSHMAN & WAKEFIELD BILLING,10200 ALLIANCE RD,Cincinnati,OH,45242,$3110,,$19995,$23105
LX990386SERV_GP,CUSHMAN & WAKEFIELD C/O GAINWELL TECH,"575 MARYVILLE CENTRE, SUITE 500",St. Louis,MO,63141,$15476,$10874,$5273,$31623
CN992188SERV_GP,CUSHMAN & WAKEFIELD CRITICAL SOLUTIONS,2401 INTERNET BLVD STE 110,FRISCO,TX,75034,,$870,$8043,$8913
LV990446SERV_GP,CUSHMAN & WAKEFIELD FIDELITY,2401 INTERNET BLVD STE 110,FRISCO,TX,75034,,$4416,$1478,$5894
DY991051SERV_GP,CUSHMAN & WAKEFIELD FIDELITY,2401 INTERNET BLVD SUITE 100,FRISCO,TX,75034,,$22816,,$22816
CN992157SERV_GP,CUSHMAN & WAKEFIELD FIDELITY,2401 INTERNET BLVD SUITE 110,FRISCO,TX,75034,,$513,$491,$1004
IN990412SERV_GP,CUSHMAN & WAKEFIELD FIDELITY,8500 KEYSTONE CROSSING BLVD,Indianapolis,IN,46240,$5537,$7493,$10996,$24026
LV990440SERV_GP,CUSHMAN & WAKEFIELD HUMANA,7035 E 96TH ST,Indianapolis,IN,46250,,$18730,$31242,$49972
CN992030SERV_GP,CUSHMAN & WAKEFIELD MONROE,700 GATEWAY BLVD,Monroe,OH,45050,,,$510,$510
DY991059SERV_GP,"CUSHMAN & WAKEFIELD U.S., INC.",325 JOHN MCCONNELL BLVD,Columbus,OH,43215,$19357,$22092,$3262,$44711
NV00050SERV_GP,CUSHMAN & WAKEFIELD US INC,1033 DEMONBREUN ST SUITE 600,NASHVILLE,TN,37203,$22671,$72885,$49056,$144612
LV990415SERV_GP,CUSHMAN & WAKEFILED US INC - HUMANA,225 WEST WACKER STE 3000,CHICAGO,IL,60606,,$114000,$6380,$120380
IN990215SERV_GP,CUSTOM MED APOTHECARY,6005 W 71ST ST,Indianapolis,IN,46278,,$10106,$1463,$11569
TN992192SERV_GP,CUTTING CREW,5920 CARDAN DRIVE,KNOXVILLE,TN,37909,,,$1147,$1147
TN991914SERV_GP,CYCLEBAR,6100 E. CENTRAL #3,WICHITA,KS,67208,,$4026,$12361,$16387
DER DEVELMECH_GP,D.E.R. Development,750 US Highway 50,Milford,OH,45150,$22469,,,$22469
NV15042SERV_GP,DAE IL USA INC,112 ROBERT YOUNG BLVD,MURRAY,KY,42071,,,$1082,$1082
IN990149SERV_GP,DALEVILLE COMMUNITY SCHOOLS,14300 W 2ND STREET,DALEVILLE,IN,47334,$60932,$183407,$102245,$346584
NV15020SERV_GP,DALTILE CORPORATION,PO BOX 1248,CHATSWORTH,GA,30705,,$299233,$34402,$333635
LX990400SERV_GP,DAM HOLDINGS LLC,PO BOX 787,RICHMOND,KY,40476,,,$1459,$1459
CN991988SERV_GP,DAN BEARD COUNCIL BSOA,10078 READING RD,Cincinnati,OH,45241,,$19225,$7707,$26932
LX200412SERV_GP,DANA DANVILLE,500 TECHWOOD DRIVE,DANVILLE,KY,40422,$112184,$20980,$30703,$163867
LV200403SERV_GP,DANA LOUISVILLE,12720 WESTPORT ROAD SUITE F,Louisville,KY,40245,$829833,$147237,$154913,$1131982
LX990429SERV_GP,DANIMER SCIENTIFIC KENTUCKY,P.O. BOX 7965,BAINBRIDGE,GA,39818,$6304,,$1619,$7923
DANISMECH_GP,DANIS,50 E BUSINESS WAY,Cincinnati,OH,45241,$823977,,,$823977
DANIMECH_GP,Danis Building,3233 Newmark Dr,MIAMISBURG,OH,45342,$423615,,,$423615
CN991587SERV_GP,DATA TECH DEPOT - HAMILTON,4750 ASHLEY DRIVE,HAMILTON,OH,45011,,$2907,,$2907
TN991904SERV_GP,DAVE AGRICOLA,140 LITTLE BUCK,LAFOLLETTE,TN,37766,,,$1900,$1900
CN992169SERV_GP,DAVID & LINDA MYERS,400 PIKE STREET,Cincinnati,OH,45202,$8646,,,$8646
CN992289SERV_GP,DAVID AGRICOLA,999 WAREHAM DR,Cincinnati,OH,45202,,,$787,$787
IN990220SERV_GP,DAVIS DISTRIBUTION SYSTEMS,8820 CORPORATION DR,Indianapolis,IN,46256,,$4360,$4365,$8725
WV990210SERV_GP,DAVIS MEMORIAL HOSPITAL,812 GORMAN AVE,ELKINS,WV,26241,,$16328,$1110,$17438
WV990235SERV_GP,DAVIS MEMORIAL PRESBYTERIAN CHURCH,450 RANDOLPH AVENUE,ELKINS,WV,26241,,$11973,$39145,$51118
WV990134SERV_GP,DAVITA HEALTH CARE WEST VIRGINIA,2970 ROBERT C BYRD DR,BECKLEY,WV,25801,,$11146,,$11146
DY990880SERV_GP,DAYTON ART INSTITUTE,456 BELMONTE PARK NORTH,Dayton,OH,45405,$652168,$1545132,$524153,$2721452
DY991031SERV_GP,DAYTON BOARD OF EDUCATION,115 SOUTH LUDLOW ST,Dayton,OH,45402,$62418,$19555,$7374,$89347
DY990996SERV_GP,DAYTON MASONIC CENTER,525 W RIVERVIEW AVE,Dayton,OH,45405,$133860,$27150,$62859,$223868
DY990726SERV_GP,DAYTON PUBLIC SCHOOLS,136 SOUTH LUDLOW ST,Dayton,OH,45402,$10405,$7194,$58782,$76381
DAYTON SCHOOLSMECH_GP,DAYTON PUBLIC SCHOOLS DISTRICT,ATTN: ACCOUNTS  PAYABLE,Dayton,OH,45402,$5023820,,,$5023820
LX990387SERV_GP,DB GENERAL CONTRACTING,P.O. BOX 911028,LEXINGTON,KY,40591,$35288,,$0,$35288
DY991080SERV_GP,DC MRH MOB LLC,4653 TRUEMAN BLVD,HILLIARD,OH,43026,$197210,,,$197210
CN991983SERV_GP,"DCM PRODUCTS, INC.",8650 SEWARD RD,FAIRFIELD,OH,45011,$35243,$8298,$2152,$45693
CN990724SERV_GP,DCP HOLDING COMPANY,100 CROWNE PLACE,Cincinnati,OH,45241,,$13822,$510,$14332
DCT PROPERTYMECH_GP,"DCT PROPERTY MANAGEMENT, LLC",4701 CREEK ROAD,Cincinnati,OH,45242,$150659,,,$150659
TN991885SERV_GP,DDC DOWELL SPRINGS LLC C/O REALTY TRUST GROUP LLC,PO BOX 10868,KNOXVILLE,TN,37939,,$31645,$7754,$39399
DEACONESSMECH_GP,DEACONESS LONG TERM CARE OF OH,440 LAFAYETTE AVE,Cincinnati,OH,45220,$112601,,,$112601
LV990535SERV_GP,DEACONESS MEMORIAL MEDICAL CENTER,800 W 9TH ST,JASPER,IN,47546,,$9820,,$9820
IN990331SERV_GP,DEARRINGER BUILDINGS LLC,16460 SOUTHPARK DR,WESTFIELD,IN,46074,,$1556,,$1556
DEBRA KUEMPELMECH_GP,DEBRA-KUEMPEL,3976 SOUTHERN AVENUE,Cincinnati,OH,45227,$71348,,,$71348
CN992320SERV_GP,DECEUNINCK NORTH AMERICA,351 N GARVER RD,Monroe,OH,45050,$57668,$28072,$21625,$107365
CN992271SERV_GP,DECOACH RECOVERY CENTRE,100 Crowne Point Place,SHARONVILLE,OH,45241,,,$15939,$15939
CN991800SERV_GP,DEERFIELD TOWNSHIP,4900 PARKWAY DR,DEERFIELD TOWNSHIP,OH,45040,,$25329,$6767,$32095
CN991876SERV_GP,DEERFIELD TOWNSHIP FIRE DEPARTMENT #58,4900 PARKWAY DR,Mason,OH,45040,,$55791,$27098,$82889
WV990294SERV_GP,DELTA HOTELS ASHLAND DOWNTOWN,1441 WINCHESTER AVE,ASHLAND,KY,41101,$17925,,$872,$18797
LX950069SERV_GP,DELTA NATURAL GAS,3617 LEXINGTON RD,Winchester,KY,403919706,$237896,$41664,$46499,$326059
CN992075SERV_GP,DELUXE NAILS BILLING,7835 CAMARGO RD,Cincinnati,OH,45243,,$6225,$2896,$9121
DEMINGMECH_GP,DEMING ENTERPRISE INC,PO BOX 21,PERRY,OH,44081,$77765,,,$77765
DENHMECH_GP,"Denham-Blythe Company, Inc.",855 Springfield Highway,Goidlettsville,TN,37072,$295663,,,$295663
DENIER ELECTRICMECH_GP,"DENIER ELECTRIC CO., INC.",10891 STATE ROUTE 128,HARRISON,OH,45030,$38257,,,$38257
DENISON UNIVERSMECH_GP,DENISION UNIVERSITY,100 W. COLLEGE ST,GRANVILLE,OH,43023,$1277284,,,$1277284
TN991214SERV_GP,DENSO MANUFACTURING,1720 ROBERT C. JACKSON DRIVE,MARYVILLE,TN,37801,,$9744,$3578,$13322
CN992103SERV_GP,DENT CROSSING,6507 HARRISON AVE,Cincinnati,OH,45247,,$1541,$3837,$5378
DENTAL CAREMECH_GP,DENTAL CARE PLUS,100 Crowne Point Place,SHARONVILLE,OH,45241,$46701,,,$46701
TN991850SERV_GP,DENTAL PARTNERS SOUTH KNOXVILLE,6502 CHAPMAN HWY,KNOXVILLE,TN,37920,,$1936,,$1936
IN990467SERV_GP,DEPARTMENT OF PUBLIC WORKS,324 N MT ZION RD,LEBANON,IN,46052,$6326,$2247,$2003,$10576
DEPT OF VETERANMECH_GP,DEPARTMENT OF VETERANS SERVICES,2003 VETERANS BOULEVARD,GEORGETOWN,OH,45121,$46732,,,$46732
IN990523SERV_GP,DEPENDABLE SUPPLY CHAIN SERVICES,2555 E OLYMPIC BLVD,LOS ANGELES,CA,90023,,,$822,$822
CN992214SERV_GP,DER DEVELOPMENT LLC,750 US HWY 50,Milford,OH,45150,,,$10650,$10650
LX990383SERV_GP,DERMATOLOGY ASSOC OF KY C/O HAYMAKER PROPERTY MANAGEMENT,3120 WALL ST SUITE 300,LEXINGTON,KY,40513,,$127811,$5662,$133473
LX990076SERV_GP,DERMATOLOGY ASSOC OF KY PSC,250 FOUNTAIN COURT,LEXINGTON,KY,40509,$539295,,$4312,$543607
DESIGN BUILD SOMECH_GP,DESIGN BUILD SOLUTIONS,11590 CENTURY BLVD,Cincinnati,OH,45246-3317,$4676733,,,$4676733
NV00041SERV_GP,DET BEVERAGES LLC,301 GREAT CIRCLE RD,NASHVILLE,TN,37228,$85890,$156814,$105598,$348302
DEVITTMECH_GP,Devitt & Associates,414 Walnut St,"Cincinnati,",OH,45202,$10736,,,$10736
TN992186SERV_GP,DEX IMAGING,1913 BREEZY RIDGE TRAIL,KNOXVILLE,TN,37922,,$2010,$674,$2684
CN992236SERV_GP,DHL CVG,2151 SOUTHPARK DR,Hebron,KY,41048,,,$5280,$5280
DHL EXPRESSMECH_GP,DHL EXPRESS,236 Wendell H. Ford Blvd,Erlanger,KY,41018,$6713180,,,$6713180
CN940262SERV_GP,DHL EXPRESS INC,1210 SOUTH PINE ISLAND RD,PLANTATION,FL,33324,,$436919,$18475,$455394
CN991598SERV_GP,DHL GLOBAL,2700 SOUTH COMMERCE PKWY,WESTON,FL,33331,$4244,$17007,$45390,$66641
DHL SUPPLY CHAIMECH_GP,DHL SUPPLY CHAIN,PO BOX 1590,WESTERVILLE,OH,43086-1590,$954,,,$954
CN992061SERV_GP,DHL SUPPLY CHAIN - COST CENTER - 1377,PO BOX 1590,WESTERVILLE,OH,43086-1590,,$33460,$11320,$44780
DY991049SERV_GP,DHL SUPPLY CHAIN - COST CENTER - 5815,PO BOX 1590,WESTERVILLE,OH,43086-1590,,$26826,$6831,$33657
DY991081SERV_GP,DHL SUPPLY CHAIN CC5473,PO BOX 1590,WESTERVILLE,OH,43086-1590,,$15488,$14805,$30293
WV990172SERV_GP,DIAMOND ELECTRIC MANUFACTURING,STATE RT 62 ELEANOR INDUSTRIAL PARK,ELEANOR,WV,25070,,,$9222,$9222
TN992080SERV_GP,DICKEY'S BARBECUE PIT,11483 PARKSIDE DR,FARRAGUT,TN,37934,,,$3579,$3579
CN992259SERV_GP,DIGITAL FUTURES OFFICE 2 LLC,4000 SMITH RD STE 215A,Cincinnati,OH,45209,,$18348,$1726,$20074
DIOCESE OF COVMECH_GP,Diocese of Covington,402 E. 21ST STREET,COVINGTON,KY,41015,$108243,,,$108243
TN991427SERV_GP,DIOCESE OF KNOXVILLE,805 NORTHSHORE DR SW,KNOXVILLE,TN,37919,$123132,$16608,$983,$140723
TN992129SERV_GP,DIRECTOR OF CHOICE GRANTS TENNESSE DEPARTMENT OF EDUCATION,710 JAMES ROBERTSON PKWY,NASHVILLE,TN,37243,$409889,,$2536,$412425
CN992149SERV_GP,DISABLED AMERICAN VETERANS,860 DOLWICK DR,Erlanger,KY,41018,,$42527,$15951,$58477
CN992284SERV_GP,DISTRIBUTION INTERNATIONAL,4664 BRATE DRIVE,WEST CHESTER TWP,OH,45011,,$2275,,$2275
DCGMECH_GP,DIVERSIFIED CONSTRUCTION GROUP,1375 ST. RT. 131,"Milford,",OH,45150,$2106,,,$2106
WV990242SERV_GP,DIVERSIFIED GAS & OIL,4150 BELDEN VILLAGE ST NW,CANTON,OH,44718,,,$747,$747
CN992187SERV_GP,DIVERSIFIED MANAGEMENT PLUS,1125 OCEAN AVE,LAKEWOOD,NJ,08701,,,$23358,$23358
CN992059SERV_GP,DIXON BAYCO,7280 UNION CENTRE BLVD,WEST CHESTER,OH,45014,,$14529,$18756,$33285
LX990399SERV_GP,DMAC STATIONARY  DEVELOPMENTS LLC,3 N MAIN ST,Winchester,KY,40391,,,$670,$670
TN992003SERV_GP,"DNU - LIFETIME PRODUCTS, INC.",2015 EAST BRIDGE BLVD,MASCOT,TN,37806,,,$4440,$4440
IN990260SERV_GP,DNU IN MOTION ORTHOPAEDICS,8904 BASH ST,Indianapolis,IN,46256,,$2270,$602,$2872
DOITRIGHTEXCAVAMECH_GP,"DO IT RIGHT EXCAVATING, LLC",9011 US HIGHWAY 22,CLARKSVILLE,OH,45113,$1968,,,$1968
TN991961SERV_GP,DO NOT USE,"C/O ARTECH DESIGN GROUP, INC",CHATTANOOGA,TN,37408,$10876,$12900,$8313,$32089
CN992352SERV_GP,DO NOT USE 45NINETY CONSTRUCTION INC,5533 FAIR LANE,Cincinnati,OH,45227,,,$1659,$1659
TN992030SERV_GP,DO NOT USE KNOXVILLE PROPERTIES PARTNERSHIP-2CS C/O AVISON YOUNG,PO BOX 36901,CHARLOTTE,NC,27236,$871814,$46071,$34361,$952246
DOLE VEGETABLEMECH_GP,"Dole Fresh Vegetables, Inc.",600 Benjamin Dr,"Springfield,",OH,45502,$8947,,,$8947
CN992198SERV_GP,DOLLAR GENERAL,950 WENSTRUP LANE,WALTON,KY,41094,$13928,$27131,$54515,$95574
TN991806SERV_GP,DOLLYWOOD,2700 DOLLYWOOD PARKS BLVD,PIGEON FORGE,TN,37863,,,$4752,$4752
TN992051SERV_GP,DOLLYWOODS DREAM MORE RESORT,2525 DREAM MORE WAY,PIGEON FORGE,TN,37863,,$18366,$59518,$77884
IN990330SERV_GP,DOMESTIC UNIFORM RENTAL,3401 COVINGTON RD,KALAMAZOO,MI,49001,,$7396,,$7396
CN950215SERV_GP,"DOMINIUM, INC.",2905 NORTHWEST BLVD.,PLYMOUTH,MN,55441,,$35255,$54447,$89702
DONALDSONMECH_GP,"Donaldson Company, Inc.",PO Box 1299,Minneapolis,MN,55440-1299,$287848,,,$287848
LV990520SERV_GP,DORMAN PRODUCTS,25 DORMAN DR,WARSAW,KY,41095,$18219,$10431,$13748,$42398
CN991944SERV_GP,DOUG NEWBERRY,6430 CRESTVIEW AVE,Cincinnati,OH,45213,,,$3171,$3171
CN991958SERV_GP,DOWNTIME REBUILD,10200 CHESTER RD,Cincinnati,OH,45215,,$15733,$246,$15979
NV15057SERV_GP,DOWNTOWN PROPERTY SOLUTIONS LLC,120 E MAIN ST STE 210,MURFREESBORO,TN,37130,$371566,$69524,$86342,$527432
TN992205SERV_GP,DOWNTOWN WEST VILLAGE II OWNERS ASSOCIATION INC C/O BLUE RIDGE R,265 BROOKVIEW CENTRE WAY STE 602,KNOXVILLE,TN,37919,,$7880,,$7880
DY990985SERV_GP,DPSG,960 STELTZER RD,Columbus,OH,43219,,$10647,$14037,$24684
LV990424SERV_GP,DR ELI KARAM  PHD,18714 BROOKSHADE LANE,Louisville,KY,40245,,,$333,$333
DR NEWBYMECH_GP,DR NEWBY,5050 Oaklawn Dr,Cincinnati,OH,45227,$428,,,$428
CN991288SERV_GP,DR. MONICA NEWBY,5050 OAKLAWN DRIVE,Cincinnati,OH,45227,$15401,$9934,$8183,$33518
LV990474SERV_GP,DREAM LOGISTICS,4501 ALLMOND AVE,Louisville,KY,40209,,$4896,$5714,$10610
DY991079SERV_GP,DRK & CO REALTY,470 OLDE WORTHINGTON RD,WESTERVILLE,OH,43082,$3644,,,$3644
DRKMECH_GP,DRK Construction Services,8940 Beckett Rd,WEST CHESTER,OH,45069,$10640,,,$10640
DRY CREEK WWTPMECH_GP,DRY CREEK WASTE WATER TREATMENT,2999 AMSTERDAM ROAD,FT WRIGHT,KY,41017,$8354,,,$8354
TN992069SERV_GP,DSH & ASSOCIATES LLC,2099 THUNDERHEAD RD STE 204,KNOXVILLE,TN,37922,$11104,,$6980,$18084
TN992200SERV_GP,DTWP C/O NAI,255 N PETERS RD,KNOXVILLE,TN,37923,,$1539,$796,$2335
TN992195SERV_GP,DTWPH2 C/O NAI,255 N PETERS RD,KNOXVILLE,TN,37923,,,$16670,$16670
TN992130SERV_GP,DUCK DONUTS KNOXVILLE,6104 KINGSTON PIKE,KNOXVILLE,TN,37919,,,$1147,$1147
DUGANMECH_GP,Dugan & Meyers,11110 Kenwood Rd.,Cincinnati,OH,45242,$457322,,,$457322
DUKE WEEKSMECH_GP,Duke Construction L.P.,5181 Natorp Blvd,Cincinnati,OH,45040,$726559,,,$726559
DUKE REALTYMECH_GP,DUKE REALTY,8711 RIVER CROSSING BLVD,Indianapolis,IN,46240,$394149,,,$394149
DUNNHUMBYMECH_GP,Dunnhumby,444 West Third St,Cincinnati,OH,45202,$7344,,,$7344
DURODYNEMECH_GP,DURO DYNE CORP,81 SPENCE STREET,BAY SHORE,NY,11706,$4827,,,$4827
E BEAMMECH_GP,E BEAM,2775 Henkle Dr,LEBANON,OH,45036,$17885,,,$17885
TN991889SERV_GP,E&E MANUFACTURING OF TN LLC,2000 TELLICO AVE,ATHENS,TN,37303,,$29430,$21625,$51055
CN992218SERV_GP,E.C. SHAW,1242 W MEHRING WAY,Cincinnati,OH,45203,$6308,$7183,$12978,$26469
LX990411SERV_GP,E.D. BULLARD CO.,1898 SAFETY WAY,CYNTHIANA,KY,41031,$578502,,$2817,$581319
EGCMECH_GP,E.G.C. Corporation,30 W. 4th Street,Newport,KY,41071,$162150,,,$162150
TN992083SERV_GP,EAGLE BEND MANUFACTURING,1000 J D YARNELL INDUSTRIAL PKWY,CLINTON,TN,37716,,$83226,,$83226
CN992004SERV_GP,EAGLE COMPOSITES,8494 FIREBIRD DR,WEST CHESTER,OH,45069,$16335,$19554,$14528,$50417
DY991089SERV_GP,EAGLE DAYTON PROPERTIES LLC,4702 PAYNE AVE,VANDALIA,OH,45414,,,$6216,$6216
EAGLE REALTYMECH_GP,EAGLE REALTY GROUP,421 E. FOURTH ST,Cincinnati,OH,45202,$398230,,,$398230
IN990051SERV_GP,EAGLE REALTY GROUP,421 E. FOURTH STREET,Cincinnati,OH,45202,$4495,$4997,$4165,$13657
TN200305SERV_GP,EAST TENNESSEE PUBLIC TELEVISION,1611 EAST MAGNOLIA AVE,KNOXVILLE,TN,37917,,,$572,$572
DY991067SERV_GP,EASTWAY SUPPLIES INC,1561 ALUM CREEK DR,Columbus,OH,43209,$16096,,$1363,$17459
EBAYMECH_GP,"EBAY ENTERPRISE, INC",40 LOGISTICS BLVD,WALTON,KY,41094,$10775,,,$10775
EBY BROWNMECH_GP,EBY BROWN,280 SHUMAN BLVD,NAPERVILLE,IL,60566,$387146,,,$387146
IN990145SERV_GP,EBY BROWN,877 PERRY ROAD,Plainfield,IN,46168,$186964,$219330,$225310,$631604
IN990499SERV_GP,ECHO ELECTRIC,4141 E 96TH ST,Indianapolis,IN,46240,,$605,$748,$1353
WV990308SERV_GP,ECHO POWER LLC,PO BOX 2587,Hendersonville,TN,37077,$14460,,,$14460
LX990482SERV_GP,ECL CORBIN LLC DBA THE MINT GAMING HALL,5629 NASHVILLE RD,Franklin,KY,42134,,,$1322,$1322
ECO TEC ENGINEEMECH_GP,ECO TEC ENGINEERING,2587 GRANDIN ROAD,Cincinnati,OH,45208,$271756,,,$271756
TN991689SERV_GP,ECS CENTRAL PLLC - KNOXVILLE,4708 MIDDLE CREEK LN,KNOXVILLE,TN,37921,,,$472,$472
TN992016SERV_GP,EDFINANCIAL SERVICES - BILLING,PO BOX 36014,KNOXVILLE,TN,37930,$34840,,$27946,$62786
CN991253SERV_GP,EDISON STATE COMMUNITY COLLEGE,1973 EDISON DRIVE,PIQUA,OH,45356,$40566,$106011,$24280,$170857
CN990656SERV_GP,EI CERAMICS LLC,2600 COMMERCE BLVD,Cincinnati,OH,45241,,$4519,$0,$4519
TN992078SERV_GP,EL TEQULIA BAR & GRILL,7002 MAYNARDVILLE PK,KNOXVILLE,TN,37918,,,$452,$452
TN991272SERV_GP,ELECTRIC POWER RESEARCH INSTITUTE,942 CORRIDOR PARK BLVD.,KNOXVILLE,TN,37932,$23124,,$48259,$71383
ELEMENT MATLMECH_GP,ELEMENT MATERIALS TECHNOLOGY,3701 PORT UNION RD,FAIRFIELD,OH,45014,$32825,,,$32825
ELITAIREMECH_GP,ELITAIRE,11325 Hartman Hwy,Cincinnati,OH,45241,$29871,,,$29871
CN992303SERV_GP,ELLIS ROAD INDUSTIRIAL LLC C/O CBRE,4480 LAKE FOREST DRIVE,Cincinnati,OH,45242,,,$4183,$4183
IN990093SERV_GP,ELLISON TECHNOLOGIES,9912 S. PIONEER BLVD,SANTA FE SPRINGS,CA,90670,,$5474,$1532,$7006
NV00111SERV_GP,ELMINGTON CAPITAL GROUP,118 16TH AVE S #200,NASHVILLE,TN,37203,,$7993,$11205,$19198
WV990264SERV_GP,EMBASSY SUITES CHARLESTON,300 COURT ST,Charleston,WV,"",$9745,,$3532,$13277
EMB001SERV_GP,Embraer Aircraft Maintenance,10 Airways Blvd,NASHVILLE,TN,37217,$81389,$69226,$169514,$320129
EMCORMECH_GP,EMCOR FACILITY SERVICES,9655 READING ROAD,Cincinnati,OH,45215,$71347,,,$71347
IN200066SERV_GP,EMERGENCY RADIO SERVICES,4515 HIGH SCHOOL ROAD,Indianapolis,IN,"",$15987,$9280,,$25267
NV00141SERV_GP,EMERSON HERMETIC MOTOR,PO BOX 270656,St Louis,MO,63127,$9647,$58103,$79115,$146865
EMILY LICHMECH_GP,"Emily Lichtenberg Construction, Inc.",11435 D Williamson Rd,"Cincinnati,",OH,45241,$128570,,,$128570
LICHTENBERGMECH_GP,"Emily Lichtenberg Construction, Inc.",11435 D Williamson Road,Cincinnati,Ohio,45241,$238,,,$238
LV990458SERV_GP,EMJ CORPORATION,2034 HAMILTON PLACE BLVD,CHATTANOOGA,TN,37421,$309930,,$615015,$924945
CN992209SERV_GP,EMPLOYERS RESOURCE ASSOCIATION,1200 EDISON DRIVE,Cincinnati,OH,45216,,,$947,$947
CN991893SERV_GP,ENABLE INJECTIONS,2863 EAST SHARON RD,Cincinnati,OH,45241,,$9131,$0,$9131
ENABLEMECH_GP,Enable Medical,6345 Centre Park Dr,WEST CHESTER,OH,45069,$589,,,$589
WV200401SERV_GP,ENCOMPASS HEALTH CORPORATION,6900 WEST COUNTRY CLUB DRIVE,HUNTINGTON,WV,25705,$160387,$297664,$36885,$494935
ENDRESS HAUSERMECH_GP,"ENDRESS & HAUSER, INC.",2350 ENDRESS PLACE,GREENWOOD,IN,46143,$19349,,,$19349
IN980005SERV_GP,ENDRESS + HAUSER,2350 ENDRESS PLACE,GREENWOOD,IN,"",,,$2288,$2288
ENERGY OPTIMIZEMECH_GP,"ENERGY OPTIMIZERS, USA",7950 SOUTH COUNTY ROAD 25A,TIPP CITY,OH,45371,$114288,,,$114288
TN950321SERV_GP,"ENERGY SOLUTIONS/DURATEK, INC.",299 SOUTH MAIN ST SUITE 1700,SALT LAKE CITY,UT,84111,$357273,$470060,$69914,$897247
ENERGY SYSTEMSMECH_GP,Energy Systems Group,101 Plaza East Blvd. Suite 320,"Evansville,",IN,47715,$4124683,,,$4124683
TN992184SERV_GP,"ENGERT, LLC",PO BOX 55,KNOXVILLE,TN,37901,$23373,,$1522,$24895
DY990983SERV_GP,ENGINEERS CLUB OF DAYTON,110 EAST MONUMENT AVENUE,Dayton,OH,45402,,$5589,$0,$5589
