Master Customer Name,Master Customer Name Canonical,Industrial Group,Industrial Group Source,Industry Detail,Industry Detail Source,NAICS,NAICS Raw,NAICS Source,NAICS Sector Code,NAICS Sector Title,NAICS Subsector Code,NAICS Subsector Title,NAICS Industry Group Code,NAICS Industry Group Title,NAICS Industry Code,NAICS Industry Title,NAICS National Industry Code,NAICS National Industry Title,Method,Status,Confidence,Rationale,Support Category,Support Category Source,Company Website,Company Website Source,Company Logo URL,Company Logo URL Source,Company Logo URL (Apistemic),Company Logo URL (Apistemic) Source,Company Logo URL (Logo.dev),Company Logo URL (Logo.dev) Source,Enrichment Status,Enrichment Rationale,IsMerge,MergeGroupSize
Equitrans Midstream,EQUITRANS MIDSTREAM,Energy Services,Master Override,Natural Gas Transmission,Master Override,486210,486210,Master Override,48-49,Transportation and Warehousing,486,Pipeline Transportation,4862,Pipeline Transportation of Natural Gas,48621,Pipeline Transportation of Natural Gas,486210,Pipeline Transportation of Natural Gas,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,equitransmidstream.com,Master Override,,,https://logos-api.apistemic.com/domain:equitransmidstream.com,Computed from Company Website,https://img.logo.dev/equitransmidstream.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,TRUE,2
Equity,EQUITY,Commercial Real Estate,Master Override,Real Estate,Master Override,531110,531110,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53111,Lessors of Residential Buildings and Dwellings,531110,Lessors of Residential Buildings and Dwellings,AI Analyst Research,Final,High,Verified enrichment updated: Company Website,,,equity.net,Verified Enrichment,,,https://logos-api.apistemic.com/domain:equity.net,Computed from Company Website,https://img.logo.dev/equity.net?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
The Equity Group Five,EQUITY GROUP FIVE,Commercial Services,Master Override,Equity Compensation Research,Master Override,541910,541910,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5419,"Other Professional, Scientific, and Technical Services",54191,Marketing Research and Public Opinion Polling,541910,Marketing Research and Public Opinion Polling,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,groupfiveinc.com,Master Override,,,https://logos-api.apistemic.com/domain:groupfiveinc.com,Computed from Company Website,https://img.logo.dev/groupfiveinc.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
The Equity Group Four,EQUITY GROUP FOUR,Commercial Real Estate,Master Override,Real Estate,Master Override,531110,531110,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53111,Lessors of Residential Buildings and Dwellings,531110,Lessors of Residential Buildings and Dwellings,AI Analyst Research,Final,High,Verified enrichment updated: Company Website,,,equitygroupproperties.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:equitygroupproperties.com,Computed from Company Website,https://img.logo.dev/equitygroupproperties.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,TRUE,2
Equivis Nora,EQUIVIS NORA,Commercial Real Estate,Master Override,Industrial Property Ownership & Management,Master Override,531,531,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,,,,,,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,equivis.com,Master Override,,,https://logos-api.apistemic.com/domain:equivis.com,Computed from Company Website,https://img.logo.dev/equivis.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Eric Panner,ERIC PANNER,Individual / Misc,Master Override,Individual,Master Override,,,,,,,,,,,,,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,,,,,,,,,Deferred,,FALSE,1
Erm Real Estate,ERM REAL ESTATE,Commercial Real Estate,Segmentation Logic,Real Estate Services,Verified Enrichment,531210,531210,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5312,Offices of Real Estate Agents and Brokers,53121,Offices of Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,ermassoc.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:ermassoc.com,Computed from Company Website,https://img.logo.dev/ermassoc.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
The Escape Game,ESCAPE GAME,Commercial Services,Master Override,Entertainment Venue,Master Override,713990,713990,Master Override,71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,71399,All Other Amusement and Recreation Industries,713990,All Other Amusement and Recreation Industries,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,theescapegame.com,Master Override,,,https://logos-api.apistemic.com/domain:theescapegame.com,Computed from Company Website,https://img.logo.dev/theescapegame.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Esi Constructors,ESI CONSTRUCTORS,Construction,Master Override,Construction,Master Override,236220,236220,Master Override,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,esiconstruction.com,Master Override,,,https://logos-api.apistemic.com/domain:esiconstruction.com,Computed from Company Website,https://img.logo.dev/esiconstruction.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Eskola,ESKOLA,Construction,Master Override,Roofing Contractor,Master Override,238160,238160,Master Override,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23816,Roofing Contractors,238160,Roofing Contractors,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,eskola.com,Master Override,,,https://logos-api.apistemic.com/domain:eskola.com,Computed from Company Website,https://img.logo.dev/eskola.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Espaces Knoxville,ESPACES KNOXVILLE,Commercial Services,Master Override,Food distribution,Master Override,424490,424490,Master Override,42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42449,Other Grocery and Related Products Merchant Wholesalers,424490,Other Grocery and Related Products Merchant Wholesalers,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,espaces.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:espaces.com,Computed from Company Website,https://img.logo.dev/espaces.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Essity Operations Wausau US31HA,ESSITY OPERATIONS WAUSAU US31HA,Manufacturing,Master Override,Paper Products Mfg,Master Override,322121,322121,Master Override,31-33,Manufacturing,322,Paper Manufacturing,3221,"Pulp, Paper, and Paperboard Mills",32212,Paper Mills,322121,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,essity.com,Master Override,,,https://logos-api.apistemic.com/domain:essity.com,Computed from Company Website,https://img.logo.dev/essity.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Ethos Laboratories,ETHOS LABORATORIES,Healthcare / Senior Living,Master Override,Clinical Laboratory,Master Override,621511,621511,Master Override,62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6215,Medical and Diagnostic Laboratories,62151,Medical and Diagnostic Laboratories,621511,Medical Laboratories,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,ethos-labs.com,Master Override,,,https://logos-api.apistemic.com/domain:ethos-labs.com,Computed from Company Website,https://img.logo.dev/ethos-labs.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Eubel Brady and Suttman,EUBEL BRADY AND SUTTMAN,Financial Services,Master Override,Asset Management,Master Override,523930,523930,Master Override,52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5239,Other Financial Investment Activities,52393,,523930,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,ebsinvests.com,Master Override,,,https://logos-api.apistemic.com/domain:ebsinvests.com,Computed from Company Website,https://img.logo.dev/ebsinvests.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
European Wax Centers,EUROPEAN WAX CENTERS,Commercial Services,Master Override,Personal Care Services,Master Override,812199,812199,Master Override,81,Other Services (except Public Administration),812,Personal and Laundry Services,8121,Personal Care Services,81219,Other Personal Care Services,812199,Other Personal Care Services,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,waxcenter.com,Master Override,,,https://logos-api.apistemic.com/domain:waxcenter.com,Computed from Company Website,https://img.logo.dev/waxcenter.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Eurostampa,EUROSTAMPA,Manufacturing,Master Override,Label Manufacturing,Master Override,323111,323111,Master Override,31-33,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing,323111,Commercial Printing (except Screen and Books),AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,eurostampa.com,Master Override,,,https://logos-api.apistemic.com/domain:eurostampa.com,Computed from Company Website,https://img.logo.dev/eurostampa.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Ev Bishoff,EV BISHOFF,Commercial Real Estate,Segmentation Logic,Commercial Real Estate Owner,Verified Enrichment,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,evbco.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:evbco.com,Computed from Company Website,https://img.logo.dev/evbco.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Evans Energy,EVANS ENERGY,Energy Services,Master Override,Energy Efficiency,Master Override,541330,541330,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",54133,Engineering Services,541330,Engineering Services,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,evansenergyllc.com,Master Override,,,https://logos-api.apistemic.com/domain:evansenergyllc.com,Computed from Company Website,https://img.logo.dev/evansenergyllc.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,TRUE,2
Evenflo,EVENFLO,Manufacturing,Master Override,Juvenile Products Mfg,Master Override,339999,339999,Master Override,31-33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33999,All Other Miscellaneous Manufacturing,339999,All Other Miscellaneous Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,evenflo.com,Master Override,,,https://logos-api.apistemic.com/domain:evenflo.com,Computed from Company Website,https://img.logo.dev/evenflo.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
The Ew Scripps Co,EW SCRIPPS,Commercial Services,Master Override,Broadcasting & Media,Master Override,515120,515120,Master Override,51,Information,515,,5151,,51512,,515120,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,scripps.com,Master Override,,,https://logos-api.apistemic.com/domain:scripps.com,Computed from Company Website,https://img.logo.dev/scripps.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Excalibur Development,EXCALIBUR DEVELOPMENT,Commercial Real Estate,Segmentation Logic,Real Estate Development,Verified Enrichment,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,excaliburdevco.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:excaliburdevco.com,Computed from Company Website,https://img.logo.dev/excaliburdevco.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Excel Clips,EXCEL CLIPS,Manufacturing,Master Override,Industrial Fasteners & Metal Components,Master Override,332,332,Master Override,31-33,Manufacturing,332,Fabricated Metal Product Manufacturing,,,,,,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,excelclips.com,Master Override,,,https://logos-api.apistemic.com/domain:excelclips.com,Computed from Company Website,https://img.logo.dev/excelclips.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Exchange Right Net Leased Portfolio 29 Dst,EXCHANGE RIGHT NET LEASED PORTFOLIO 29 DST,Commercial Real Estate,Master Override,Net lease DST portfolio,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,exchangeright.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:exchangeright.com,Computed from Company Website,https://img.logo.dev/exchangeright.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Executive Hotel Management Dba Crowne Plaza Knoxville,EXECUTIVE HOTEL MANAGEMENT DBA CROWNE PLAZA KNOXVILLE,Commercial Services,Master Override,Food distribution,Master Override,424490,424490,Master Override,42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42449,Other Grocery and Related Products Merchant Wholesalers,424490,Other Grocery and Related Products Merchant Wholesalers,Rule-Based,Final,High,Verified enrichment updated: Company Website,Hospitality,Segmentation Logic,crowneknox.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:crowneknox.com,Computed from Company Website,https://img.logo.dev/crowneknox.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Exeter 1415 Collins LP,EXETER 1415 COLLINS LP,Commercial Real Estate,Master Override,Property LP,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,eqtgroup.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:eqtgroup.com,Computed from Company Website,https://img.logo.dev/eqtgroup.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Exeter 55015599 West 74TH St IN,EXETER 55015599 WEST 74TH ST IN,Commercial Real Estate,Master Override,Property entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,eqtgroup.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:eqtgroup.com,Computed from Company Website,https://img.logo.dev/eqtgroup.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Exeter 7555 Woodland,EXETER 7555 WOODLAND,Commercial Real Estate,Master Override,Property entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,eqtgroup.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:eqtgroup.com,Computed from Company Website,https://img.logo.dev/eqtgroup.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Exeter Property Group Advisors LP,EXETER PROPERTY GROUP ADVISORS LP,Commercial Real Estate,Segmentation Logic,Real Estate Investment,Verified Enrichment,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,eqtexeter.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:eqtexeter.com,Computed from Company Website,https://img.logo.dev/eqtexeter.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Exeter Realty Group,EXETER REALTY GROUP,Commercial Real Estate,Segmentation Logic,Real Estate Investment,Verified Enrichment,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,eqtexeter.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:eqtexeter.com,Computed from Company Website,https://img.logo.dev/eqtexeter.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Expression Manufacturing,EXPRESSION MANUFACTURING,Manufacturing,Master Override,Biopharmaceuticals Mfg,Master Override,325414,325414,Master Override,31-33,Manufacturing,325,Chemical Manufacturing,3254,Pharmaceutical and Medicine Manufacturing,32541,Pharmaceutical and Medicine Manufacturing,325414,Biological Product (except Diagnostic) Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,expressiontherapeutics.com,Master Override,,,https://logos-api.apistemic.com/domain:expressiontherapeutics.com,Computed from Company Website,https://img.logo.dev/expressiontherapeutics.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,TRUE,2
Exxcel Contract Management,EXXCEL CONTRACT MANAGEMENT,Commercial Services,Segmentation Logic,Construction Management,Verified Enrichment,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,exxcel.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:exxcel.com,Computed from Company Website,https://img.logo.dev/exxcel.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Ez Iron Serivce,EZ IRON SERIVCE,Construction,Master Override,Structural Steel & Iron Services,Master Override,2381,2381,Master Override,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",,,,,Heuristic + Location,Final,High,Verified enrichment updated: Company Website,,,eliteironohio.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:eliteironohio.com,Computed from Company Website,https://img.logo.dev/eliteironohio.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Ezell Harding Christian School,EZELL HARDING CHRISTIAN SCHOOL,Non-Profit / Religious,Segmentation Logic,Private School,Verified Enrichment,611110,611110,Verified Enrichment,61,Educational Services,611,Educational Services,6111,Elementary and Secondary Schools,61111,Elementary and Secondary Schools,611110,Elementary and Secondary Schools,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,ezellharding.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:ezellharding.com,Computed from Company Website,https://img.logo.dev/ezellharding.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Facility Gateway,FACILITY GATEWAY,Commercial Services,Master Override,UPS & Data Center Services,Master Override,811212,811212,Master Override,81,Other Services (except Public Administration),811,Repair and Maintenance,8112,Electronic and Precision Equipment Repair and Maintenance,81121,Electronic and Precision Equipment Repair and Maintenance,811212,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,facilitygateway.com,Master Override,,,https://logos-api.apistemic.com/domain:facilitygateway.com,Computed from Company Website,https://img.logo.dev/facilitygateway.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Fagerdala Packaging,FAGERDALA PACKAGING,Manufacturing,Segmentation Logic,Plastics Product Mfg,Verified Enrichment,326199,326199,Verified Enrichment,31-33,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32619,Other Plastics Product Manufacturing,326199,All Other Plastics Product Manufacturing,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,sealedair.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:sealedair.com,Computed from Company Website,https://img.logo.dev/sealedair.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Fairfield Township OH,FAIRFIELD TOWNSHIP OH,Municipal / Local Government,Segmentation Logic,Local Government,Verified Enrichment,921110,921110,Verified Enrichment,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,fairfieldtwp.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:fairfieldtwp.org,Computed from Company Website,https://img.logo.dev/fairfieldtwp.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Fairlane Hotel,FAIRLANE HOTEL,Commercial Services,Segmentation Logic,Luxury boutique hotel,Verified Enrichment,721110,721110,Verified Enrichment,72,Accommodation and Food Services,721,Accommodation,7211,Traveler Accommodation,72111,Hotels (except Casino Hotels) and Motels,721110,Hotels (except Casino Hotels) and Motels,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",Hospitality,Segmentation Logic,fairlanehotel.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:fairlanehotel.com,Computed from Company Website,https://img.logo.dev/fairlanehotel.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Family Nurturing,FAMILY NURTURING,Non-Profit / Religious,Master Override,Social Services Nonprofit,Master Override,624190,624190,Master Override,62,Health Care and Social Assistance,624,Social Assistance,6241,Individual and Family Services,62419,Other Individual and Family Services,624190,Other Individual and Family Services,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,familynurture.org,Master Override,,,https://logos-api.apistemic.com/domain:familynurture.org,Computed from Company Website,https://img.logo.dev/familynurture.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Farragut Medical,FARRAGUT MEDICAL,Healthcare / Senior Living,Segmentation Logic,,,62,62,Segmentation Logic,62,Health Care and Social Assistance,,,,,,,,,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Farragut Medical Llc'),,,,,,,,,,,Deferred,,FALSE,1
Fast of Northwest Ohio,FAST OF NORTHWEST OHIO,Non-Profit / Religious,Master Override,Workforce Development & Employment Services,Master Override,813,813,Master Override,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",,,,,,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,fastnwo.org,Master Override,,,https://logos-api.apistemic.com/domain:fastnwo.org,Computed from Company Website,https://img.logo.dev/fastnwo.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Fazio Cdba Voodoo Brewing,FAZIO CDBA VOODOO BREWING,Commercial Services,Master Override,Brewpub / Hospitality,Master Override,722511,722511,Master Override,72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,72251,Restaurants and Other Eating Places,722511,Full-Service Restaurants,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,voodoobrewery.com,Master Override,,,https://logos-api.apistemic.com/domain:voodoobrewery.com,Computed from Company Website,https://img.logo.dev/voodoobrewery.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Fcl Builders,FCL BUILDERS,Construction,Segmentation Logic,Commercial Construction,Verified Enrichment,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,fclbuilders.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:fclbuilders.com,Computed from Company Website,https://img.logo.dev/fclbuilders.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Fecon,FECON,Manufacturing,Master Override,Forestry Equipment Mfg,Master Override,333120,333120,Master Override,31-33,Manufacturing,333,Machinery Manufacturing,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",33312,Construction Machinery Manufacturing,333120,Construction Machinery Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,fecon.com,Master Override,,,https://logos-api.apistemic.com/domain:fecon.com,Computed from Company Website,https://img.logo.dev/fecon.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Federated Logistics,FEDERATED LOGISTICS,Commercial Services,Master Override,Logistics,Master Override,488510,488510,Master Override,48-49,Transportation and Warehousing,488,Support Activities for Transportation,4885,Freight Transportation Arrangement,48851,Freight Transportation Arrangement,488510,Freight Transportation Arrangement,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,fedlogistics.com,Master Override,,,https://logos-api.apistemic.com/domain:fedlogistics.com,Computed from Company Website,https://img.logo.dev/fedlogistics.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Feintool Cincinnati,FEINTOOL CINCINNATI,Manufacturing,Master Override,Metal Forming & Stamping,Master Override,332119,332119,Master Override,31-33,Manufacturing,332,Fabricated Metal Product Manufacturing,3321,Forging and Stamping,33211,Forging and Stamping,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,feintool.com,Master Override,,,https://logos-api.apistemic.com/domain:feintool.com,Computed from Company Website,https://img.logo.dev/feintool.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,TRUE,2
