Customer Key,Original Name,Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,NAICS Raw,NAICS Source,NAICS Sector Code,NAICS Sector Title,NAICS Subsector Code,NAICS Subsector Title,NAICS Industry Group Code,NAICS Industry Group Title,NAICS Industry Code,NAICS Industry Title,NAICS National Industry Code,NAICS National Industry Title,Method,Status,Confidence,Rationale,Support Category,Company Website,Company Logo URL,Company Logo URL (Apistemic),Company Logo URL (Logo.dev),Source
LV990479SERV_GP,Bullitt Ii Logistics Center Llc,Bullitt II Logistics Center,BULLITT II LOGISTICS CENTER,Commercial Real Estate,Industrial property/logistics center,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,core5industrial.com,,https://logos-api.apistemic.com/domain:core5industrial.com,https://img.logo.dev/core5industrial.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
BUNNMECH_GP,"Bunnell Hill Construction, Inc",Bunnell Hill Construction,BUNNELL HILL CONSTRUCTION,Construction,Commercial Construction,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,schuelergroup.com,,https://logos-api.apistemic.com/domain:schuelergroup.com,https://img.logo.dev/schuelergroup.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CN991997SERV_GP,Bunzl,Bunzl,BUNZL,Commercial Services,Distribution,4241,4241,Master Override,42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4241,Paper and Paper Product Merchant Wholesalers,,,,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,bunzl.com,,https://logos-api.apistemic.com/domain:bunzl.com,https://img.logo.dev/bunzl.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN992280SERV_GP,Bunzl,Bunzl,BUNZL,Commercial Services,Distribution,4241,4241,Master Override,42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4241,Paper and Paper Product Merchant Wholesalers,,,,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,bunzl.com,,https://logos-api.apistemic.com/domain:bunzl.com,https://img.logo.dev/bunzl.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN991649SERV_GP,Burke-Ailey Construction Co Inc,Burkeailey Construction,BURKEAILEY CONSTRUCTION,Construction,General Contractor,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,burke-ailey.com,,https://logos-api.apistemic.com/domain:burke-ailey.com,https://img.logo.dev/burke-ailey.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
BUTLER RURALMECH_GP,Butler Rural Electric Cooperative,Butler Rural Electric Cooperative,BUTLER RURAL ELECTRIC COOPERATIVE,Utilities,Electric Cooperative,221122,221122,Verified Enrichment,22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22112,"Electric Power Transmission, Control, and Distribution",221122,Electric Power Distribution,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,butlerrural.coop,,https://logos-api.apistemic.com/domain:butlerrural.coop,https://img.logo.dev/butlerrural.coop?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CN991823SERV_GP,Butler Rural Electric Cooperative,Butler Rural Electric Cooperative,BUTLER RURAL ELECTRIC COOPERATIVE,Utilities,Electric Cooperative,221122,221122,Verified Enrichment,22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22112,"Electric Power Transmission, Control, and Distribution",221122,Electric Power Distribution,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,butlerrural.coop,,https://logos-api.apistemic.com/domain:butlerrural.coop,https://img.logo.dev/butlerrural.coop?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
BWAY CORPORATIOMECH_GP,Bway Corporation,Bway,BWAY,Manufacturing,Packaging manufacturing (BWAY),3324,3324,Master Override,31-33,Manufacturing,332,Fabricated Metal Product Manufacturing,3324,"Boiler, Tank, and Shipping Container Manufacturing",,,,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,mauserpackaging.com,,https://logos-api.apistemic.com/domain:mauserpackaging.com,https://img.logo.dev/mauserpackaging.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CN991086SERV_GP,Bway Corporation,Bway,BWAY,Manufacturing,Packaging manufacturing (BWAY),3324,3324,Master Override,31-33,Manufacturing,332,Fabricated Metal Product Manufacturing,3324,"Boiler, Tank, and Shipping Container Manufacturing",,,,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,mauserpackaging.com,,https://logos-api.apistemic.com/domain:mauserpackaging.com,https://img.logo.dev/mauserpackaging.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990325SERV_GP,Bwi Indiana Incorporated,Bwi Indiana,BWI INDIANA,Commercial Services,Entity unclear,236116,236116,Verified Enrichment,23,Construction,236,Construction of Buildings,2361,Residential Building Construction,23611,Residential Building Construction,236116,New Multifamily Housing Construction (except For-Sale Builders),AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,bwillc.com,,https://logos-api.apistemic.com/domain:bwillc.com,https://img.logo.dev/bwillc.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
NV15085SERV_GP,Byrna Technologies Inc,Byrna Technologies,BYRNA TECHNOLOGIES,Manufacturing,Manufacturing (brand),332994,332994,Verified Enrichment,31-33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33299,All Other Fabricated Metal Product Manufacturing,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,byrna.com,,https://logos-api.apistemic.com/domain:byrna.com,https://img.logo.dev/byrna.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN992235SERV_GP,Byron Products,Byron Products,BYRON PRODUCTS,Manufacturing,Manufacturing (unclear),332811,332811,Verified Enrichment,31-33,Manufacturing,332,Fabricated Metal Product Manufacturing,3328,"Coating, Engraving, Heat Treating, and Allied Activities",33281,"Coating, Engraving, Heat Treating, and Allied Activities",332811,Metal Heat Treating,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,byronproducts.com,,https://logos-api.apistemic.com/domain:byronproducts.com,https://img.logo.dev/byronproducts.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN991936SERV_GP,C&L Properties,C and L Properties,C AND L PROPERTIES,Commercial Real Estate,Property Holding,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail",,,,,,SERV_GP
CN992266SERV_GP,C. Banks Property Management Llc.,C Banks Property Management,C BANKS PROPERTY MANAGEMENT,Commercial Real Estate,Property Management,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail",,,,,,SERV_GP
NV00176SERV_GP,C.B. Ragland Company,Cb Ragland,CB RAGLAND,Commercial Services,Individual/entity unclear,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,cbragland.com,,https://logos-api.apistemic.com/domain:cbragland.com,https://img.logo.dev/cbragland.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
LX990331SERV_GP,C.I. Thornburg,Ci Thornburg,CI THORNBURG,Commercial Services,Entity unclear,423830,423830,Verified Enrichment,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",42383,Industrial Machinery and Equipment Merchant Wholesalers,423830,Industrial Machinery and Equipment Merchant Wholesalers,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,citcowater.com,,https://logos-api.apistemic.com/domain:citcowater.com,https://img.logo.dev/citcowater.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
DY990991SERV_GP,C/O Ventas Healthcare Realty Llc,CO Ventas Healthcare Realty,CO VENTAS HEALTHCARE REALTY,Healthcare / Senior Living,Healthcare REIT,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,ventasreit.com,,https://logos-api.apistemic.com/domain:ventasreit.com,https://img.logo.dev/ventasreit.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
DY991127SERV_GP,C5 Gateway 3 Llc,C5 Gateway 3,C5 GATEWAY 3,Commercial Real Estate,Property entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,core5industrial.com,,https://logos-api.apistemic.com/domain:core5industrial.com,https://img.logo.dev/core5industrial.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990226SERV_GP,Cablemaster,Cablemaster,CABLEMASTER,Manufacturing,Industrial cable (unclear),423610,423610,Verified Enrichment,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,cablemaster.com,,https://logos-api.apistemic.com/domain:cablemaster.com,https://img.logo.dev/cablemaster.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990405SERV_GP,"Cablemaster, Inc.",Cablemaster,CABLEMASTER,Manufacturing,Industrial cable (unclear),423610,423610,Verified Enrichment,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,cablemaster.com,,https://logos-api.apistemic.com/domain:cablemaster.com,https://img.logo.dev/cablemaster.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN930126SERV_GP,Cac,Cac,CAC,Commercial Services,Distribution/logistics (unclear),4931,4931,Master Override,48-49,Transportation and Warehousing,493,Warehousing and Storage,4931,Warehousing and Storage,,,,,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,,,,SERV_GP
CACMECH_GP,Cac Distribution,Cac Distribution,CAC DISTRIBUTION,Commercial Services,Distribution/logistics (unclear),4931,4931,Master Override,48-49,Transportation and Warehousing,493,Warehousing and Storage,4931,Warehousing and Storage,,,,,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,,,,MECH_GP
CADENCEMECH_GP,Cadence Mcshane Corporation,Cadence Mcshane,CADENCE MCSHANE,Commercial Services,Construction/GC,2362,2362,Master Override,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,cadencemcshane.com,,https://logos-api.apistemic.com/domain:cadencemcshane.com,https://img.logo.dev/cadencemcshane.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CN991973SERV_GP,California Closets,California Closets,CALIFORNIA CLOSETS,Commercial Services,Home organization retail/services,4422,4422,Master Override,44-45,Retail Trade,442,,4422,,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,californiaclosets.com,,https://logos-api.apistemic.com/domain:californiaclosets.com,https://img.logo.dev/californiaclosets.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN991956SERV_GP,Callisons,Callisons,CALLISONS,Commercial Services,Fragrance/ingredients (mfg),325,325,Master Override,31-33,Manufacturing,325,Chemical Manufacturing,,,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,callisons.com,,https://logos-api.apistemic.com/domain:callisons.com,https://img.logo.dev/callisons.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990059SERV_GP,Calumet Lubricants,Calumet Lubricants,CALUMET LUBRICANTS,Manufacturing,Lubricants/refining,3241,3241,Master Override,31-33,Manufacturing,324,Petroleum and Coal Products Manufacturing,3241,Petroleum and Coal Products Manufacturing,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,calumetspecialty.com,,https://logos-api.apistemic.com/domain:calumetspecialty.com,https://img.logo.dev/calumetspecialty.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CALVARY EPISCMECH_GP,Calvary Episcopal Church,Calvary Episcopal Church,CALVARY EPISCOPAL CHURCH,Non-Profit / Religious,Religious Organization,813110,813110,Verified Enrichment,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8131,Religious Organizations,81311,Religious Organizations,813110,Religious Organizations,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,calvaryclifton.org,,https://logos-api.apistemic.com/domain:calvaryclifton.org,https://img.logo.dev/calvaryclifton.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
IN990256SERV_GP,Cambridge City Public Library,Cambridge City Public Library,CAMBRIDGE CITY PUBLIC LIBRARY,Municipal / Local Government,Public Library,519120,519120,Verified Enrichment,51,Information,519,"Web Search Portals, Libraries, Archives, and Other Information Services",5191,,51912,,519120,,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,ccitypl.org,,https://logos-api.apistemic.com/domain:ccitypl.org,https://img.logo.dev/ccitypl.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990357SERV_GP,Campbell'S Snacks,Campbells Snacks,CAMPBELLS SNACKS,Manufacturing,Snack Food Manufacturing,311919,311919,Master Override,31-33,Manufacturing,311,Food Manufacturing,3119,Other Food Manufacturing,31191,Snack Food Manufacturing,311919,Other Snack Food Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,thecampbellscompany.com,,https://logos-api.apistemic.com/domain:thecampbellscompany.com,https://img.logo.dev/thecampbellscompany.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
LV990456SERV_GP,Campbellsville University,Campbellsville University,CAMPBELLSVILLE UNIVERSITY,University / College,Private University,611310,611310,Verified Enrichment,61,Educational Services,611,Educational Services,6113,"Colleges, Universities, and Professional Schools",61131,"Colleges, Universities, and Professional Schools",611310,"Colleges, Universities, and Professional Schools",Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,campbellsville.edu,,https://logos-api.apistemic.com/domain:campbellsville.edu,https://img.logo.dev/campbellsville.edu?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
DY991013SERV_GP,Canal Winchester Logistics Llc C/O Jll,JLL Property Management,JLL PROPERTY MANAGEMENT,Commercial Real Estate,Commercial Real Estate Services,531210,531210,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5312,Offices of Real Estate Agents and Brokers,53121,Offices of Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,jll.com,,https://logos-api.apistemic.com/domain:jll.com,https://img.logo.dev/jll.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
DY991152SERV_GP,Candex Solutions Inc,Candex Solutions,CANDEX SOLUTIONS,Commercial Services,Services/solutions (unclear),522320,522320,Verified Enrichment,52,Finance and Insurance,522,Credit Intermediation and Related Activities,5223,Activities Related to Credit Intermediation,52232,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,candex.com,,https://logos-api.apistemic.com/domain:candex.com,https://img.logo.dev/candex.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992116SERV_GP,Cannon Automotive Solutions,Cannon Automotive Solutions,CANNON AUTOMOTIVE SOLUTIONS,Manufacturing,Automotive components,3363,3363,Master Override,31-33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,clevelandcliffs.com,,https://logos-api.apistemic.com/domain:clevelandcliffs.com,https://img.logo.dev/clevelandcliffs.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN991412SERV_GP,Capital Commercial Real Estate,Capital Commercial Real Estate,CAPITAL COMMERCIAL REAL ESTATE,Commercial Real Estate,Commercial Real Estate Brokerage,531210,531210,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5312,Offices of Real Estate Agents and Brokers,53121,Offices of Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,capitalrealestate.com,,https://logos-api.apistemic.com/domain:capitalrealestate.com,https://img.logo.dev/capitalrealestate.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992135SERV_GP,Capstar Bank,Capstar Bank,CAPSTAR BANK,Financial Services,Commercial Banking,522110,522110,Verified Enrichment,52,Finance and Insurance,522,Credit Intermediation and Related Activities,5221,Depository Credit Intermediation,52211,Commercial Banking,522110,Commercial Banking,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,capstarbank.com,,https://logos-api.apistemic.com/domain:capstarbank.com,https://img.logo.dev/capstarbank.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992193SERV_GP,Capstone Concepts,Capstone Concepts,CAPSTONE CONCEPTS,Commercial Services,Consulting/services (unclear),722511,722511,Verified Enrichment,72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,72251,Restaurants and Other Eating Places,722511,Full-Service Restaurants,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,capstoneconcepts.com,,https://logos-api.apistemic.com/domain:capstoneconcepts.com,https://img.logo.dev/capstoneconcepts.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN991903SERV_GP,Captain'S Watch Coa,Captains Watch Coa,CAPTAINS WATCH COA,Commercial Services,Condo association,8139,8139,Master Override,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8139,"Business, Professional, Labor, Political, and Similar Organizations",,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
CAREGIVERSMECH_GP,Caregivers,Caregivers,CAREGIVERS,Commercial Services,Home care (unclear),6216,6216,Master Override,62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6216,Home Health Care Services,,,,,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,,,,MECH_GP
CARESOURCEMECH_GP,Caresource Management Group,Caresource Management Group,CARESOURCE MANAGEMENT GROUP,Commercial Services,Health Insurance,524114,524114,Verified Enrichment,52,Finance and Insurance,524,Insurance Carriers and Related Activities,5241,Insurance Carriers,52411,"Direct Life, Health, and Medical Insurance Carriers",524114,Direct Health and Medical Insurance Carriers,Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,caresource.com,,https://logos-api.apistemic.com/domain:caresource.com,https://img.logo.dev/caresource.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
LV990448SERV_GP,Carhartt Inc,Carhartt,CARHARTT,Commercial Services,Apparel brand,4481,4481,Master Override,44-45,Retail Trade,448,,4481,,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,carhartt.com,,https://logos-api.apistemic.com/domain:carhartt.com,https://img.logo.dev/carhartt.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN992231SERV_GP,Carl Zeiss Vision,Carl Zeiss Vision,CARL ZEISS VISION,Commercial Services,Optical products,3391,3391,Master Override,31-33,Manufacturing,339,Miscellaneous Manufacturing,3391,Medical Equipment and Supplies Manufacturing,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,zeiss.com,,https://logos-api.apistemic.com/domain:zeiss.com,https://img.logo.dev/zeiss.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
NV00037SERV_GP,Carlex Glass America - Nashville Glass Plant Gd02A,Carlex Glass America Nashville Glass Plant GD02A,CARLEX GLASS AMERICA NASHVILLE GLASS PLANT GD02A,Manufacturing,Automotive Glass Mfg,327211,327211,Verified Enrichment,31-33,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3272,Glass and Glass Product Manufacturing,32721,Glass and Glass Product Manufacturing,327211,Flat Glass Manufacturing,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,carlex.com,,https://logos-api.apistemic.com/domain:carlex.com,https://img.logo.dev/carlex.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN950446SERV_GP,Carlstar Group,Carlstar Group,CARLSTAR GROUP,Manufacturing,Tires/industrial,3262,3262,Master Override,31-33,Manufacturing,326,Plastics and Rubber Products Manufacturing,3262,Rubber Product Manufacturing,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,carlstar.com,,https://logos-api.apistemic.com/domain:carlstar.com,https://img.logo.dev/carlstar.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992229SERV_GP,Carlton Industrial Solutions,Carlton Industrial Solutions,CARLTON INDUSTRIAL SOLUTIONS,Commercial Services,Industrial services/distribution,4238,4238,Master Override,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,carltonscale.com,,https://logos-api.apistemic.com/domain:carltonscale.com,https://img.logo.dev/carltonscale.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992064SERV_GP,Carolina Ale House,Carolina Ale House,CAROLINA ALE HOUSE,Commercial Services,Restaurant/bar,7225,7225,Master Override,72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,Hospitality,carolinaalehouse.com,,https://logos-api.apistemic.com/domain:carolinaalehouse.com,https://img.logo.dev/carolinaalehouse.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
NV15077SERV_GP,Carothers Corner Llc,Carothers Corner,CAROTHERS CORNER,Commercial Real Estate,Retail Center,531120,531120,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,,,,SERV_GP
CARRMECH_GP,Carrera Construction,Carrera Construction,CARRERA CONSTRUCTION,Construction,General Contractor,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,carrerabuilds.com,,https://logos-api.apistemic.com/domain:carrerabuilds.com,https://img.logo.dev/carrerabuilds.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CARROLL CTY SCHMECH_GP,Carroll County School District,Carroll County School District,CARROLL COUNTY SCHOOL DISTRICT,Public Schools (K–12),Public School District,611110,611110,Verified Enrichment,61,Educational Services,611,Educational Services,6111,Elementary and Secondary Schools,61111,Elementary and Secondary Schools,611110,Elementary and Secondary Schools,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,carroll.kyschools.us,,https://logos-api.apistemic.com/domain:carroll.kyschools.us,https://img.logo.dev/carroll.kyschools.us?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CARTER CTYMECH_GP,Carter County Fiscal Court,Carter County Fiscal Court,CARTER COUNTY FISCAL COURT,Municipal / Local Government,Local Government,921110,921110,Master Override,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,cartercountyky.com,https://stgreen.blob.core.windows.net/logos/CARTER_COUNTY_FISCAL_COURT.png,https://logos-api.apistemic.com/domain:cartercountyky.com,https://img.logo.dev/cartercountyky.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
LX990318SERV_GP,Carter County Fiscal Court,Carter County Fiscal Court,CARTER COUNTY FISCAL COURT,Municipal / Local Government,Local Government,921110,921110,Master Override,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,cartercountyky.com,https://stgreen.blob.core.windows.net/logos/CARTER_COUNTY_FISCAL_COURT.png,https://logos-api.apistemic.com/domain:cartercountyky.com,https://img.logo.dev/cartercountyky.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
