Customer Name,Customer Number,Customer Key,Source,Last Billing Date (Any Stream)
Covington Air Systems Inc,LX990378,LX990378SERV_GP,SERV_GP,2021-03-04 00:00:00
Cp Vi Llv,TN992218,TN992218SERV_GP,SERV_GP,2025-11-01 00:00:00
Cpiii Gp C/O Commercial & Investment Properties Inc,TN992153,TN992153SERV_GP,SERV_GP,2024-02-02 00:00:00
Cps Inc,IN990362,IN990362SERV_GP,SERV_GP,2022-07-01 00:00:00
Creative Images Institute Of Cosmetology,DY991151,DY991151SERV_GP,SERV_GP,2025-11-06 00:00:00
Creative Liquid Coatings Inc,LX990397,LX990397SERV_GP,SERV_GP,2025-11-01 00:00:00
Creative Structures Inc,TN991454,TN991454SERV_GP,SERV_GP,2026-01-01 00:00:00
"Crescent Building Group, Inc.",CRESCENT,CRESCENTMECH_GP,MECH_GP,2014-02-01 00:00:00
Crestwood Christian Church,LX990055,LX990055SERV_GP,SERV_GP,2021-08-11 00:00:00
Crew Hq C/O Alo Property Management,IN990414,IN990414SERV_GP,SERV_GP,2025-10-21 00:00:00
Crocs,CROCS,CROCSMECH_GP,MECH_GP,2023-05-01 00:00:00
Crocs Inc,DY991125,DY991125SERV_GP,SERV_GP,2025-11-11 00:00:00
Cross Keys Condo Association,CN992293,CN992293SERV_GP,SERV_GP,2025-07-01 00:00:00
Crosspoint Church,NV00011,NV00011SERV_GP,SERV_GP,2025-11-20 00:00:00
Crossroads,CROSSROADS,CROSSROADSMECH_GP,MECH_GP,2014-11-01 00:00:00
Crossroads Medical Group,CRO001,CRO001SERV_GP,SERV_GP,2025-11-19 00:00:00
Crossroads Orthopedics Arthrex,IN990252,IN990252SERV_GP,SERV_GP,2020-10-01 00:00:00
Crossview Christian Church,CROSSVIEW,CROSSVIEWMECH_GP,MECH_GP,2009-06-01 00:00:00
Crown Lift Trucks,DY991142,DY991142SERV_GP,SERV_GP,2025-10-30 00:00:00
Crown Packaging Corp,CN992250,CN992250SERV_GP,SERV_GP,2025-10-01 00:00:00
Crowne Plaza Union Station,IN990444,IN990444SERV_GP,SERV_GP,2024-11-01 00:00:00
Cs Leasing Llc,CN990936,CN990936SERV_GP,SERV_GP,2026-01-09 00:00:00
Cta Acoustics,LX990357,LX990357SERV_GP,SERV_GP,2025-12-12 00:00:00
Ctdi,NV00150,NV00150SERV_GP,SERV_GP,2025-05-01 00:00:00
"Curtis-Maruyasu America, Inc",LX990243,LX990243SERV_GP,SERV_GP,2025-12-10 00:00:00
Cushman & Wakefield,DY990960,DY990960SERV_GP,SERV_GP,2021-11-15 00:00:00
Cushman & Wakefield,IN990202,IN990202SERV_GP,SERV_GP,2020-11-18 00:00:00
Cushman & Wakefield,WV990253,WV990253SERV_GP,SERV_GP,2022-10-31 00:00:00
Cushman & Wakefield Billing,CN992074,CN992074SERV_GP,SERV_GP,2023-08-30 00:00:00
Cushman & Wakefield C/O Gainwell Tech,LX990386,LX990386SERV_GP,SERV_GP,2022-06-24 00:00:00
Cushman & Wakefield Critical Solutions,CN992188,CN992188SERV_GP,SERV_GP,2023-05-08 00:00:00
Cushman & Wakefield Fidelity,CN992157,CN992157SERV_GP,SERV_GP,2023-05-01 00:00:00
Cushman & Wakefield Fidelity,DY991051,DY991051SERV_GP,SERV_GP,2023-05-01 00:00:00
Cushman & Wakefield Fidelity,IN990412,IN990412SERV_GP,SERV_GP,2023-06-06 00:00:00
Cushman & Wakefield Fidelity,LV990446,LV990446SERV_GP,SERV_GP,2023-03-24 00:00:00
Cushman & Wakefield Humana,LV990440,LV990440SERV_GP,SERV_GP,2023-06-21 00:00:00
Cushman & Wakefield Monroe,CN992030,CN992030SERV_GP,SERV_GP,2024-12-04 00:00:00
"Cushman & Wakefield U.S., Inc.",DY991059,DY991059SERV_GP,SERV_GP,2023-09-06 00:00:00
Cushman & Wakefield Us Inc,NV00050,NV00050SERV_GP,SERV_GP,2025-03-01 00:00:00
Cushman & Wakefield/Cornerstone,CUSHMAN & WAKEF,CUSHMAN & WAKEFMECH_GP,MECH_GP,2015-06-01 00:00:00
Cushman & Wakefiled Us Inc - Humana,LV990415,LV990415SERV_GP,SERV_GP,2023-02-13 00:00:00
Custom Med Apothecary,IN990215,IN990215SERV_GP,SERV_GP,2025-09-01 00:00:00
Cutting Crew,TN992192,TN992192SERV_GP,SERV_GP,2025-07-01 00:00:00
Cyclebar,TN991914,TN991914SERV_GP,SERV_GP,2025-11-01 00:00:00
D.E.R. Development,DER DEVEL,DER DEVELMECH_GP,MECH_GP,2010-11-01 00:00:00
Dae Il Usa Inc,NV15042,NV15042SERV_GP,SERV_GP,2023-10-20 00:00:00
Daleville Community Schools,IN990149,IN990149SERV_GP,SERV_GP,2025-12-18 00:00:00
Daltile Corporation,NV15020,NV15020SERV_GP,SERV_GP,2024-07-10 00:00:00
Dam Holdings Llc,LX990400,LX990400SERV_GP,SERV_GP,2022-05-27 00:00:00
Dan Beard Council Bsoa,CN991988,CN991988SERV_GP,SERV_GP,2024-02-20 00:00:00
Dana Danville,LX200412,LX200412SERV_GP,SERV_GP,2025-11-01 00:00:00
Dana Louisville,LV200403,LV200403SERV_GP,SERV_GP,2025-12-16 00:00:00
Danimer Scientific Kentucky,LX990429,LX990429SERV_GP,SERV_GP,2023-04-24 00:00:00
Danis,DANIS,DANISMECH_GP,MECH_GP,2025-07-01 00:00:00
Danis Building,DANI,DANIMECH_GP,MECH_GP,2020-01-01 00:00:00
Data Tech Depot - Hamilton,CN991587,CN991587SERV_GP,SERV_GP,2021-12-07 00:00:00
Dave Agricola,TN991904,TN991904SERV_GP,SERV_GP,2024-01-04 00:00:00
David Agricola,CN992289,CN992289SERV_GP,SERV_GP,2025-06-26 00:00:00
Davis Distribution Systems,IN990220,IN990220SERV_GP,SERV_GP,2025-05-01 00:00:00
Davis Memorial Hospital,WV990210,WV990210SERV_GP,SERV_GP,2021-11-30 00:00:00
Davis Memorial Presbyterian Church,WV990235,WV990235SERV_GP,SERV_GP,2023-09-28 00:00:00
Davita Health Care West Virginia,WV990134,WV990134SERV_GP,SERV_GP,2025-11-01 00:00:00
Dayton Art Institute,DY990880,DY990880SERV_GP,SERV_GP,2025-10-12 00:00:00
Dayton Board Of Education,DY991031,DY991031SERV_GP,SERV_GP,2025-06-19 00:00:00
Dayton Masonic Center,DY990996,DY990996SERV_GP,SERV_GP,2022-06-01 00:00:00
Dayton Public Schools,DY990726,DY990726SERV_GP,SERV_GP,2025-11-01 00:00:00
Dayton Public Schools District,DAYTON SCHOOLS,DAYTON SCHOOLSMECH_GP,MECH_GP,2026-01-01 00:00:00
"Dcm Products, Inc.",CN991983,CN991983SERV_GP,SERV_GP,2025-12-19 00:00:00
Dcp Holding Company,CN990724,CN990724SERV_GP,SERV_GP,2023-10-01 00:00:00
"Dct Property Management, Llc",DCT PROPERTY,DCT PROPERTYMECH_GP,MECH_GP,2019-05-01 00:00:00
Ddc Dowell Springs Llc C/O Realty Trust Group Llc,TN991885,TN991885SERV_GP,SERV_GP,2025-02-19 00:00:00
Deaconess Long Term Care Of Oh,DEACONESS,DEACONESSMECH_GP,MECH_GP,2013-03-01 00:00:00
Deaconess Memorial Medical Center,LV990535,LV990535SERV_GP,SERV_GP,2025-10-01 00:00:00
Dearringer Buildings Llc,IN990331,IN990331SERV_GP,SERV_GP,2021-01-01 00:00:00
Debra-Kuempel,DEBRA KUEMPEL,DEBRA KUEMPELMECH_GP,MECH_GP,2026-01-01 00:00:00
Deceuninck North America,CN992320,CN992320SERV_GP,SERV_GP,2026-01-05 00:00:00
Decoach Recovery Centre,CN992271,CN992271SERV_GP,SERV_GP,2025-06-12 00:00:00
Deerfield Township,CN991800,CN991800SERV_GP,SERV_GP,2025-11-25 00:00:00
Deerfield Township Fire Department #58,CN991876,CN991876SERV_GP,SERV_GP,2025-11-13 00:00:00
Delta Hotels Ashland Downtown,WV990294,WV990294SERV_GP,SERV_GP,2025-01-28 00:00:00
Delta Natural Gas,LX950069,LX950069SERV_GP,SERV_GP,2025-12-26 00:00:00
Deluxe Nails Billing,CN992075,CN992075SERV_GP,SERV_GP,2022-10-21 00:00:00
Deming Enterprise Inc,DEMING,DEMINGMECH_GP,MECH_GP,2021-09-01 00:00:00
"Denham-Blythe Company, Inc.",DENH,DENHMECH_GP,MECH_GP,2013-08-01 00:00:00
"Denier Electric Co., Inc.",DENIER ELECTRIC,DENIER ELECTRICMECH_GP,MECH_GP,2015-06-01 00:00:00
Denision University,DENISON UNIVERS,DENISON UNIVERSMECH_GP,MECH_GP,2013-11-01 00:00:00
Denso Manufacturing,TN991214,TN991214SERV_GP,SERV_GP,2025-11-01 00:00:00
Dent Crossing,CN992103,CN992103SERV_GP,SERV_GP,2023-12-04 00:00:00
Dental Care Plus,DENTAL CARE,DENTAL CAREMECH_GP,MECH_GP,2007-03-01 00:00:00
Dental Partners South Knoxville,TN991850,TN991850SERV_GP,SERV_GP,2023-07-01 00:00:00
Department Of Public Works,IN990467,IN990467SERV_GP,SERV_GP,2025-02-20 00:00:00
Department Of Veterans Services,DEPT OF VETERAN,DEPT OF VETERANMECH_GP,MECH_GP,2014-09-01 00:00:00
Dependable Supply Chain Services,IN990523,IN990523SERV_GP,SERV_GP,2025-12-12 00:00:00
Der Development Llc,CN992214,CN992214SERV_GP,SERV_GP,2023-01-20 00:00:00
Dermatology Assoc Of Ky C/O Haymaker Property Management,LX990383,LX990383SERV_GP,SERV_GP,2024-11-11 00:00:00
Dermatology Assoc Of Ky Psc,LX990076,LX990076SERV_GP,SERV_GP,2025-12-01 00:00:00
Design Build Solutions,DESIGN BUILD SO,DESIGN BUILD SOMECH_GP,MECH_GP,2021-10-01 00:00:00
Det Beverages Llc,NV00041,NV00041SERV_GP,SERV_GP,2025-12-16 00:00:00
Devitt & Associates,DEVITT,DEVITTMECH_GP,MECH_GP,2005-06-01 00:00:00
Dex Imaging,TN992186,TN992186SERV_GP,SERV_GP,2025-11-01 00:00:00
Dhl Cvg,CN992236,CN992236SERV_GP,SERV_GP,2023-10-10 00:00:00
Dhl Express,DHL EXPRESS,DHL EXPRESSMECH_GP,MECH_GP,2025-09-01 00:00:00
Dhl Express Inc,CN940262,CN940262SERV_GP,SERV_GP,2025-11-01 00:00:00
Dhl Global,CN991598,CN991598SERV_GP,SERV_GP,2023-08-01 00:00:00
Dhl Supply Chain,DHL SUPPLY CHAI,DHL SUPPLY CHAIMECH_GP,MECH_GP,2024-04-01 00:00:00
Dhl Supply Chain - Cost Center - 1377,CN992061,CN992061SERV_GP,SERV_GP,2025-09-10 00:00:00
Dhl Supply Chain - Cost Center - 5815,DY991049,DY991049SERV_GP,SERV_GP,2026-01-02 00:00:00
Dhl Supply Chain Cc5473,DY991081,DY991081SERV_GP,SERV_GP,2026-01-02 00:00:00
Diamond Electric Manufacturing,WV990172,WV990172SERV_GP,SERV_GP,2022-08-03 00:00:00
Dickey'S Barbecue Pit,TN992080,TN992080SERV_GP,SERV_GP,2022-03-17 00:00:00
Digital Futures Office 2 Llc,CN992259,CN992259SERV_GP,SERV_GP,2025-08-28 00:00:00
Diocese Of Covington,DIOCESE OF COV,DIOCESE OF COVMECH_GP,MECH_GP,2010-09-01 00:00:00
Diocese Of Knoxville,TN991427,TN991427SERV_GP,SERV_GP,2022-10-06 00:00:00
Director Of Choice Grants Tennesse Department Of Education,TN992129,TN992129SERV_GP,SERV_GP,2025-06-02 00:00:00
Disabled American Veterans,CN992149,CN992149SERV_GP,SERV_GP,2025-11-01 00:00:00
Distribution International,CN992284,CN992284SERV_GP,SERV_GP,2025-10-01 00:00:00
Diversified Construction Group,DCG,DCGMECH_GP,MECH_GP,2005-06-01 00:00:00
Diversified Gas & Oil,WV990242,WV990242SERV_GP,SERV_GP,2023-03-01 00:00:00
Diversified Management Plus,CN992187,CN992187SERV_GP,SERV_GP,2025-07-02 00:00:00
Dixon Bayco,CN992059,CN992059SERV_GP,SERV_GP,2025-11-10 00:00:00
Dmac Stationary  Developments Llc,LX990399,LX990399SERV_GP,SERV_GP,2022-05-17 00:00:00
"Dnu - Lifetime Products, Inc.",TN992003,TN992003SERV_GP,SERV_GP,2021-02-10 00:00:00
Dnu In Motion Orthopaedics,IN990260,IN990260SERV_GP,SERV_GP,2023-09-01 00:00:00
"Do It Right Excavating, Llc",DOITRIGHTEXCAVA,DOITRIGHTEXCAVAMECH_GP,MECH_GP,2025-02-01 00:00:00
Do Not Use,TN991961,TN991961SERV_GP,SERV_GP,2022-10-18 00:00:00
Do Not Use 45Ninety Construction Inc,CN992352,CN992352SERV_GP,SERV_GP,2025-06-04 00:00:00
Do Not Use Knoxville Properties Partnership-2Cs C/O Avison Young,TN992030,TN992030SERV_GP,SERV_GP,2023-06-24 00:00:00
"Dole Fresh Vegetables, Inc.",DOLE VEGETABLE,DOLE VEGETABLEMECH_GP,MECH_GP,2006-10-01 00:00:00
Dollar General,CN992198,CN992198SERV_GP,SERV_GP,2025-12-21 00:00:00
Dollywood,TN991806,TN991806SERV_GP,SERV_GP,2022-07-08 00:00:00
Dollywoods Dream More Resort,TN992051,TN992051SERV_GP,SERV_GP,2025-07-01 00:00:00
Domestic Uniform Rental,IN990330,IN990330SERV_GP,SERV_GP,2025-10-01 00:00:00
Dominican Fathers Province Of St Joseph,DOMINICAN FATHE,DOMINICAN FATHEMECH_GP,MECH_GP,2013-03-01 00:00:00
"Dominium, Inc.",CN950215,CN950215SERV_GP,SERV_GP,2025-12-29 00:00:00
"Donaldson Company, Inc.",DONALDSON,DONALDSONMECH_GP,MECH_GP,2009-10-01 00:00:00
Dorman Products,LV990520,LV990520SERV_GP,SERV_GP,2025-12-30 00:00:00
Doug Newberry,CN991944,CN991944SERV_GP,SERV_GP,2025-10-15 00:00:00
Downtime Rebuild,CN991958,CN991958SERV_GP,SERV_GP,2025-10-01 00:00:00
Downtown Property Solutions Llc,NV15057,NV15057SERV_GP,SERV_GP,2025-12-31 00:00:00
Downtown West Village Ii Owners Association Inc C/O Blue Ridge R,TN992205,TN992205SERV_GP,SERV_GP,2025-11-01 00:00:00
Dpsg,DY990985,DY990985SERV_GP,SERV_GP,2023-08-01 00:00:00
Dr Eli Karam  Phd,LV990424,LV990424SERV_GP,SERV_GP,2021-02-19 00:00:00
Dr Newby,DR NEWBY,DR NEWBYMECH_GP,MECH_GP,2010-08-01 00:00:00
Dr. Monica Newby,CN991288,CN991288SERV_GP,SERV_GP,2025-11-01 00:00:00
Dream Logistics,LV990474,LV990474SERV_GP,SERV_GP,2024-04-01 00:00:00
Drk Construction Services,DRK,DRKMECH_GP,MECH_GP,2015-02-01 00:00:00
Dry Creek Waste Water Treatment,DRY CREEK WWTP,DRY CREEK WWTPMECH_GP,MECH_GP,2010-11-01 00:00:00
Dsh & Associates Llc,TN992069,TN992069SERV_GP,SERV_GP,2021-11-29 00:00:00
Dtwp C/O Nai,TN992200,TN992200SERV_GP,SERV_GP,2025-11-01 00:00:00
Dtwph2 C/O Nai,TN992195,TN992195SERV_GP,SERV_GP,2025-12-15 00:00:00
Duck Donuts Knoxville,TN992130,TN992130SERV_GP,SERV_GP,2023-07-25 00:00:00
Dugan & Meyers,DUGAN,DUGANMECH_GP,MECH_GP,2011-11-01 00:00:00
Duke Construction L.P.,DUKE WEEKS,DUKE WEEKSMECH_GP,MECH_GP,2019-11-01 00:00:00
Duke Realty,DUKE REALTY,DUKE REALTYMECH_GP,MECH_GP,2021-08-01 00:00:00
Dunnhumby,DUNNHUMBY,DUNNHUMBYMECH_GP,MECH_GP,2013-05-01 00:00:00
Duro Dyne Corp,DURODYNE,DURODYNEMECH_GP,MECH_GP,2025-07-01 00:00:00
E Beam,E BEAM,E BEAMMECH_GP,MECH_GP,2021-11-01 00:00:00
E&E Manufacturing Of Tn Llc,TN991889,TN991889SERV_GP,SERV_GP,2021-05-26 00:00:00
E.C. Shaw,CN992218,CN992218SERV_GP,SERV_GP,2025-09-01 00:00:00
E.D. Bullard Co.,LX990411,LX990411SERV_GP,SERV_GP,2026-01-01 00:00:00
E.G.C. Corporation,EGC,EGCMECH_GP,MECH_GP,2014-08-01 00:00:00
Eagle Bend Manufacturing,TN992083,TN992083SERV_GP,SERV_GP,2024-03-25 00:00:00
Eagle Composites,CN992004,CN992004SERV_GP,SERV_GP,2025-12-16 00:00:00
Eagle Dayton Properties Llc,DY991089,DY991089SERV_GP,SERV_GP,2023-08-30 00:00:00
Eagle Realty Group,EAGLE REALTY,EAGLE REALTYMECH_GP,MECH_GP,2019-08-01 00:00:00
Eagle Realty Group,IN990051,IN990051SERV_GP,SERV_GP,2024-12-01 00:00:00
East Tennessee Public Television,TN200305,TN200305SERV_GP,SERV_GP,2022-06-03 00:00:00
Eastway Supplies Inc,DY991067,DY991067SERV_GP,SERV_GP,2024-10-01 00:00:00
"Ebay Enterprise, Inc",EBAY,EBAYMECH_GP,MECH_GP,2015-08-01 00:00:00
Eby Brown,EBY BROWN,EBY BROWNMECH_GP,MECH_GP,2015-07-01 00:00:00
Eby Brown,IN990145,IN990145SERV_GP,SERV_GP,2026-01-07 00:00:00
Echo Electric,IN990499,IN990499SERV_GP,SERV_GP,2025-11-01 00:00:00
Echo Power Llc,WV990308,WV990308SERV_GP,SERV_GP,2026-01-01 00:00:00
Ecl Corbin Llc Dba The Mint Gaming Hall,LX990482,LX990482SERV_GP,SERV_GP,2024-11-27 00:00:00
Eco Tec Engineering,ECO TEC ENGINEE,ECO TEC ENGINEEMECH_GP,MECH_GP,2013-03-01 00:00:00
Ecs Central Pllc - Knoxville,TN991689,TN991689SERV_GP,SERV_GP,2024-12-12 00:00:00
Edfinancial Services - Billing,TN992016,TN992016SERV_GP,SERV_GP,2024-12-05 00:00:00
Edison State Community College,CN991253,CN991253SERV_GP,SERV_GP,2022-09-01 00:00:00
Ei Ceramics Llc,CN990656,CN990656SERV_GP,SERV_GP,2021-04-20 00:00:00
El Tequlia Bar & Grill,TN992078,TN992078SERV_GP,SERV_GP,2022-01-18 00:00:00
Electric Power Research Institute,TN991272,TN991272SERV_GP,SERV_GP,2025-12-01 00:00:00
Element Materials Technology,ELEMENT MATL,ELEMENT MATLMECH_GP,MECH_GP,2016-02-01 00:00:00
Elitaire,ELITAIRE,ELITAIREMECH_GP,MECH_GP,2022-03-01 00:00:00
Ellis Road Industirial Llc C/O Cbre,CN992303,CN992303SERV_GP,SERV_GP,2025-11-05 00:00:00
Ellison Technologies,IN990093,IN990093SERV_GP,SERV_GP,2024-09-01 00:00:00
Elmington Capital Group,NV00111,NV00111SERV_GP,SERV_GP,2021-10-13 00:00:00
Embassy Suites Charleston,WV990264,WV990264SERV_GP,SERV_GP,2022-08-01 00:00:00
Embraer Aircraft Maintenance,EMB001,EMB001SERV_GP,SERV_GP,2023-08-10 00:00:00
Emcor Facility Services,EMCOR,EMCORMECH_GP,MECH_GP,2024-04-01 00:00:00
Emergency Radio Services,IN200066,IN200066SERV_GP,SERV_GP,2022-08-01 00:00:00
Emerson Hermetic Motor,NV00141,NV00141SERV_GP,SERV_GP,2023-08-15 00:00:00
"Emily Lichtenberg Construction, Inc.",EMILY LICH,EMILY LICHMECH_GP,MECH_GP,2006-01-01 00:00:00
"Emily Lichtenberg Construction, Inc.",LICHTENBERG,LICHTENBERGMECH_GP,MECH_GP,2005-12-01 00:00:00
Emj Corporation,LV990458,LV990458SERV_GP,SERV_GP,2023-10-27 00:00:00
Employers Resource Association,CN992209,CN992209SERV_GP,SERV_GP,2022-11-14 00:00:00
Enable Injections,CN991893,CN991893SERV_GP,SERV_GP,2021-04-14 00:00:00
Enable Medical,ENABLE,ENABLEMECH_GP,MECH_GP,2005-07-01 00:00:00
Encompass Health Corporation,WV200401,WV200401SERV_GP,SERV_GP,2025-11-01 00:00:00
"Endress & Hauser, Inc.",ENDRESS HAUSER,ENDRESS HAUSERMECH_GP,MECH_GP,2009-01-01 00:00:00
Endress + Hauser,IN980005,IN980005SERV_GP,SERV_GP,2025-09-16 00:00:00
"Energy Optimizers, Usa",ENERGY OPTIMIZE,ENERGY OPTIMIZEMECH_GP,MECH_GP,2013-11-01 00:00:00
"Energy Solutions/Duratek, Inc.",TN950321,TN950321SERV_GP,SERV_GP,2025-12-01 00:00:00
Energy Systems Group,ENERGY SYSTEMS,ENERGY SYSTEMSMECH_GP,MECH_GP,2010-09-01 00:00:00
"Engert, Llc",TN992184,TN992184SERV_GP,SERV_GP,2025-05-01 00:00:00
Engineers Club Of Dayton,DY990983,DY990983SERV_GP,SERV_GP,2021-02-01 00:00:00
Engineers Of Tomorrow Ky 2783,LV990462,LV990462SERV_GP,SERV_GP,2025-03-10 00:00:00
Enprotec,ENPROTEC,ENPROTECMECH_GP,MECH_GP,2006-01-01 00:00:00
Enrichment Federal Credit Union,TN992179,TN992179SERV_GP,SERV_GP,2026-01-01 00:00:00
Environmental Air Products,EAP,EAPMECH_GP,MECH_GP,2022-05-01 00:00:00
Envisionaire,CN991834,CN991834SERV_GP,SERV_GP,2025-11-01 00:00:00
Enzo Building & Design,CN991841,CN991841SERV_GP,SERV_GP,2025-11-19 00:00:00
"Enzo Building & Design, Llc",ENZO,ENZOMECH_GP,MECH_GP,2025-10-01 00:00:00
Enzo Building And Design,LX990379,LX990379SERV_GP,SERV_GP,2021-07-08 00:00:00
Ephant Hospitality Holiday Inn,TN992178,TN992178SERV_GP,SERV_GP,2025-07-25 00:00:00
Ephraim Mcdowell Heath Inc,LX990437,LX990437SERV_GP,SERV_GP,2025-07-03 00:00:00
Episcopal School Of Knoxville,TN991696,TN991696SERV_GP,SERV_GP,2021-05-04 00:00:00
Episcopal School Of Nashville,NV00131,NV00131SERV_GP,SERV_GP,2025-12-16 00:00:00
Epson America,IN990360,IN990360SERV_GP,SERV_GP,2021-11-12 00:00:00
Eqm Gathering Opco Llc,WV990222,WV990222SERV_GP,SERV_GP,2025-12-05 00:00:00
Eqt,WV990299,WV990299SERV_GP,SERV_GP,2024-12-12 00:00:00
"Equipment Depot Ohio, Inc.",CN990126,CN990126SERV_GP,SERV_GP,2023-07-06 00:00:00
Equitrans Midstream,WV990289,WV990289SERV_GP,SERV_GP,2025-12-01 00:00:00
Equitrans Midstream Corporation,WV990131,WV990131SERV_GP,SERV_GP,2025-11-01 00:00:00
"Equitrans, Lp",WV990223,WV990223SERV_GP,SERV_GP,2025-11-03 00:00:00
"Equity Group Four, Llc",EQUITY GROUP 4,EQUITY GROUP 4MECH_GP,MECH_GP,2014-06-01 00:00:00
Equity Llc,DY991035,DY991035SERV_GP,SERV_GP,2024-08-07 00:00:00
Equivis Nora Llc,IN990448,IN990448SERV_GP,SERV_GP,2024-10-21 00:00:00
Eric Panner,WV990297,WV990297SERV_GP,SERV_GP,2025-08-01 00:00:00
Erm Real Estate,CN992200,CN992200SERV_GP,SERV_GP,2025-12-18 00:00:00
Esi Constructors,ESI CONSTRUCTOR,ESI CONSTRUCTORMECH_GP,MECH_GP,2023-12-01 00:00:00
Eskola Llc,TN992125,TN992125SERV_GP,SERV_GP,2023-11-15 00:00:00
Espaces Knoxville,TN992190,TN992190SERV_GP,SERV_GP,2025-06-27 00:00:00
Essity Operations Wausau Llc - Us31Ha,LX990377,LX990377SERV_GP,SERV_GP,2025-12-15 00:00:00
Ethos Laboratories,CN992130,CN992130SERV_GP,SERV_GP,2025-09-01 00:00:00
Eubel Brady & Suttman,DY991085,DY991085SERV_GP,SERV_GP,2023-12-20 00:00:00
European Wax Centers,DY991170,DY991170SERV_GP,SERV_GP,2025-12-23 00:00:00
Eurostampa,EUROSTAMPA,EUROSTAMPAMECH_GP,MECH_GP,2013-01-01 00:00:00
Ev Bishoff C/O Princeton Hill Properties Llc,CN992273,CN992273SERV_GP,SERV_GP,2025-11-01 00:00:00
Evans Energy,DY991069,DY991069SERV_GP,SERV_GP,2024-06-26 00:00:00
Evans Energy Llc,CN991595,CN991595SERV_GP,SERV_GP,2025-07-01 00:00:00
Evenflo Co Inc,DY991075,DY991075SERV_GP,SERV_GP,2024-02-05 00:00:00
Excalibur Development Corp,EXCALIBUR DEV,EXCALIBUR DEVMECH_GP,MECH_GP,2008-06-01 00:00:00
Excel Clips Inc,CN992313,CN992313SERV_GP,SERV_GP,2024-12-05 00:00:00
"Exchange Right Net Leased Portfolio 29, Dst",IN990356,IN990356SERV_GP,SERV_GP,2024-08-01 00:00:00
Executive Hotel Management Dba Crowne Plaza Knoxville,TN992082,TN992082SERV_GP,SERV_GP,2023-08-01 00:00:00
Exeter 1415 Collins Lp,IN990492,IN990492SERV_GP,SERV_GP,2025-06-10 00:00:00
Exeter 5501-5599 West 74Th St (In),IN990483,IN990483SERV_GP,SERV_GP,2025-11-26 00:00:00
Exeter 7555 Woodland Llc,IN990482,IN990482SERV_GP,SERV_GP,2025-04-01 00:00:00
"Exeter Property Group Advisors, L.P.",IN990294,IN990294SERV_GP,SERV_GP,2025-07-01 00:00:00
Exeter Realty Group,IN990263,IN990263SERV_GP,SERV_GP,2025-12-22 00:00:00
Expression Manufacturing,CN992131,CN992131SERV_GP,SERV_GP,2021-08-06 00:00:00
Expression Manufacturing Llc,CN992138,CN992138SERV_GP,SERV_GP,2025-12-19 00:00:00
Exxcel Contract Management Inc,EXXC,EXXCMECH_GP,MECH_GP,2006-01-01 00:00:00
E-Z Iron Serivce,DY991055,DY991055SERV_GP,SERV_GP,2022-07-11 00:00:00
Ezell - Harding Christian School,EZE001,EZE001SERV_GP,SERV_GP,2021-01-01 00:00:00
F.A.S.T. Of Northwest Ohio,FAST NWO,FAST NWOMECH_GP,MECH_GP,2011-12-01 00:00:00
Facility Gateway Corporation,LX990277,LX990277SERV_GP,SERV_GP,2022-10-01 00:00:00
"Fagerdala Packaging, Inc.",IN990274,IN990274SERV_GP,SERV_GP,2022-02-01 00:00:00
"Fairfield Township, Oh",CN991941,CN991941SERV_GP,SERV_GP,2025-12-12 00:00:00
Fairlane Hotel,NV15036,NV15036SERV_GP,SERV_GP,2024-04-16 00:00:00
Family Nurturing,CN992011,CN992011SERV_GP,SERV_GP,2025-12-10 00:00:00
Farragut Medical Llc,TN992029,TN992029SERV_GP,SERV_GP,2025-01-17 00:00:00
Farragut Pointe C/O Flagship Healthcare Properties,TN992026,TN992026SERV_GP,SERV_GP,2025-08-01 00:00:00
Fazio Llc Cd/Ba Voodoo Brewing Company,TN992103,TN992103SERV_GP,SERV_GP,2023-12-01 00:00:00
"Fcl Builders, Llc",FCL BUILDERS,FCL BUILDERSMECH_GP,MECH_GP,2016-12-01 00:00:00
Fecon,FECON,FECONMECH_GP,MECH_GP,2009-02-01 00:00:00
Federated Logistics,FEDERATED,FEDERATEDMECH_GP,MECH_GP,2007-04-01 00:00:00
Feintool Cincinnati Inc.,CN950035,CN950035SERV_GP,SERV_GP,2026-01-05 00:00:00
Feintool Cincinnati Inc.,FEIN,FEINMECH_GP,MECH_GP,2008-06-01 00:00:00
Ferguson Bath & Kitchen Gallery,FERGUSON BATH,FERGUSON BATHMECH_GP,MECH_GP,2022-10-01 00:00:00
Ferguson Construction Co.,FERGUSON CONST,FERGUSON CONSTMECH_GP,MECH_GP,2026-01-01 00:00:00
Ferguson Construction Group,CN992203,CN992203SERV_GP,SERV_GP,2022-10-11 00:00:00
Festo Corp,CN992073,CN992073SERV_GP,SERV_GP,2026-01-07 00:00:00
Fiera Capital,DY991088,DY991088SERV_GP,SERV_GP,2023-12-18 00:00:00
"Fillauer Land Tennessee, Llc And Cornerstone Commercial Real Est",TN992027,TN992027SERV_GP,SERV_GP,2025-12-04 00:00:00
"Finnegan & James, Llc",FINNEGAN & JAME,FINNEGAN & JAMEMECH_GP,MECH_GP,2013-07-01 00:00:00
"Firestone Diversified Products, Llc",FIRESTONE,FIRESTONEMECH_GP,MECH_GP,2012-06-01 00:00:00
