CUSTOMER_NUMBER,CUSTOMER_KEY,CUSTOMER_NAME,CUSTOMER_CLASS,ADDRESS1,ADDRESS2,COUNTRY,CITY,STATE,ZIP,PHONE1,PAYMENT_TERM,CREATED,UPDATED
CORP,CORPMECH_GP,Corporex Development Services,COMMERCIAL     ,PO Box 75020,,,Cincinnati,OH,45275,60629255240000,Net 10               ,12/2/1999 0:00,3/28/2001 0:00
CN990624,CN990624SERV_GP,"CORPOREX MANAGEMENT & LEASING, INC.",CINCINNATI     ,"655 EDEN PARK DRIVE, SUITE 280",,,CINCINNATI,OH,45202,51372133660000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
CN992146,CN992146SERV_GP,CORPOREX MGMT & LEASING,CINCINNATI     ,1101 PACIFIC AVENUE,,,ERLANGER,KY,41018,85975701370000,Net 30               ,3/9/2022 0:00,10/20/2022 0:00
CN950095,CN950095SERV_GP,CORPOREX REALTY INVESTMENT,CINCINNATI     ,3940 OLYMPIC BLVD,,,ERLANGER,KY,41018,51372133660000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
CORPOREX REALTY,CORPOREX REALTYMECH_GP,Corporex Realty Investment,COMMERCIAL     ,"655 Eden Park Drive, Suite 540",,,Cincinnati,OH,45202,85929255570000,Net 10               ,6/19/2000 0:00,9/16/2002 0:00
TN991413,TN991413SERV_GP,"CORRECT CONSTRUCTION, INC.",KNOXVILLE      ,336 W 806 N,,,VALPARAISO,IN,46385,86530066730000,Net 30               ,7/6/2012 0:00,1/30/2023 0:00
TN200409,TN200409SERV_GP,CORRUGATING ROLL CORPORATION,KNOXVILLE      ,600 BRYAN ROAD,,,RUTLEDGE,TN,37861,00000000000000,Net 30               ,10/6/2005 0:00,1/30/2023 0:00
NV00057,NV00057SERV_GP,CORSICANA,NASHVILLE      ,1 CEDAR KING ROAD,,,SHELBYVILLE,TN,37160,80032343490000,Net 30               ,7/10/2018 0:00,9/10/2021 0:00
CN990701,CN990701SERV_GP,CORSMEIER INDUSTRIAL INC,CINCINNATI     ,584 DRYFORK ROAD,,,CLEVES,OH,45002,51320250500000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
CN991856,CN991856SERV_GP,CORT BUSINESS SERVICES CORPORATION,CINCINNATI     ,PO BOX 42669,,,INDIANAPOLIS,IN,46424-0669,70396885310000,Net 30               ,2/23/2017 0:00,6/3/2022 0:00
143,143SERV_QUAD,COTTAGEVILLE ELEMENTARY SCHOOL,,,,,,,,,,,
COTTINGHAM,COTTINGHAMMECH_GP,Cottingham Retirement Community,COMMERCIAL     ,3995 Cottingham Dr,,,"Cincinnati,",OH,45241,,Net 10               ,10/21/2010 0:00,10/21/2010 0:00
CN992158,CN992158SERV_GP,COUCH'S RV NATION,CINCINNATI     ,5555 KENNEL RD,,,TRENTON,OH,45067,51369328310000,Net 30               ,5/20/2022 0:00,12/7/2022 0:00
LX950029,LX950029SERV_GP,COUNTRY GROCERY,LEXINGTON      ,8626 TATESCREEK RD,,,NICHOLASVILLE,KY,40518,85927299630000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
LX000027,LX000027SERV_GP,COUNTRY HEARTH INN,LEXINGTON      ,2149 LEXINGOTN PIKE,,,NICHOLASVILLE,KY,40356,85988787120000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CN992316,CN992316SERV_GP,COUNTRYSIDE YMCA,CINCINNATI     ,1699 DEERFIELD RD,,,LEBANON,OH,45036,93731379400000,Net 30               ,12/17/2024 0:00,5/6/2025 0:00
DY991121,DY991121SERV_GP,COUNTRYSIDE YMCA,DAYTON         ,1699 DEERFIELD RD,,,LEBANON,OHIO,45036,93731379400000,                     ,8/21/2024 0:00,10/10/2024 0:00
CN990562,CN990562SERV_GP,COUNTRYSIDE YMCA,CINCINNATI     ,1699 DEERFIELD ROAD,,,LEBANON,OH,45036,51362131060000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
COU001,COU001SERV_GP,Courier Printing,NASHVILLE      ,1 Courier Place,,,Smyrna,TN,37167,61535540000000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
LX990456,LX990456SERV_GP,COURTESY ACURA,LEXINGTON      ,3701 NICHOLASVILLE RD,,,LEXINGTON,KY,40503,85927289000000,Net 30               ,9/29/2023 0:00,10/9/2023 0:00
LV950284,LV950284SERV_GP,COURTESY PONTIAC,LOUISVILLE     ,6514 DIXIE HIGHWAY,,,LOUISVILLE,KY,40216,50293333880000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
DY990859,DY990859SERV_GP,COURTHOUSE CROSSING AQUISITIONS LLC,DAYTON         ,8 NORTH MAIN STREET,,,DAYTON,OH,45323,93722604570000,                     ,2/5/2007 0:00,1/26/2021 0:00
CN991400,CN991400SERV_GP,COURTS FOR SPORTS,CINCINNATI     ,P.O. BOX 255,,,MASON,OH,45040,00000000000000,Net 30               ,12/14/2011 0:00,9/26/2025 0:00
CN990627,CN990627SERV_GP,COURTYARD BY MARRIOTT,CINCINNATI     ,500 W 3RD STREET,ATTN: NOBLE MARTIN 859-491-400,,COVINGTON,KY,41011,85949140000000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
COURTYARD,COURTYARDMECH_GP,Courtyard by Marriott,COMMERCIAL     ,500 W. 3rd Street,,,Covington,KY,41033,85949140000000,Net 10               ,4/17/2003 0:00,4/17/2003 0:00
CN991850,CN991850SERV_GP,COURTYARD BY MARRIOTT CINCINNATI MIDTOWN/ROOKWOOD,CINCINNATI     ,3813 E EDWARDS RD,,,CINCINNATI,OH,45209,51367271170000,Net 30               ,1/20/2017 0:00,1/26/2021 0:00
COU002,COU002SERV_GP,Courtyard Marriott,NASHVILLE      ,103 East Park Drive,,,Brentwood,TN,37027,61573192000000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
CN990254,CN990254SERV_GP,COURTYARD MARRIOTT,CINCINNATI     ,3990 OLYMPIC BLVD,,,ERLANGER,KY,41018,85926155220000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
COU003,COU003SERV_GP,Courtyard Marriott - Nashville,NASHVILLE      ,2508 Elm Hill Pike,,,Nashville,TN,37214,61588395000000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
COUSIN CONST,COUSIN CONSTMECH_GP,COUSIN CONSTRUCTION CO,COMMERCIAL     ,2930 HIGHLAND AVE,,,CINCINNATI,OH,45212,51339675000000,Net 10               ,5/8/2017 0:00,5/8/2017 0:00
CN991280,CN991280SERV_GP,COVEDALE THEATER,CINCINNATI     ,3064 HARRISON AVE,,,CINCINNATI,OH,45211,51339098270000,Net 30               ,4/27/2010 0:00,9/14/2023 0:00
TN991691,TN991691SERV_GP,COVENANT HEALTH,KNOXVILLE      ,P.O. BOX 22790,,,KNOXVILLE,TN,37933,86559758150000,Net 30               ,9/19/2014 0:00,1/30/2023 0:00
258,258SERV_QUAD,Covenant Presbyterian Church,,,,,,,,,,,
LV200412,LV200412SERV_GP,COVERALL CAFE,LOUISVILLE     ,5001 STEPHAN DRIVE,,,LOUISVILLE,KY,40258,50277303290000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
LX990378,LX990378SERV_GP,COVINGTON AIR SYSTEMS INC,LEXINGTON      ,98 OXFORD WEST DR,,,OXFORD,GA,30054,77038500680000,Net 30               ,3/3/2021 0:00,3/3/2021 0:00
CN991477,CN991477SERV_GP,COVINGTON LATIN HIGH SCHOOL,CINCINNATI     ,12 E 11TH STREET,,,COVINGTON,KY,41011,85929170440000,Net 30               ,12/3/2012 0:00,1/26/2021 0:00
LX970014,LX970014SERV_GP,COWART & CO.,LEXINGTON      ,3004 PARK CENTRAL,,,NICHOLASVILLE,KY,40356,00000000000000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
TN992218,TN992218SERV_GP,CP VI LLV,KNOXVILLE      ,1225 E WEISGARBER RD STE 390,,,KNOXVILLE,TN,37909,86558439670000,Net 30               ,6/12/2025 0:00,6/12/2025 0:00
CN991107,CN991107SERV_GP,CPC HEALTH SYSTEMS,CINCINNATI     ,9449 KENWOOD ROAD,,,CINCINNATI,OH,45242,51350557510000,Net 30               ,4/29/2008 0:00,1/26/2021 0:00
TN992153,TN992153SERV_GP,CPIII GP C/O COMMERCIAL & INVESTMENT PROPERTIES INC,KNOXVILLE      ,1225 E WEISGARBER RD STE 390,,,KNOXVILLE,TN,37909,86558439670000,Net 30               ,1/17/2024 0:00,1/17/2024 0:00
IN990362,IN990362SERV_GP,CPS INC,INDIANAPOLIS   ,17406 TILLER CT,SUITE 300 & 400,,WESTFIELD,IN,46074,31740778210000,Net 30               ,5/6/2020 0:00,7/13/2022 0:00
DY950032,DY950032SERV_GP,CPS VENTURE #10,DAYTON         ,4007 OLD POSTE ROAD,,,COLUMBUS,OH,,61487621510000,                     ,10/6/2004 0:00,1/26/2021 0:00
CN950199,CN950199SERV_GP,"CPS VENTURES, INC.",CINCINNATI     ,4007 OLD POSTE ROAD,,,COLUMBUS,OH,43221,61487621510000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
IN990327,IN990327SERV_GP,"CPS, INC.",INDIANAPOLIS   ,17435 TILLER CT,,,WESTFIELD,IN,46074,31733131500000,Net 30               ,3/5/2019 0:00,1/26/2021 0:00
LV980032,LV980032SERV_GP,CPX CONSTRUCTION,LOUISVILLE     ,655 EDEN PARK DR,,,CINCINNATI,OH,45202,60629255650000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CPX,CPXMECH_GP,CPX Construction,COMMERCIAL     ,P.O. Box 75020,,,Cincinnati,OH,45275,51329255000000,Net 10               ,12/2/1999 0:00,3/28/2001 0:00
CN950366,CN950366SERV_GP,CRABTREE & EVELYN,CINCINNATI     ,KENWOOD TOWNE CENTER,,,CINCINNATI,OH,45236,51389120560000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
WV950897,WV950897SERV_GP,CRACKER BARREL,WEST VIRGINIA  ,"RT. #1, BOX 4D",,,MINERALWELLS,WV,26150,30448923820000,Net 30               ,10/12/2004 0:00,1/26/2021 0:00
LX950046,LX950046SERV_GP,CRACKER BARREL,LEXINGTON      ,1187 CYNTHIANA ROAD,,,GEORGETOWN,KY,40324,61544455330000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
WV950685,WV950685SERV_GP,CRAFTERS PARADISE,WEST VIRGINIA  ,313 GRAND CENTRAL MALL,,,VIENNA,WV,26101,00000000000000,Net 30               ,10/12/2004 0:00,1/26/2021 0:00
LX950220,LX950220SERV_GP,CRAIG DUNLAVY,LEXINGTON      ,119 SETTLEMENT DRIVE,,,LANCASTER,KY,40444,60654893200000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
FRY001,FRY001SERV_GP,Craig Frye,NASHVILLE      ,509 Highland Drive,,,White House,TN,37188,61596998220000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
TN991324,TN991324SERV_GP,CRAIGS FIREARM SUPPLY INC,KNOXVILLE      ,8761 CHAPMAN HIGHWAY,,,KNOXVILLE,TN,37920,86557345670000,Net 30               ,11/19/2010 0:00,1/30/2023 0:00
CN991868,CN991868SERV_GP,CRANE 1 SERVICES,CINCINNATI     ,550 CONOVER RD,,,FRANKLIN,OH,45005,93770499080000,Net 30               ,5/5/2017 0:00,1/26/2021 0:00
DY990853,DY990853SERV_GP,CRANE PUMPS & SYSTEMS,DAYTON         ,P.O. BOX 603,,,PIQUA,OH,45356,93777835380000,                     ,7/13/2005 0:00,1/26/2021 0:00
CRANE RUN CONS,CRANE RUN CONSMECH_GP,"Crane Run Construction, Inc.",COMMERCIAL     ,15589 Holman Road,,,Williamsburg,OH,45176,,Net 10               ,5/26/2000 0:00,3/28/2001 0:00
LX200527,LX200527SERV_GP,CRAVEN'S MANAGEMENT,LEXINGTON      ,651 PERIMETER DRIVE,SUITE 605,,LEXINGTON,KY,40517,85994885630000,Net 30               ,12/22/2005 0:00,4/14/2009 0:00
IN990001,IN990001SERV_GP,CRA-WAL CONTAINER,INDIANAPOLIS   ,4001 S. HIGH SCHOOL ROAD,,,INDIANAPOLIS,IN,,31785637010000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
202,202SERV_QUAD,Crawford County Boys and Girls Club,,,,,,,,,,,
IN990245,IN990245SERV_GP,CRE RIVER ROAD LLC C/O JLL,INDIANAPOLIS   ,9449 PRIORITY WAY WEST DR,SUITE 105,,INIDNAPOLIS,IN,46240,31781501470000,Net 30               ,4/3/2017 0:00,1/26/2021 0:00
WV960438,WV960438SERV_GP,CREATIVE CONTROL,WEST VIRGINIA  ,7017 AMERICANA PARKWAY,,,REYNOLDSBURG,OH,43068,80046608160000,Net 30               ,10/12/2004 0:00,1/26/2021 0:00
TN950613,TN950613SERV_GP,CREATIVE CONTROL DESIGNS,KNOXVILLE      ,7017 AMERICANA PKY,,,COLUMBUS,OH,43068,61475130300000,Net 30               ,10/6/2005 0:00,1/30/2023 0:00
CREATIVE,CREATIVESERV_GP,CREATIVE FOOD GROUP LEX LLC,LEXINGTON      ,525 WASHINGTON BLVD,,,JERSEY CITY,NY,07310,00000000000000,Net 30               ,12/20/2013 0:00,12/20/2013 0:00
DY991151,DY991151SERV_GP,CREATIVE IMAGES INSTITUTE OF COSMETOLOGY,DAYTON         ,7535 POE AVE,,,DAYTON,OH,45414,93745412000000,                     ,3/20/2025 0:00,10/29/2025 0:00
FL00028,FL00028SERV_GP,CREATIVE INDUSTRIAL SOLUTIONS LLC,FLORIDA        ,5200 NW 43RD ST #102-207,,,GAINESVILLE,FL,32609,35222684480000,Net 30               ,11/22/2016 0:00,11/22/2016 0:00
LX990397,LX990397SERV_GP,CREATIVE LIQUID COATINGS INC,LEXINGTON      ,801 JOHN C WATTS DR,,,NICHOLASVILLE,KY,40356,85998399690000,Net 30               ,3/25/2022 0:00,12/19/2022 0:00
TN991454,TN991454SERV_GP,CREATIVE STRUCTURES INC,KNOXVILLE      ,3208 TAZEWELL PIKE SUITE 103,3208 TAZEWELL PIKE,,KNOXVILLE,TN,37902,86568813350000,Net 30               ,9/25/2013 0:00,1/30/2023 0:00
LV960064,LV960064SERV_GP,CREEKSIDE DELI,LOUISVILLE     ,2514 PLANTSIDE DR.,,,LOUISVILLE,KY,40299,50249521410000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CREE,CREEMECH_GP,Creekwood Construction Inc.,COMMERCIAL     ,273 E. Kemper Rd,,,Loveland,OH,45140,51368300090000,Net 10               ,12/6/1999 0:00,3/28/2001 0:00
LX990173,LX990173SERV_GP,CREEKWOOD PROPERTIES LLC,LEXINGTON      ,PROPERTY MANAGER,"2539 REGENCY ROAD, SUITE 101",,LEXINGTON,KY,40503,85927644190000,Net 30               ,5/11/2010 0:00,5/11/2010 0:00
LV990380,LV990380SERV_GP,CREOSALUS,LOUISVILLE     ,1044 E CHESTNUT ST,,,LOUISVILLE,KY,40204,66173305140000,Net 30               ,6/11/2018 0:00,6/11/2018 0:00
CRESCENT,CRESCENTMECH_GP,"Crescent Building Group, Inc.",COMMERCIAL     ,1925 Crown Plaza Blvd,,,Plainfield,IN,46168,31783999500000,Net 10               ,3/7/2011 0:00,6/27/2011 0:00
IN020010,IN020010SERV_GP,CRESTVIEW CHRISTIAN CHURCH,INDIANAPOLIS   ,1500 W 86TH ST,,,INDIANAPOLIS,IN,,31771605050000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
LX990055,LX990055SERV_GP,CRESTWOOD CHRISTIAN CHURCH,LEXINGTON      ,1182 BELLEFONTE DR.,,,LEXINGTON,KY,40503,85926604590000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
FL00021,FL00021SERV_GP,CRESTWOOD NURSING CENTER,FLORIDA        ,501 SOUTH PALM AVE,,,PALATKA,FL,32177,38632814720131,Net 30               ,6/2/2016 0:00,6/2/2016 0:00
IN990414,IN990414SERV_GP,CREW HQ C/O ALO PROPERTY MANAGEMENT,INDIANAPOLIS   ,9075 N MERIDIAN ST,SUITE 175,,INDIANAPOLIS,IN,46260,31798513540000,Net 30               ,6/3/2022 0:00,6/18/2025 0:00
CN940244,CN940244SERV_GP,CRISIS STABILIZATION CENTER,CINCINNATI     ,C/O CENTRAL COMMUNITY HEALTH 5,,,CINCINNATI,OH,45219,51355920000000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
DY970149,DY970149SERV_GP,CRISPAIRE CORPORATION,DAYTON         ,P.O. BOX 400 HIGHWAY 41 NORTH,,,CORDELE,GA,,91227336360000,                     ,10/6/2004 0:00,1/26/2021 0:00
LX000015,LX000015SERV_GP,CRITCHFIELD MEATS,LEXINGTON      ,2220 NICHOLASVILLE ROAD,,,LEXINGTON,KY,40503,85927649650000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CRI001,CRI001SERV_GP,Critical Impressions,NASHVILLE      ,7104 Crossroad Boulevard,,,Brentwood,TN,37027,61521813590000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
CN991640,CN991640SERV_GP,CRITICAL PATH MANAGEMENT LLC,CINCINNATI     ,934 W FULTON ST,,,GRAND RAPIDS,MI,49504,61630106730000,Net 30               ,3/6/2015 0:00,1/26/2021 0:00
LX200224,LX200224SERV_GP,CRM COMPANIES,LEXINGTON      ,145 ROSE STREET,,,LEXINGTON,KY,40507,85950986280000,Net 30               ,10/12/2004 0:00,10/12/2020 0:00
CN990991,CN990991SERV_GP,CRM SERVICES,CINCINNATI     ,201 W SHORT STREET,,,LEXINGTON,KY,40507,85950986280000,Net 30               ,8/15/2006 0:00,1/26/2021 0:00
CROCS,CROCSMECH_GP,CROCS,COMMERCIAL     ,PO BOX 696434,,,SAN ANTONIO,TX,78269,93780292230000,Net 10               ,7/21/2021 0:00,8/2/2021 0:00
DY991125,DY991125SERV_GP,CROCS INC,DAYTON         ,10391 DOG LEG RD,,,VANDALIA,OH,45377,93732171990000,                     ,9/26/2024 0:00,1/8/2025 0:00
LX000009,LX000009SERV_GP,CROMWELL BUILDING,LEXINGTON      ,1718 ALEXENDRIA DR.,,,LEXINGTON,KY,40504,85927521560000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CN992293,CN992293SERV_GP,CROSS KEYS CONDO ASSOCIATION,CINCINNATI     ,2400 MADISON RD,,,CINCINNATI,OH,45208,51363384390000,Net 30               ,5/17/2024 0:00,5/1/2025 0:00
NV00016,NV00016SERV_GP,CROSS POINT CHURCH,NASHVILLE      ,229 HENSLEE DR,,,DICKSON,TN,37055,61529844220000,Net 30               ,8/31/2016 0:00,8/31/2016 0:00
CRO002,CRO002SERV_GP,Cross Point Church,NASHVILLE      ,299 Cowan Street,,,Nashville,TN,37209,00000000000000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
TN991770,TN991770SERV_GP,CROSS ROADS BOUTIQUE,NASHVILLE      ,901 ROCK SPRINGS ROAD,,,SMYRNA,TN,37167,61529449610000,Net 30               ,1/20/2016 0:00,1/20/2016 0:00
NV00011,NV00011SERV_GP,CROSSPOINT CHURCH,NASHVILLE      ,520 CHELSEA LANE,,,LANANON,TN,37087,61545600880000,Net 30               ,8/2/2016 0:00,7/1/2025 0:00
LV990413,LV990413SERV_GP,CROSSROADS,LOUISVILLE     ,120 EAST ADAMS ST,,,LAGRANGE,KY,40031,50222277000000,Net 30               ,5/21/2020 0:00,5/21/2020 0:00
CROSSROADS,CROSSROADSMECH_GP,CROSSROADS,COMMERCIAL     ,8575 BRIDGETOWN RD,,,MIAMI TWP,OH,45002,51373174000000,Net 10               ,8/20/2014 0:00,8/20/2014 0:00
CN990967,CN990967SERV_GP,CROSSROADS BAPTIST CHURCH,CINCINNATI     ,9900 BUTLER WARREN LINE ROAD,,,CINCINNATI,OH,45241,51333682220000,Net 30               ,4/24/2006 0:00,1/26/2021 0:00
LX950135,LX950135SERV_GP,CROSSROADS FORD,LEXINGTON      ,VERSAILLES ROAD,,,FRANKFORT,KY,40601,50269519900000,Net 30               ,10/12/2004 0:00,7/11/2024 0:00
CRO001,CRO001SERV_GP,Crossroads Medical Group,NASHVILLE      ,PO Box 1669,Suite 200,,White House,TN,37188,61573044940000,Net 30               ,6/3/2014 0:00,8/21/2025 0:00
IN990252,IN990252SERV_GP,CROSSROADS ORTHOPEDICS ARTHREX,INDIANAPOLIS   ,7202 E 87TH ST,SUITE 107,,INDIANAPOLIS,IN,46256,31728808350000,Net 30               ,4/14/2017 0:00,1/28/2021 0:00
CROSSVIEW,CROSSVIEWMECH_GP,CROSSVIEW CHRISTIAN CHURCH,COMMERCIAL     ,4237 SOCIAL ROW ROAD,,,WAYNESVILLE,OH,45068,93788574020000,Net 10               ,3/27/2009 0:00,3/27/2009 0:00
LV970041,LV970041SERV_GP,CROW KESSLER C/O TRAMMEL CROW,LOUISVILLE     ,HILLIARD LYONS CENTER,,,LOUISVILLE,KY,40202,50258410000000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
494,494SERV_QUAD,Crown Bakeries - Nashville,,,,,,,,,,,
CROW,CROWMECH_GP,Crown Cork & Seal,COMMERCIAL     ,1717 Dixie Highway,,,Ft. Wright,KY,41011,60657863160000,Net 10               ,12/6/1999 0:00,3/28/2001 0:00
DY991142,DY991142SERV_GP,CROWN LIFT TRUCKS,COLUMBUS       ,3450 HORIZON COURT,STE 200,,NEW ALBANY,OH,43031,61477587750000,Net 30               ,1/15/2025 0:00,1/15/2025 0:00
CN992250,CN992250SERV_GP,CROWN PACKAGING CORP,CINCINNATI     ,4583 BRATE DR,SUITE300,,WEST CHESTER,OH,45011-3577,51359343590000,Net 30               ,9/14/2023 0:00,6/10/2025 0:00
TN200625,TN200625SERV_GP,CROWN TONKA,KNOXVILLE      ,1401 T ELMER COX DRIVE,,,GREENEVILLE,TN,37743,42363885650222,Net 30               ,10/11/2006 0:00,1/30/2023 0:00
IN990444,IN990444SERV_GP,CROWNE PLAZA UNION STATION,INDIANAPOLIS   ,123 W LOUISIANA ST,,,INDIANAPOLIS,IN,46225,31722037930000,Net 30               ,6/20/2023 0:00,4/9/2024 0:00
CN990721,CN990721SERV_GP,CRUM & CRUM,CINCINNATI     ,1545 WORLDWIDE BLVD,,,HEBRON,KY,41048,85968992600000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
TN950599,TN950599SERV_GP,CRYO DYNANICS,KNOXVILLE      ,122 A CEDAR BROOK LANE,,,KINGSTON,TN,37763,00000000000000,Net 30               ,10/6/2005 0:00,1/30/2023 0:00
FL00034,FL00034SERV_GP,"CRYSTAL AIR & WATER, INC.",FLORIDA        ,6424 NW 18TH DR,,,GAINESVILLE,FL,32653,35233304600000,Net 30               ,5/26/2017 0:00,5/26/2017 0:00
CN990936,CN990936SERV_GP,CS LEASING LLC,CINCINNATI     ,120 CENTER STREET,,,WILDER,KY,41071,85965544000000,Net 30               ,11/1/2005 0:00,4/15/2025 0:00
IN030024,IN030024SERV_GP,CSC SOUTHERN HANCOCK COUNTY,INDIANAPOLIS   ,4711 SOUTH 500 WEST,,,NEW PALESTINE,IN,,31786121290000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
CSX001,CSX001SERV_GP,CSX Transportation,NASHVILLE      ,935 7th Avenue,,,Huntington,West VA,25701,30452255040000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
LV200505,LV200505SERV_GP,CT & OPEN MRI OF LAGRANGE,LOUISVILLE     ,"120 EAST ADAMS STREET, SUITE 4",,,LAGRANGE,KY,40031,50222232810000,Net 30               ,7/28/2005 0:00,4/14/2009 0:00
LX990357,LX990357SERV_GP,CTA ACOUSTICS,LEXINGTON      ,100 CTA BLVD,,,CORBIN,KY,40701,60659520620000,Net 60               ,3/20/2019 0:00,10/21/2025 0:00
CN991441,CN991441SERV_GP,CTC OF MINNESOTA,CINCINNATI     ,100 CTE DRIVE,,,DALLAS,PA,18612,30432516790000,Net 30               ,6/22/2012 0:00,1/26/2021 0:00
NV00150,NV00150SERV_GP,CTDI,NASHVILLE      ,7800 EASTGATE BLVD #3139,,,MT JULIET,TN,37122,61567419430000,Net 30               ,5/25/2021 0:00,2/1/2022 0:00
TN200306,TN200306SERV_GP,CTI,KNOXVILLE      ,810 INNOVATION DRIVE,,,KNOXVILLE,TN,37932,00000000000000,Net 30               ,10/6/2005 0:00,1/30/2023 0:00
CN991118,CN991118SERV_GP,CUE,CINCINNATI     ,1142 MAIN STREET,,,CINCINNATI,OH,45202,51347731860000,Net 30               ,6/20/2008 0:00,1/26/2021 0:00
TN960708,TN960708SERV_GP,CUMBERLAND COLLEGE,KNOXVILLE      ,7330 COLLEGE STATION DRIVE,,,WILLIAMSBURG,KY,,60653944060000,Net 30               ,10/6/2005 0:00,1/30/2023 0:00
TN950618,TN950618SERV_GP,CUMBERLAND GAP PROVISIONS CO.,KNOXVILLE      ,P.O. BOX 1797,,,MIDDLESBORO,KY,40965,60624833110000,Net 30               ,10/6/2005 0:00,1/30/2023 0:00
CUM001,CUM001SERV_GP,Cumberland Heights,NASHVILLE      ,8283 River Road,,,Nashville,TN,37209,00000000000000,Net 30               ,6/3/2014 0:00,10/26/2021 0:00
LX990468,LX990468SERV_GP,CUMBERLAND MACHINERY MOVERS AND INDUSTRIAL SERVICES,LEXINGTON      ,P.O. BOX 1629,,,SOMERSET,KY,42502,60627130090000,Net 30               ,6/5/2024 0:00,6/5/2024 0:00
TN991693,TN991693SERV_GP,CUMBERLAND MEDICAL CENTER,KNOXVILLE      ,421 S. MAIN STREET,,,CROSSVILLE,TN,38555,86553152750000,Net 30               ,9/19/2014 0:00,1/30/2023 0:00
IN990186,IN990186SERV_GP,CUMMINS,INDIANAPOLIS   ,500 CENTRAL AVE,,,COLUMBUS,IN,47201,81260320790000,Net 30               ,4/9/2015 0:00,1/26/2021 0:00
LV950127,LV950127SERV_GP,CUMMINS CUMBERLAND,LOUISVILLE     ,304 WHITTINGTON PARKWAY,,,LOUISVILLE,KY,40222,50242693000000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CN990894,CN990894SERV_GP,CURBS PLUS,CINCINNATI     ,1200 CARLINE ROAD,,,ROSSVILLE,GA,30741,,Net 30               ,6/16/2005 0:00,1/26/2021 0:00
LX990243,LX990243SERV_GP,"CURTIS-MARUYASU AMERICA, INC",LEXINGTON      ,665 METTS DR,,,LEBANON,KY,40033,27069221090000,Net 30               ,6/21/2012 0:00,11/12/2021 0:00
155,155SERV_QUAD,Cushman & Wakefield,,,,,,,,,,,
WV990253,WV990253SERV_GP,CUSHMAN & WAKEFIELD,WEST VIRGINIA  ,8925 STERLING ST STE 260,,,IRVING,TX,75063,87772706780000,Net 30               ,11/21/2019 0:00,10/31/2022 0:00
DY990960,DY990960SERV_GP,CUSHMAN & WAKEFIELD,DAYTON         ,325 JOHN H. MCCONNELL BLVD,,,COLUMBUS,OH,43215,61482717130000,                     ,8/13/2018 0:00,9/14/2022 0:00
CN991895,CN991895SERV_GP,CUSHMAN & WAKEFIELD,CINCINNATI     ,8845 GOVERNOR'S HILL DR,,,CINCINNATI,OH,45249,51358319500000,Net 30               ,11/10/2017 0:00,1/26/2021 0:00
LV990323,LV990323SERV_GP,CUSHMAN & WAKEFIELD,LOUISVILLE     ,101 SOUTH 5TH ST,SUITE 1640,,LOUISVILLE,KY,40202,50258942800000,Net 30               ,1/25/2016 0:00,9/28/2017 0:00
IN990202,IN990202SERV_GP,CUSHMAN & WAKEFIELD,INDIANAPOLIS   ,ONE AMERICAN SQUARE,SUITE 1800,,INDIANAPOLIS,IN,46282,31723664330000,Net 30               ,10/28/2015 0:00,1/26/2021 0:00
IN990060,IN990060SERV_GP,CUSHMAN & WAKEFIELD,INDIANAPOLIS   ,10350 PARK MEADOWS DRIVE,,,LITTLETON,CO,80124,72094543190000,Net 30               ,11/21/2007 0:00,1/26/2021 0:00
