Source Type,Source File,Raw Name,Canonical,Expected Status,In MasterEnrichment,MasterEnrichment Status,MasterEnrichment Website,MasterEnrichment NAICS,MasterEnrichment Industry Detail,In MasterWebsites,MasterWebsites Website,Appears In Apply Reports
batch_enrichment_md,Batch_Enrichment_Catchup.md,CROCS,CROCS,ApprovedWebsite,FALSE,,,,,TRUE,crocs.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,EXPRESSION MANUFACTURING,EXPRESSION MANUFACTURING,ApprovedWebsite,FALSE,,,,,TRUE,expressiontherapeutics.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,GEORGE STEEL FABRICATING,GEORGE STEEL FABRICATING,ApprovedWebsite,FALSE,,,,,TRUE,georgesteel.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,HONDA TRANSMISSION PLANT,HONDA TRANSMISSION PLANT,ApprovedWebsite,FALSE,,,,,TRUE,honda.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CORE CONSTRUCTION,CORE CONSTRUCTION,ApprovedWebsite,FALSE,,,,,TRUE,coreconstruction.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,DER DEVELOPMENT,DER DEVELOPMENT,ApprovedWebsite,FALSE,,,,,TRUE,derdevelopment.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,GORDIAN DESIGN AND CONSTRUCTION,GORDIAN DESIGN AND CONSTRUCTION,ApprovedWebsite,FALSE,,,,,TRUE,gordianconstruction.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,HUNT BUILDERS,HUNT BUILDERS,ApprovedWebsite,FALSE,,,,,TRUE,huntbuilders.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CERTUS MEDICAL,CERTUS MEDICAL,ApprovedWebsite,FALSE,,,,,TRUE,certusmedsolutions.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CHARTER COMMUNICATIONS,CHARTER COMMUNICATIONS,ApprovedWebsite,FALSE,,,,,TRUE,charter.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CINCINNATI BELTING AND TRANSMISSION,CINCINNATI BELTING AND TRANSMISSION,ApprovedWebsite,FALSE,,,,,TRUE,cbtcompany.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITIMARK MANAGEMENT,CITIMARK MANAGEMENT,ApprovedWebsite,FALSE,,,,,TRUE,citimarkinc.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,EAGLE REALTY GROUP,EAGLE REALTY GROUP,ApprovedWebsite,FALSE,,,,,TRUE,eaglerealtygroup.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CINCINNATI TOOLBANK,CINCINNATI TOOLBANK,ApprovedWebsite,FALSE,,,,,TRUE,cincinnatitoolbank.org,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITY LINK CENTER,CITY LINK CENTER,ApprovedWebsite,FALSE,,,,,TRUE,citylinkcenter.org,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CORNERSTONE LUTHERAN CHURCH,CORNERSTONE LUTHERAN CHURCH,ApprovedWebsite,FALSE,,,,,TRUE,cornerstonelutheran.church,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,FIRST BAPTIST CHURCH OF BOWLING GREEN,FIRST BAPTIST CHURCH OF BOWLING GREEN,ApprovedWebsite,FALSE,,,,,TRUE,firstbaptistbg.org,FALSE
