"Master Customer Name","Master Customer Name Canonical","IsMerge","MergeGroupSize","Industrial Group","Industry Detail (Current)","NAICS (Current)","Company Website (Current)","Method","Status","Confidence (Current)","Rationale (Current)","Enrichment Targets","Attempt Count","Last Attempted At","Attempt Outcome","Example Customer Names","Example Locations","Industry Detail (Approved)","NAICS (Approved)","Company Website (Approved)","Enrichment Status","Enrichment Confidence","Enrichment Rationale","Enrichment Source","Attempt Outcome.1","Notes"
"Riverside Industrial Services","RIVERSIDE INDUSTRIAL SERVICES","False","1","Commercial Services","Industrial services","5617","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","2026-01-21 13:48:43","","Riverside Industrial Services","EDGEWOOD, KY","","","","Verified","","","Analyst","",""
"Rns Properties","RNS PROPERTIES","False","1","Commercial Real Estate","Real Estate Holding","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:54","","Rns Properties","CINCINNATI, OH","","","","Verified","","","Analyst","",""
"Rns Properties II","RNS PROPERTIES II","False","1","Commercial Real Estate","Real Estate Holding","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:54","","Rns Properties Ii","CINCINNATI, OH","","","","Verified","","","Analyst","",""
"Rouse Companies","ROUSE COMPANIES","False","1","Commercial Real Estate","Real estate/property (unclear)","5311","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","1","2026-01-21 14:04:42","","Rouse Companies","LEXINGTON, KY","","","","Verified","","","Analyst","",""
"Rrhiq","RRHIQ","False","1","Individual / Misc","Real Estate Holding","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:54","","Rrhiq, Llc","HILLIARD, OH","","","","Verified","","","Analyst","",""
"Sandwich Squad","SANDWICH SQUAD","False","1","Commercial Services","Quick service restaurant","7225","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","2026-01-21 14:04:42","","Sandwich Squad Inc","GLEN ELLYN, IL","","","","Verified","","","Analyst","",""
"Seagrove Properties","SEAGROVE PROPERTIES","False","1","Commercial Real Estate","Commercial property entity","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/21/2026 9:09","","Seagrove Properties","LOUISVILLE, KY","","","","Verified","","","Analyst","",""
"Strieter Holdings","STRIETER HOLDINGS","False","1","Commercial Services","Commercial property entity","531120","","Heuristic","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/21/2026 9:09","","Strieter Holdings Llc","HUNTINGTON, WV","","","","Verified","","","Analyst","",""
"Sun Properties","SUN PROPERTIES","False","1","Commercial Real Estate","Commercial property entity","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/21/2026 9:09","","Sun Properties, Llc","JEFFERSONVILLE, IN","","","","Verified","","","Analyst","",""
"Takoma Properties","TAKOMA PROPERTIES","False","1","Commercial Real Estate","Commercial property entity","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/21/2026 9:09","","Takoma Properties","CINCINNATI, OH","","","","Verified","","","Analyst","",""
"Tamsah Enterprises","TAMSAH ENTERPRISES","False","1","Construction","General Contractor","236220","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","1","2026-01-21 14:45:34","","Tamsah Enterprises","BELLEFONTAINE, OH","","","","Verified","","","Analyst","",""
"The Leasing Group","LEASING GROUP","False","1","Commercial Real Estate","Real Estate Leasing","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:35","","The Leasing Group","LOUISVILLE, KY","","","","Verified","","","Analyst","",""
