BrandNormalized,EquipmentType,AttributeName,Code,SupportN,MostCommonTons,MostCommonTonsN,PurityPct,UniqueTruthTonsN,TruthTonsValuesJson
TRANE,Air Handling Unit,HVACExport_CoolingCode,12,1,17.25,1,100.0,1,"{""17.25"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,14,2,25,1,50.0,2,"{""25"": 1, ""27"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,180,4,15,4,100.0,1,"{""15"": 4}"
TRANE,Air Handling Unit,HVACExport_TonsCFMCode,3,7,3,6,85.7,2,"{""3"": 6, ""5"": 1}"
TRANE,Air Handling Unit,HVACExport_TonsCFMCode,4,16,4,15,93.8,2,"{""2.5"": 1, ""4"": 15}"
TRANE,Chiller,HVACExport_CoolingCode,02,1,25,1,100.0,1,"{""25"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,05,4,400,2,50.0,3,"{""400"": 2, ""500"": 1, ""52"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,06,1,60,1,100.0,1,"{""60"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,07,1,750,1,100.0,1,"{""750"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,09,1,90,1,100.0,1,"{""90"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,12,1,125,1,100.0,1,"{""125"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,14,1,140,1,100.0,1,"{""140"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,15,4,150,2,50.0,2,"{""150"": 2, ""155"": 2}"
TRANE,Chiller,HVACExport_CoolingCode,18,1,185,1,100.0,1,"{""185"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,21,1,200,1,100.0,1,"{""200"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,25,1,25,1,100.0,1,"{""25"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,27,2,275,2,100.0,1,"{""275"": 2}"
TRANE,Chiller,HVACExport_CoolingCode,30,2,300,2,100.0,1,"{""300"": 2}"
TRANE,Chiller,HVACExport_CoolingCode,40,1,450,1,100.0,1,"{""450"": 1}"
TRANE,Chiller,HVACExport_CoolingCode,80,1,15,1,100.0,1,"{""15"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,025,1,25,1,100.0,1,"{""25"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,052,1,52,1,100.0,1,"{""52"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,060,1,60,1,100.0,1,"{""60"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,090,1,90,1,100.0,1,"{""90"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,125,1,125,1,100.0,1,"{""125"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,140,1,140,1,100.0,1,"{""140"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,155,4,150,2,50.0,2,"{""150"": 2, ""155"": 2}"
TRANE,Chiller,HVACExport_CoolingTonCode,185,1,185,1,100.0,1,"{""185"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,215,1,200,1,100.0,1,"{""200"": 1}"
TRANE,Chiller,HVACExport_CoolingTonCode,275,2,275,2,100.0,1,"{""275"": 2}"
TRANE,Chiller,HVACExport_CoolingTonCode,300,2,300,2,100.0,1,"{""300"": 2}"
TRANE,Chiller,HVACExport_TonsCFMCode,0,1,25,1,100.0,1,"{""25"": 1}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,018,3,1.5,3,100.0,1,"{""1.5"": 3}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,024,2,2,2,100.0,1,"{""2"": 2}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,030,90,2.5,90,100.0,1,"{""2.5"": 90}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,036,53,3,52,98.1,2,"{""3"": 52, ""5"": 1}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,042,27,3.5,26,96.3,2,"{""2.5"": 1, ""3.5"": 26}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,048,99,4,98,99.0,2,"{""2.5"": 1, ""4"": 98}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,060,174,5,174,100.0,1,"{""5"": 174}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,090,19,7.5,19,100.0,1,"{""7.5"": 19}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,120,9,10,9,100.0,1,"{""10"": 9}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,150,2,12.5,2,100.0,1,"{""12.5"": 2}"
TRANE,Cooling Condensing Unit,HVACExport_CoolingCode,180,4,15,4,100.0,1,"{""15"": 4}"
TRANE,Cooling Condensing Unit,HVACExport_TonsCFMCode,0,30,5,18,60.0,6,"{""2"": 1, ""2.5"": 6, ""3"": 2, ""3.5"": 1, ""4"": 2, ""5"": 18}"
TRANE,Ductless Split System,HVACExport_TonsCFMCode,0,3,1,3,100.0,1,"{""1"": 3}"
TRANE,Fan Coil / Unit Vent,HVACExport_CoolingCode,090,1,7.5,1,100.0,1,"{""7.5"": 1}"
TRANE,Fan Coil / Unit Vent,HVACExport_TonsCFMCode,0,1,2.5,1,100.0,1,"{""2.5"": 1}"
TRANE,Furnace,HVACExport_CoolingCode,064,27,5,27,100.0,1,"{""5"": 27}"
TRANE,Furnace,HVACExport_CoolingCode,120,27,5,27,100.0,1,"{""5"": 27}"
TRANE,Heat Pump Condensing Unit,HVACExport_CoolingCode,018,5,1.5,4,80.0,2,"{""1.5"": 4, ""2.5"": 1}"
TRANE,Heat Pump Condensing Unit,HVACExport_CoolingCode,024,2,2,2,100.0,1,"{""2"": 2}"
TRANE,Heat Pump Condensing Unit,HVACExport_CoolingCode,030,90,2.5,90,100.0,1,"{""2.5"": 90}"
TRANE,Heat Pump Condensing Unit,HVACExport_CoolingCode,036,10,3,10,100.0,1,"{""3"": 10}"
TRANE,Heat Pump Condensing Unit,HVACExport_CoolingCode,048,18,4,18,100.0,1,"{""4"": 18}"
TRANE,Heat Pump Condensing Unit,HVACExport_CoolingCode,060,33,5,33,100.0,1,"{""5"": 33}"
TRANE,Heat Pump Condensing Unit,HVACExport_CoolingCode,072,1,6,1,100.0,1,"{""6"": 1}"
TRANE,Heat Pump Condensing Unit,HVACExport_TonsCFMCode,0,127,2.5,91,71.7,6,"{""1.5"": 4, ""2"": 2, ""2.5"": 91, ""3"": 10, ""4"": 18, ""5"": 2}"
TRANE,Packaged Unit,HVACExport_CoolingCode,018,4,1.5,4,100.0,1,"{""1.5"": 4}"
TRANE,Packaged Unit,HVACExport_CoolingCode,024,1,2,1,100.0,1,"{""2"": 1}"
TRANE,Packaged Unit,HVACExport_CoolingCode,030,6,2.5,6,100.0,1,"{""2.5"": 6}"
TRANE,Packaged Unit,HVACExport_CoolingCode,036,29,3,29,100.0,1,"{""3"": 29}"
TRANE,Packaged Unit,HVACExport_CoolingCode,048,31,4,30,96.8,2,"{""3"": 1, ""4"": 30}"
TRANE,Packaged Unit,HVACExport_CoolingCode,060,28,5,28,100.0,1,"{""5"": 28}"
TRANE,Packaged Unit,HVACExport_CoolingCode,063,3,5,3,100.0,1,"{""5"": 3}"
TRANE,Packaged Unit,HVACExport_CoolingCode,072,7,6,7,100.0,1,"{""6"": 7}"
TRANE,Packaged Unit,HVACExport_CoolingCode,075,4,6.25,4,100.0,1,"{""6.25"": 4}"
TRANE,Packaged Unit,HVACExport_CoolingCode,090,10,7.5,10,100.0,1,"{""7.5"": 10}"
TRANE,Packaged Unit,HVACExport_CoolingCode,092,1,6.25,1,100.0,1,"{""6.25"": 1}"
TRANE,Packaged Unit,HVACExport_CoolingCode,102,2,8.5,2,100.0,1,"{""8.5"": 2}"
TRANE,Packaged Unit,HVACExport_CoolingCode,120,10,10,10,100.0,1,"{""10"": 10}"
TRANE,Packaged Unit,HVACExport_CoolingCode,121,1,10,1,100.0,1,"{""10"": 1}"
TRANE,Packaged Unit,HVACExport_CoolingCode,150,9,12.5,9,100.0,1,"{""12.5"": 9}"
TRANE,Packaged Unit,HVACExport_CoolingCode,151,3,12.583,2,66.7,2,"{""12.5"": 1, ""12.583"": 2}"
TRANE,Packaged Unit,HVACExport_CoolingCode,180,1,15,1,100.0,1,"{""15"": 1}"
TRANE,Packaged Unit,HVACExport_CoolingCode,210,12,17.5,12,100.0,1,"{""17.5"": 12}"
TRANE,Packaged Unit,HVACExport_CoolingCode,240,33,20,33,100.0,1,"{""20"": 33}"
TRANE,Packaged Unit,HVACExport_CoolingCode,300,6,25,6,100.0,1,"{""25"": 6}"
TRANE,Packaged Unit,HVACExport_CoolingCode,330,1,27.5,1,100.0,1,"{""27.5"": 1}"
TRANE,Packaged Unit,HVACExport_CoolingCode,836,1,3,1,100.0,1,"{""3"": 1}"
TRANE,Packaged Unit,HVACExport_CoolingTonCode,20,1,20,1,100.0,1,"{""20"": 1}"
TRANE,Packaged Unit,HVACExport_CoolingTonCode,30,3,30,3,100.0,1,"{""30"": 3}"
TRANE,Packaged Unit,HVACExport_CoolingTonCode,66,1,55,1,100.0,1,"{""55"": 1}"
TRANE,Packaged Unit,HVACExport_TonsCFMCode,0,11,2.5,6,54.5,4,"{""1.5"": 3, ""2"": 1, ""2.5"": 6, ""3"": 1}"
TRANE,WSHP,HVACExport_CoolingCode,036,1,3,1,100.0,1,"{""3"": 1}"
TRANE,WSHP,HVACExport_CoolingCode,120,2,10,2,100.0,1,"{""10"": 2}"
TRANE,WSHP,HVACExport_CoolingCode,150,1,12.5,1,100.0,1,"{""12.5"": 1}"
TRANE,WSHP,HVACExport_CoolingCode,180,4,15,4,100.0,1,"{""15"": 4}"
TRANE,WSHP,HVACExport_TonsCFMCode,0,1,3,1,100.0,1,"{""3"": 1}"
YORK/JCI,Air Handling Unit,HVACExport_CFMTonsCode,16,4,3.5,4,100.0,1,"{""3.5"": 4}"
YORK/JCI,Air Handling Unit,HVACExport_CFMTonsCode,20,1,5,1,100.0,1,"{""5"": 1}"
YORK/JCI,Air Handling Unit,HVACExport_CoolingCode,08,4,3.5,4,100.0,1,"{""3.5"": 4}"
YORK/JCI,Air Handling Unit,HVACExport_CoolingCode,12,1,5,1,100.0,1,"{""5"": 1}"
YORK/JCI,Air Handling Unit,HVACExport_CoolingCode,180,1,15,1,100.0,1,"{""15"": 1}"
YORK/JCI,Chiller,HVACExport_CoolingCode,001,1,19,1,100.0,1,"{""19"": 1}"
YORK/JCI,Chiller,HVACExport_CoolingCode,002,1,28,1,100.0,1,"{""28"": 1}"
YORK/JCI,Chiller,HVACExport_CoolingCode,010,1,101,1,100.0,1,"{""101"": 1}"
YORK/JCI,Chiller,HVACExport_CoolingCode,016,1,165,1,100.0,1,"{""165"": 1}"
YORK/JCI,Chiller,HVACExport_CoolingCode,019,1,198,1,100.0,1,"{""198"": 1}"
YORK/JCI,Chiller,HVACExport_CoolingCode,028,1,28,1,100.0,1,"{""28"": 1}"
YORK/JCI,Cooling Condensing Unit,HVACExport_CFMTonsCode,48,1,4,1,100.0,1,"{""4"": 1}"
YORK/JCI,Cooling Condensing Unit,HVACExport_CoolingCode,005,1,55,1,100.0,1,"{""55"": 1}"
YORK/JCI,Cooling Condensing Unit,HVACExport_CoolingCode,048,2,4,2,100.0,1,"{""4"": 2}"
YORK/JCI,Cooling Condensing Unit,HVACExport_CoolingCode,060,1,5,1,100.0,1,"{""5"": 1}"
YORK/JCI,Cooling Condensing Unit,HVACExport_CoolingCode,090,1,7.5,1,100.0,1,"{""7.5"": 1}"
YORK/JCI,Cooling Condensing Unit,HVACExport_CoolingCode,120,1,10,1,100.0,1,"{""10"": 1}"
YORK/JCI,Cooling Condensing Unit,HVACExport_CoolingCode,240,1,20,1,100.0,1,"{""20"": 1}"
YORK/JCI,Cooling Condensing Unit,HVACExport_CoolingCode,282,1,3.5,1,100.0,1,"{""3.5"": 1}"
YORK/JCI,Packaged Unit,HVACExport_CoolingCode,036,2,3,2,100.0,1,"{""3"": 2}"
YORK/JCI,Packaged Unit,HVACExport_CoolingCode,048,1,4,1,100.0,1,"{""4"": 1}"
YORK/JCI,Packaged Unit,HVACExport_CoolingCode,060,1,5,1,100.0,1,"{""5"": 1}"
YORK/JCI,Packaged Unit,HVACExport_CoolingCode,090,1,7.5,1,100.0,1,"{""7.5"": 1}"
