Industrial Group,Industry Detail,Count,Pct of Group
Manufacturing,Label Manufacturing,1,0.23
Energy Services,Energy Efficiency,1,7.69
Manufacturing,Juvenile Products Mfg,1,0.23
Commercial Services,Broadcasting & Media,1,0.15
Manufacturing,Industrial Fasteners & Metal Components,1,0.23
Commercial Real Estate,Net lease DST portfolio,1,0.35
Manufacturing,Biopharmaceuticals Mfg,1,0.23
Commercial Services,Construction Management,1,0.15
Construction,Structural Steel & Iron Services,1,0.43
Commercial Services,UPS & Data Center Services,1,0.15
Manufacturing,Plastics Product Mfg,1,0.23
Commercial Services,Luxury boutique hotel,1,0.15
Non-Profit / Religious,Social Services Nonprofit,1,0.57
Non-Profit / Religious,Workforce Development & Employment Services,1,0.57
Commercial Services,Brewpub / Hospitality,1,0.15
Manufacturing,Forestry Equipment Mfg,1,0.23
Manufacturing,Metal Forming & Stamping,1,0.23
Commercial Services,Plumbing Fixtures Retail,1,0.15
Manufacturing,Automation Technology,1,0.23
Financial Services,Investment Management,1,3.03
Commercial Services,Marketing & Brand Strategy Consulting,1,0.15
Commercial Services,School Bus Transportation,1,0.15
Manufacturing,Steel Pipe and Tube Manufacturing,1,0.23
Commercial Services,Auto Parts Distribution,1,0.15
Commercial Services,Laboratory Supplies,1,0.15
Commercial Real Estate,Property SPE,1,0.35
Commercial Services,Fitness Center Chain,1,0.15
Commercial Services,Specialty Retail,1,0.15
Manufacturing,Industrial Engineering,1,0.23
Manufacturing,Automated Material Handling,1,0.23
Municipal / Local Government,General Hospital,1,0.9
Commercial Services,Packaging Distribution,1,0.15
Manufacturing,Printing Inks & Coatings,1,0.23
Manufacturing,Ceramic Tile Mfg,1,0.23
Manufacturing,"Pumps, Valves & Fluid Systems Manufacturing",1,0.23
Manufacturing,Corrugated Packaging,1,0.23
Commercial Services,Television Station,1,0.15
Manufacturing,Metal Treatment,1,0.23
Commercial Services,Event/Trade Show Services,1,0.15
Manufacturing,Industrial Machinery,1,0.23
Commercial Services,Telecommunications,1,0.15
Individual / Misc,Homeowners Association,1,1.64
Commercial Services,Apparel Retail,1,0.15
Commercial Services,Golf Course / Hospitality,1,0.15
Manufacturing,Industrial Chillers,1,0.23
Manufacturing,Health & Wellness Products,1,0.23
Construction,Construction & Facilities,1,0.43
Commercial Services,Recreational Equipment Retail,1,0.15
Commercial Services,Seafood Retail/Wholesale,1,0.15
Commercial Services,Publishing & Marketing,1,0.15
Non-Profit / Religious,Cemetery,1,0.57
Manufacturing,Specialty Chemicals,1,0.23
Commercial Services,Fast Casual Restaurant,1,0.15
Manufacturing,Aircraft Engine Maintenance,1,0.23
Manufacturing,Hemp/CBD Production,1,0.23
Manufacturing,Bioproducts & Packaging,1,0.23
Manufacturing,Wire & Cable Mfg,1,0.23
Manufacturing,Coatings & Resins,1,0.23
Commercial Services,Footwear Retail,1,0.15
Healthcare / Senior Living,Medical Instrument Manufacturing,1,0.67
Manufacturing,Structural Steel Fabrication,1,0.23
Manufacturing,Stainless Steel Equipment,1,0.23
Manufacturing,Visual Communication Tools,1,0.23
Non-Profit / Religious,Religious nonprofit,1,0.57
Manufacturing,Window Manufacturing,1,0.23
Municipal / Local Government,Municipal government,1,0.9
Commercial Services,Supermarket / Retail,1,0.15
Manufacturing,Food Processing & Specialty Food Manufacturing,1,0.23
Non-Profit / Religious,Social services (often nonprofit),1,0.57
Manufacturing,Adhesives Manufacturing,1,0.23
Construction,Crane Rental Service,1,0.43
Manufacturing,Plastic Bottle Manufacturing,1,0.23
Commercial Services,Sports Complex Management,1,0.15
Commercial Services,Electrical Distribution,1,0.15
Commercial Services,Hair Salon,1,0.15
Commercial Services,Hardware Retail,1,0.15
Manufacturing,Cheese Manufacturing,1,0.23
Commercial Services,Beverage Distribution,1,0.15
Municipal / Local Government,Nature Parks,1,0.9
Non-Profit / Religious,Museum,1,0.57
Non-Profit / Religious,Community Theater,1,0.57
Municipal / Local Government,Correctional Institution,1,0.9
Commercial Real Estate,Mall property,1,0.35
Manufacturing,Specialty Alcohols,1,0.23
Manufacturing,Industrial Packaging,1,0.23
Commercial Services,Sports Training Facility,1,0.15
Commercial Services,Legacy Property Mgmt,1,0.15
Manufacturing,Automotive & Industrial Manufacturing Facility,1,0.23
Manufacturing,Logistics & Warehousing,1,0.23
Commercial Services,Tax Preparation Services,1,0.15
Manufacturing,HVAC Wholesale,1,0.23
Healthcare / Senior Living,Vocational Rehabilitation,1,0.67
Non-Profit / Religious,Housing nonprofit,1,0.57
Construction,Engineering Consulting,1,0.43
Manufacturing,Safes & Vaults Mfg,1,0.23
Commercial Services,Online & Catalog Retail,1,0.15
Manufacturing,Sawmills,1,0.23
Healthcare / Senior Living,Orthotic & Prosthetic Mfg,1,0.67
Commercial Services,New Car Dealers,1,0.15
Manufacturing,Plastics Wholesale,1,0.23
Manufacturing,Sauna & Heating Equipment Mfg,1,0.23
Manufacturing,Industrial Heat Exchangers,1,0.23
Healthcare / Senior Living,Specialty clinic,1,0.67
Commercial Services,Home Furnishings Retail,1,0.15
Construction,Heavy & Civil Engineering,1,0.43
Commercial Services,Investment Banking & Brokerage,1,0.15
Commercial Services,Engineering Services,1,0.15
Healthcare / Senior Living,Healthcare Real Estate Investment Trust,1,0.67
Healthcare / Senior Living,Community health center,1,0.67
Healthcare / Senior Living,Audiology/speech services,1,0.67
Construction,Facilities Maintenance,1,0.43
Commercial Services,Commercial Real Estate,1,0.15
Healthcare / Senior Living,Medical & Dental Wholesale,1,0.67
Manufacturing,Industrial Fastener Mfg,1,0.23
Manufacturing,Plastics Mfg,1,0.23
Commercial Services,Marketing Execution,1,0.15
Commercial Real Estate,Property entity (HH prefix),1,0.35
Commercial Real Estate,Design-Build Construction,1,0.35
Commercial Real Estate,Office REIT,1,0.35
Commercial Real Estate,Senior Housing,1,0.35
Commercial Services,Hardware Wholesalers,1,0.15
Commercial Real Estate,Developer/GC or property entity,1,0.35
Commercial Real Estate,Real estate developer,1,0.35
Construction,Environmental Remediation,1,0.43
Construction,Architecture & Engineering,1,0.43
Commercial Services,Education Technology / Software,1,0.15
Manufacturing,Dye & Pigment Mfg,1,0.23
Commercial Services,Home Centers,1,0.15
Commercial Services,Electronic Shopping,1,0.15
Healthcare / Senior Living,Dentist Office,1,0.67
Manufacturing,Automotive Transmission Mfg,1,0.23
Manufacturing,Automobile Manufacturing,1,0.23
Manufacturing,Material Handling Equipment Mfg,1,0.23
Commercial Services,Warehousing / Retail Support,1,0.15
Commercial Services,Hotel operations,1,0.15
Manufacturing,Aerospace Parts Mfg,1,0.23
Commercial Services,Freight Logistics,1,0.15
Commercial Services,Radio Broadcasting,1,0.15
Manufacturing,Wood Product Mfg,1,0.23
Construction,General contractor & building maintenance services,1,0.43
Construction,"Commercial general contractor (tenant finish/build-outs, remodels)",1,0.43
Construction,Custom home builder,1,0.43
Commercial Services,HVAC e-commerce & contractor platform,1,0.15
Commercial Services,Heating/plumbing/industrial process equipment distributor,1,0.15
Financial Services,Insurance broker & risk management consulting,1,3.03
Commercial Services,Online vitamins & supplements retailer (iHerb),1,0.15
Commercial Services,Commercial truck leasing & rental,1,0.15
Manufacturing,Thermoset molding compounds (BMC/SMC) manufacturing,1,0.23
Commercial Real Estate,Industrial real estate/logistics,1,0.35
Manufacturing,Bedding & home textiles (brand/wholesale/manufacturing),1,0.23
Manufacturing,Industrial Automation & Material Handling Systems,1,0.23
Public Schools (K–12),Charter school network,1,2.56
Commercial Services,Facility Services & Building Maintenance,1,0.15
Healthcare / Senior Living,Orthopedic Medical Practice,1,0.67
Commercial Services,Digital Marketing & Advertising Services,1,0.15
Commercial Services,Ethnic Grocery Retail,1,0.15
Healthcare / Senior Living,Podiatric Medical Practice,1,0.67
Healthcare / Senior Living,Spine & Pain Management Clinic,1,0.67
Commercial Services,Indoor Sports & Recreation Facility,1,0.15
Commercial Services,Industrial Inspection & Sorting Services,1,0.15
Manufacturing,Industrial Components & Fabricated Products,1,0.23
Utilities,Plastics Pipe Manufacturing,1,3.03
Manufacturing,Precision Plastics & Engineered Components,1,0.23
Commercial Services,Distribution & Logistics Facility,1,0.15
Commercial Services,Custom Computer Programming / Software Services,1,0.15
Manufacturing,Industrial Equipment & HVAC Manufacturing,1,0.23
Manufacturing,Food Ingredient & Sweetener Manufacturing,1,0.23
Individual / Misc,Manufacturing,1,1.64
Construction,Commercial Interior Construction & Millwork,1,0.43
Commercial Real Estate,Real estate entity,1,0.35
Energy Services,Energy Consulting & Optimization Services,1,7.69
Energy Services,Energy Procurement & Management Services,1,7.69
Manufacturing,Material Handling & Automation Systems,1,0.23
Manufacturing,Paper & Packaging Manufacturing,1,0.23
Manufacturing,Heavy-Duty Truck Manufacturing & Sales,1,0.23
Manufacturing,Composite Resins & Plastics Manufacturing,1,0.23
Commercial Services,Lottery Systems & Gaming Technology,1,0.15
Manufacturing,Printing Inks & Coatings Manufacturing,1,0.23
Commercial Services,Waste Management / Environmental Services,1,0.15
Manufacturing,Diversified Industrial Manufacturing,1,0.23
Manufacturing,Commercial Foodservice Equipment Manufacturing,1,0.23
Commercial Services,Building Maintenance & Repair Services,1,0.15
Commercial Services,Distribution & Commercial Design Services,1,0.15
Commercial Services,Management Consulting,1,0.15
Commercial Services,HVAC Controls & Building Automation Services,1,0.15
Construction,Concrete Construction & Foundations,1,0.43
Manufacturing,Industrial Cleaning & Sanitation Equipment,1,0.23
Municipal / Local Government,Municipal Animal Control & Shelter,1,0.9
Commercial Services,Architectural Design Services,1,0.15
Commercial Real Estate,Condo Association Mgmt,1,0.35
Manufacturing,Branded Food Manufacturing,1,0.23
Commercial Real Estate,Industrial Real Estate Development & Property Management,1,0.35
Construction,Industrial Equipment Distribution,1,0.43
Utilities,Motor and Generator Mfg,1,3.03
Construction,Mechanical / Electrical Contracting,1,0.43
Manufacturing,Underground Mining Equipment Manufacturing,1,0.23
Manufacturing,Motor Vehicle Seating Mfg,1,0.23
Commercial Services,"Engineering, Forensics & Consulting Services",1,0.15
Manufacturing,Automotive Bearings & Steering Systems,1,0.23
Manufacturing,Welding Wire & Filler Metal Manufacturing,1,0.23
Commercial Real Estate,Hospitality / Hotel Operations,1,0.35
Commercial Real Estate,Building Inspection Service,1,0.35
Manufacturing,Precision Machining & Engineered Components,1,0.23
Commercial Services,Architecture Firm,1,0.15
Non-Profit / Religious,Business association,1,0.57
Manufacturing,Aluminum Smelting,1,0.23
Commercial Services,Promotional Products,1,0.15
Manufacturing,Consumer Products,1,0.23
Manufacturing,Contract Manufacturing,1,0.23
Commercial Real Estate,Apartments / Residential,1,0.35
Commercial Services,Plumbing & Cabinetry Dist,1,0.15
Healthcare / Senior Living,Blood Bank,1,0.67
Non-Profit / Religious,Sports association,1,0.57
Non-Profit / Religious,Museum/education nonprofit,1,0.57
Commercial Services,Secure Warehousing,1,0.15
Municipal / Local Government,Government cemetery,1,0.9
Commercial Services,Office Furniture Dealer,1,0.15
Commercial Services,Consumer Services / Kiosks,1,0.15
Commercial Services,Child Day Care Services,1,0.15
Manufacturing,Pharma CDMO,1,0.23
Commercial Services,Chiropractic clinic,1,0.15
Manufacturing,Industrial Cooling Mfg,1,0.23
Manufacturing,Insulation manufacturing,1,0.23
Manufacturing,Automotive aluminum components,1,0.23
Manufacturing,Poultry/food manufacturing,1,0.23
Commercial Real Estate,Property entity (address/LP-style),1,0.35
Commercial Services,Grocery retail chain,1,0.15
Commercial Services,Design/architecture (unclear),1,0.15
Manufacturing,Defense manufacturing,1,0.23
Commercial Services,Performing arts/venue,1,0.15
Construction,Trades/labor services,1,0.43
Commercial Services,Landscape / Site Construction,1,0.15
Construction,Fire sprinkler contractor,1,0.43
Commercial Services,Last-Mile Delivery,1,0.15
Commercial Services,Industrial Development / Real Estate,1,0.15
Manufacturing,Heavy Metal Fabrication,1,0.23
Commercial Services,Accounting/consulting,1,0.15
Commercial Services,Fitness,1,0.15
Commercial Services,Banking/financial services,1,0.15
Manufacturing,Electric Bicycle Mfg,1,0.23
Manufacturing,Carbon Fiber Mfg,1,0.23
Commercial Services,Footwear retail/brand,1,0.15
Commercial Services,HVAC Warranty Services,1,0.15
Commercial Services,Recreation/retail (unclear),1,0.15
Commercial Services,(also retail; kept retail above),1,0.15
Manufacturing,Apparel Manufacturing,1,0.23
Commercial Services,Retail Center,1,0.15
Commercial Services,IoT / Telematics Software,1,0.15
Healthcare / Senior Living,Dialysis clinic,1,0.67
Commercial Services,Industrial marking equipment/services,1,0.15
Manufacturing,Consumer Goods Mfg,1,0.23
Individual / Misc,Invalid Record / Closed,1,1.64
Manufacturing,Crane manufacturing,1,0.23
Commercial Real Estate,Logistics real estate (industrial),1,0.35
Commercial Services,Promotional products/services,1,0.15
Manufacturing,RV/transport components,1,0.23
Commercial Services,Asset recovery/auctions,1,0.15
Construction,Concrete contractor,1,0.43
Manufacturing,Bedding manufacturing,1,0.23
Non-Profit / Religious,Community nonprofit,1,0.57
Commercial Real Estate,Warehouse property/operations (verify owner/operator),1,0.35
Commercial Services,Home improvement retail,1,0.15
Commercial Services,Sports/entertainment,1,0.15
Commercial Services,Optical retail,1,0.15
Manufacturing,Millwork/cabinets manufacturing,1,0.23
Commercial Services,Specialty Retail / Apparel,1,0.15
Manufacturing,Card Manufacturing / Printing,1,0.23
Commercial Services,Paper distribution,1,0.15
Commercial Services,Industrial supply distribution,1,0.15
Commercial Services,Retail distribution,1,0.15
Non-Profit / Religious,Non-Profit Education Farm,1,0.57
University / College,Educational Support Services,1,4.35
Commercial Services,Body art services,1,0.15
Manufacturing,Boat manufacturing,1,0.23
Commercial Services,Facility Management / Energy,1,0.15
Manufacturing,Metal Processing,1,0.23
Manufacturing,Stone products,1,0.23
Manufacturing,Meat Processing,1,0.23
Healthcare / Senior Living,Event Arena,1,0.67
University / College,University Recreation,1,4.35
Commercial Services,Logistics / Supply Chain,1,0.15
Manufacturing,Automotive stamping,1,0.23
Manufacturing,Doors manufacturing,1,0.23
Commercial Services,Marketing Services,1,0.15
Commercial Services,Pest Control / Landscaping,1,0.15
Commercial Services,Pharmaceutical Distribution,1,0.15
Manufacturing,Greenhouse Farming / Food Mfg,1,0.23
Commercial Real Estate,Industrial Property Holding,1,0.35
Commercial Services,Engineering / Systems Integration,1,0.15
Commercial Real Estate,Property rental entity,1,0.35
Commercial Services,IT Training,1,0.15
Non-Profit / Religious,Community center nonprofit,1,0.57
Individual / Misc,Investment Partnership,1,1.64
Commercial Services,Commercial HVAC/R Services,1,0.15
Manufacturing,Biotech (verify mfg vs R&D),1,0.23
Manufacturing,HVAC Equipment Mfg,1,0.23
Commercial Services,Alcohol retail,1,0.15
Manufacturing,Consumer Goods Mfg (Grills),1,0.23
Commercial Services,Blood center,1,0.15
Healthcare / Senior Living,Clinical research organization,1,0.67
Commercial Services,Consumer products (direct sales),1,0.15
Commercial Services,Furniture Distribution,1,0.15
Private Schools (K–12),Private High School,1,8.33
Individual / Misc,Individual (verify),1,1.64
Commercial Services,Metal fabrication/services,1,0.15
Construction,Metal building contractor,1,0.43
Commercial Services,Vehicle upfitting,1,0.15
Healthcare / Senior Living,Adult Day Care / Disability Services,1,0.67
Commercial Services,Gaming/casino,1,0.15
Commercial Real Estate,Property mgmt/entity,1,0.35
Commercial Real Estate,Business Park,1,0.35
Commercial Real Estate,REIT/property entity,1,0.35
Healthcare / Senior Living,Eye care / clinic,1,0.67
Commercial Services,Industrial finishing services,1,0.15
Commercial Services,Mold/texturing services,1,0.15
Manufacturing,Personal Care Mfg,1,0.23
Commercial Services,Fleet/leasing services,1,0.15
Construction,Civil contractor,1,0.43
Manufacturing,Precision Machining,1,0.23
Commercial Services,Real estate development/services,1,0.15
Commercial Services,Uniform & Textile Rental,1,0.15
Non-Profit / Religious,Church Management Software,1,0.57
Utilities,HVAC Manufacturing,1,3.03
Manufacturing,Chemical catalysts,1,0.23
Individual / Misc,Movable Walls Manufacturing,1,1.64
Manufacturing,Precision machining,1,0.23
Construction,Design-Build Firm,1,0.43
Manufacturing,HVAC Tech / Cleantech,1,0.23
Commercial Services,Recreation/entertainment,1,0.15
Municipal / Local Government,Educational Support Services,1,0.9
Commercial Services,Food service/retail,1,0.15
Utilities,Water Treatment Facility,1,3.03
Commercial Services,Industrial parts distribution,1,0.15
Healthcare / Senior Living,Intermediate Care Facility,1,0.67
Commercial Services,Linen services,1,0.15
Commercial Services,Pipeline operator,1,0.15
Private Schools (K–12),Military School,1,8.33
Manufacturing,Advertising Agency,1,0.23
Manufacturing,Contract Packaging,1,0.23
Manufacturing,Gas Products Mfg,1,0.23
Manufacturing,Labels/packaging printing,1,0.23
Manufacturing,Plastics/packaging (verify),1,0.23
Commercial Services,Heavy equipment dealer,1,0.15
Healthcare / Senior Living,Wholesale Veterinary Supplies,1,0.67
Healthcare / Senior Living,Clinical/genetic testing,1,0.67
Commercial Services,Beverage gas services,1,0.15
Manufacturing,Automotive Spring Mfg,1,0.23
Commercial Real Estate,Office property entity,1,0.35
Non-Profit / Religious,Performing Arts / Opera,1,0.57
Construction,Sheet metal/HVAC,1,0.43
Commercial Services,Equipment finance,1,0.15
Commercial Services,RV sales/service,1,0.15
Commercial Real Estate,REIT property entity,1,0.35
Manufacturing,Consumer Goods / Packaging,1,0.23
Commercial Services,Life sciences/testing,1,0.15
Healthcare / Senior Living,Eye care (verify),1,0.67
Commercial Services,BPO / IT Services,1,0.15
Manufacturing,Distillery,1,0.23
Manufacturing,Paper manufacturing,1,0.23
Commercial Services,Childcare,1,0.15
Commercial Real Estate,Commercial Real Estate Development,1,0.35
Manufacturing,Industrial materials (verify entity),1,0.23
Commercial Services,Aerospace Software / Analytics,1,0.15
Manufacturing,Pharmaceutical Mfg,1,0.23
Manufacturing,Ceramics/industrial materials,1,0.23
University / College,Public School District,1,4.35
Healthcare / Senior Living,Public Health Administration,1,0.67
Healthcare / Senior Living,Eye care,1,0.67
Commercial Real Estate,Industrial Real Estate Development,1,0.35
Manufacturing,Defense/aerospace (sub-entity),1,0.23
Healthcare / Senior Living,Linen Supply Service,1,0.67
Commercial Services,Facilities Services,1,0.15
Commercial Services,Battery Recycling Tech,1,0.15
Manufacturing,Steel Mill,1,0.23
Healthcare / Senior Living,Corporate Managing Offices,1,0.67
Commercial Real Estate,Mixed-use development (verify),1,0.35
Commercial Services,Casino / Gaming,1,0.15
Private Schools (K–12),Private/parochial school (verify),1,8.33
Commercial Services,Locksmith services,1,0.15
Municipal / Local Government,Federal research laboratory,1,0.9
Manufacturing,Welding automation (verify),1,0.23
Commercial Services,Logistics/3PL,1,0.15
Manufacturing,Vehicle armoring,1,0.23
Non-Profit / Religious,Trade Association,1,0.57
Municipal / Local Government,Education cooperative,1,0.9
Commercial Services,Logistics/freight forwarding,1,0.15
Manufacturing,Healthcare Packaging Mfg,1,0.23
Commercial Real Estate,Industrial real estate (verify),1,0.35
Manufacturing,Specialty Printing / POP Displays,1,0.23
Commercial Services,Technical Documentation,1,0.15
Construction,Demolition contractor,1,0.43
Municipal / Local Government,Regional commission/public authority,1,0.9
Healthcare / Senior Living,Ortho / sports medicine,1,0.67
Commercial Services,Insurance services (likely),1,0.15
Commercial Services,Industrial distribution,1,0.15
Commercial Services,Retail (firearms-related; classify only),1,0.15
Non-Profit / Religious,Community housing nonprofit,1,0.57
Construction,Overhead doors contractor,1,0.43
Manufacturing,Automotive Stamping Mfg,1,0.23
Healthcare / Senior Living,Pain management clinic,1,0.67
Commercial Services,Investment entity,1,0.15
Commercial Real Estate,Apartment Building,1,0.35
Healthcare / Senior Living,Hospice Care,1,0.67
Commercial Services,Board Management Software,1,0.15
Commercial Services,Medical lab,1,0.15
Manufacturing,Armored Glass Mfg,1,0.23
Construction,Engineering services,1,0.43
Manufacturing,Pet Product Mfg,1,0.23
Manufacturing,Chemical processing,1,0.23
Manufacturing,Pharmaceutical equipment/services,1,0.23
Commercial Services,IT / Telecom Services,1,0.15
Non-Profit / Religious,Community Center,1,0.57
Commercial Services,Truck Leasing,1,0.15
Manufacturing,Beverage (distribution/manufacturing),1,0.23
Manufacturing,Food/beverage manufacturing,1,0.23
Commercial Services,Corporate AP entity,1,0.15
Commercial Services,Printing services,1,0.15
Commercial Services,Healthcare communications software,1,0.15
Construction,Specialty contracting (insulation/interiors),1,0.43
Healthcare / Senior Living,Medical Equipment Wholesaler,1,0.67
Commercial Real Estate,Property partnership,1,0.35
Commercial Services,Pet retail,1,0.15
Commercial Real Estate,Shopping center owner entity,1,0.35
Commercial Real Estate,Retail REIT / property owner,1,0.35
Manufacturing,Metal manufacturing/processing,1,0.23
Commercial Real Estate,Industrial property owner,1,0.35
Commercial Services,Fitness & Recreational Sports Center,1,0.15
Construction,General/specialty contractor,1,0.43
Commercial Services,Real Estate Legal Services,1,0.15
Commercial Services,Resale Retail / Clothing,1,0.15
Healthcare / Senior Living,Physician Office (Plastic Surgery),1,0.67
Construction,Plumbing contractor,1,0.43
Commercial Services,Plumbing wholesale,1,0.15
Commercial Services,Casino/Entertainment,1,0.15
Commercial Services,Retail/entertainment (range),1,0.15
Healthcare / Senior Living,Senior Living Community,1,0.67
Manufacturing,Plastics distribution/manufacturing,1,0.23
Utilities,Equipment Rental,1,3.03
Manufacturing,Electronic components,1,0.23
Commercial Services,Facilities Maintenance / Rollouts,1,0.15
Commercial Services,Education software,1,0.15
Manufacturing,Packaging Mfg,1,0.23
Manufacturing,Tooling / machining,1,0.23
Construction,Drywall/framing contractor,1,0.43
Construction,Design-build contractor,1,0.43
Commercial Services,Delivery/installation services,1,0.15
Commercial Services,Equipment/material handling services,1,0.15
Commercial Services,IT / VoIP Services,1,0.15
Healthcare / Senior Living,Weight Loss / Wellness,1,0.67
Manufacturing,Adhesive Manufacturing,1,0.23
Commercial Real Estate,IT Solutions,1,0.35
Commercial Real Estate,Industrial REIT / logistics real estate,1,0.35
Commercial Services,Marketing / Media Services,1,0.15
Manufacturing,AgTech / Greenhouse Mfg,1,0.23
Private Schools (K–12),Child Care Center,1,8.33
Healthcare / Senior Living,Specialty healthcare,1,0.67
Healthcare / Senior Living,Oncology Clinic,1,0.67
Construction,Highway and Street Construction,1,0.43
Commercial Services,Business Management,1,0.15
Manufacturing,Filtration products,1,0.23
Manufacturing,Industrial Control Panels,1,0.23
Manufacturing,Metal Fabrication,1,0.23
Commercial Real Estate,Investment/property mgmt (unclear),1,0.35
Manufacturing,Printing manufacturing,1,0.23
Healthcare / Senior Living,Clinical lab services,1,0.67
Commercial Services,Industrial Packaging Solutions,1,0.15
Manufacturing,Truck Parts Manufacturing,1,0.23
Construction,Restoration contractor,1,0.43
Commercial Real Estate,Real Estate Agency,1,0.35
Commercial Services,Restaurant / Dining,1,0.15
Non-Profit / Religious,Grantmaking Foundation,1,0.57
Commercial Services,Healthcare services (subrogation/claims),1,0.15
Manufacturing,HVAC/boilers/water heating equipment,1,0.23
Commercial Real Estate,Property Owners Association,1,0.35
Manufacturing,Beverage distribution (not mfg),1,0.23
Utilities,Power Transmission Equipment Mfg,1,3.03
Manufacturing,Industrial motors/drives,1,0.23
Commercial Real Estate,Residential Property (Condos),1,0.35
Public Schools (K–12),School entity (verify public/charter),1,2.56
Commercial Services,Automotive repair/service,1,0.15
Commercial Services,Real estate brokerage,1,0.15
Healthcare / Senior Living,Social Assistance Organization,1,0.67
Commercial Services,Home improvement services,1,0.15
Healthcare / Senior Living,Dental Laboratory,1,0.67
Manufacturing,Label/packaging printing,1,0.23
Commercial Services,Industrial gases equipment/service,1,0.15
Commercial Services,Equipment dealer/service,1,0.15
Commercial Services,Facility Maintenance / Engineering,1,0.15
Construction,Home Renovations,1,0.43
Construction,Boiler/HVAC service,1,0.43
Construction,Oil and Gas Construction,1,0.43
Healthcare / Senior Living,Neurology Clinic,1,0.67
Manufacturing,Electric Vehicle Mfg,1,0.23
Commercial Real Estate,Property/asset mgmt (unclear),1,0.35
Commercial Services,Civil Engineering,1,0.15
Financial Services,Investment Banking / Wealth Mgmt,1,3.03
Commercial Services,Indoor Climbing Gym,1,0.15
Manufacturing,Paper & Packaging Mfg,1,0.23
Commercial Services,Retail / Health Services,1,0.15
Commercial Services,Sports complex,1,0.15
Commercial Services,Hotel (Courtyard Rookwood),1,0.15
Manufacturing,Industrial process equipment,1,0.23
Commercial Real Estate,Real estate/property (unclear),1,0.35
Commercial Services,Facilities Maintenance Mgmt,1,0.15
Commercial Services,Pet food brand (mfg/distribution),1,0.15
Individual / Misc,Real Estate Holding,1,1.64
Commercial Services,Heavy equipment dealer/service,1,0.15
Commercial Services,EMS/ambulance services,1,0.15
Construction,Fire protection contractor,1,0.43
Construction,Remodeling contractor,1,0.43
Construction,Glazing Contractor,1,0.43
Manufacturing,Scrap processing,1,0.23
Commercial Services,Luxury Online Retail,1,0.15
Commercial Services,Salon suites / personal care,1,0.15
Commercial Services,Music retail,1,0.15
Commercial Services,Retail Fulfillment Center,1,0.15
Commercial Services,Brewery,1,0.15
Commercial Real Estate,Retail Real Estate Development,1,0.35
Commercial Services,IT Asset Disposition / Data Wiping,1,0.15
Commercial Services,Quick service restaurant,1,0.15
Manufacturing,Security hardware manufacturing,1,0.23
Manufacturing,Unit Load Device Mfg (Aerospace),1,0.23
Manufacturing,Custom Spices / Food Ingredients,1,0.23
Manufacturing,Machining & Fabrication,1,0.23
Commercial Real Estate,Real Estate Development / Mgmt,1,0.35
Commercial Real Estate,Real Estate Investment / Brokerage,1,0.35
Commercial Services,Equipment services,1,0.15
Commercial Services,Janitorial and facility services,1,0.15
Commercial Services,Janitorial Supply Dist,1,0.15
Commercial Services,Commercial real estate partners,1,0.15
Manufacturing,Drive Technology Mfg,1,0.23
Non-Profit / Religious,Chamber of commerce,1,0.57
Manufacturing,Flooring manufacturing,1,0.23
Manufacturing,Carpet Manufacturing,1,0.23
Non-Profit / Religious,Tourism bureau,1,0.57
Manufacturing,Paint/coatings manufacturing,1,0.23
Manufacturing,Electrical components,1,0.23
Construction,Mechanical/Electrical services,1,0.43
Commercial Services,Indoor Shooting Range,1,0.15
Commercial Services,Real estate services,1,0.15
Manufacturing,Rail systems/equipment,1,0.23
Manufacturing,Automotive chemicals/adhesives,1,0.23
Construction,Fire/Security Systems,1,0.43
Commercial Services,Full-Service Restaurant,1,0.15
Utilities,Yoga Studio,1,3.03
Manufacturing,Scrap metal processing,1,0.23
Commercial Real Estate,Commercial Real Estate Mgmt,1,0.35
Manufacturing,Foam/furnishings manufacturing,1,0.23
Commercial Services,Warehousing,1,0.15
Commercial Services,House cleaning franchise,1,0.15
Commercial Services,Staffing/trades services,1,0.15
Commercial Services,IT services,1,0.15
Commercial Services,Furniture retail,1,0.15
Commercial Services,EdTech/technology,1,0.15
Manufacturing,Industrial automation components,1,0.23
Commercial Services,Facility management holding co,1,0.15
Manufacturing,Packaging/paper,1,0.23
Commercial Services,Hotel / Resort (Soaring Eagle Lodge),1,0.15
Commercial Services,Private club/hospitality,1,0.15
Commercial Services,Water Treatment Services,1,0.15
Commercial Services,Industrial Equipment Rep / Sales,1,0.15
Commercial Services,Municipal utility board,1,0.15
Commercial Services,Property management (unclear),1,0.15
Commercial Services,Security & Comm Solutions,1,0.15
Healthcare / Senior Living,Hospital / Acute Care,1,0.67
Commercial Services,Recreation/entertainment (unclear),1,0.15
Non-Profit / Religious,Animal nonprofit,1,0.57
Commercial Services,Specialty Online Retail,1,0.15
Non-Profit / Religious,Cemetery (often nonprofit),1,0.57
Non-Profit / Religious,Arts nonprofit,1,0.57
Manufacturing,Window coverings manufacturing,1,0.23
Commercial Real Estate,Residential/community property,1,0.35
Commercial Services,Payments/fintech services,1,0.15
Commercial Services,Urban agriculture,1,0.15
Public Schools (K–12),Private/parochial school,1,2.56
Commercial Services,(listed above; may remain Retail/Hospitality),1,0.15
Manufacturing,Medical equipment manufacturing,1,0.23
